Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-January-2021,28.00,28.00,28.00,28.00,28.000000000000000000,4000,1,112000.00,4000,100.00,0.00,0.00
31-December-2020,27.50,27.50,27.50,27.50,27.500000000000000000,4000,2,110000.00,4000,100.00,0.00,0.00
24-December-2020,28.50,28.50,28.50,28.50,28.500000000000000000,4000,2,114000.00,4000,100.00,0.00,0.00
23-December-2020,28.00,28.00,28.00,28.00,28.000000000000000000,6000,3,168000.00,6000,100.00,0.00,0.00
22-December-2020,28.50,28.50,28.50,28.50,28.500000000000000000,2000,1,57000.00,2000,100.00,0.00,0.00
21-December-2020,29.50,29.50,29.50,29.50,29.500000000000000000,6000,1,177000.00,6000,100.00,0.00,0.00
15-December-2020,28.50,28.50,28.50,28.50,28.500000000000000000,4000,2,114000.00,4000,100.00,0.00,0.00
14-December-2020,28.00,30.15,25.10,30.15,27.687500000000000000,8000,4,221500.00,6000,75.00,5.05,2.15
11-December-2020,29.00,30.95,28.00,30.95,29.237500000000000000,8000,4,233900.00,6000,75.00,2.95,1.95
10-December-2020,29.00,29.00,28.00,29.00,28.640000000000000000,10000,5,286400.00,8000,80.00,1.00,0.00
9-December-2020,28.00,28.00,28.00,28.00,28.000000000000000000,2000,1,56000.00,2000,100.00,0.00,0.00
8-December-2020,28.00,29.00,28.00,29.00,28.500000000000000000,4000,2,114000.00,4000,100.00,1.00,1.00
7-December-2020,29.00,29.00,29.00,29.00,29.000000000000000000,2000,1,58000.00,2000,100.00,0.00,0.00
3-December-2020,28.50,29.00,28.50,29.00,28.875000000000000000,8000,4,231000.00,6000,75.00,0.50,0.50
2-December-2020,28.90,28.90,28.90,28.90,28.900000000000000000,6000,1,173400.00,6000,100.00,0.00,0.00
1-December-2020,29.00,29.00,28.00,28.00,28.500000000000000000,4000,2,114000.00,4000,100.00,1.00,-1.00
27-November-2020,29.00,29.00,29.00,29.00,29.000000000000000000,2000,1,58000.00,2000,100.00,0.00,0.00
26-November-2020,29.50,29.50,29.50,29.50,29.500000000000000000,4000,1,118000.00,4000,100.00,0.00,0.00
25-November-2020,29.00,29.00,29.00,29.00,29.000000000000000000,2000,1,58000.00,2000,100.00,0.00,0.00
24-November-2020,29.00,29.00,29.00,29.00,29.000000000000000000,2000,1,58000.00,2000,100.00,0.00,0.00
23-November-2020,30.00,30.00,30.00,30.00,30.000000000000000000,2000,1,60000.00,2000,100.00,0.00,0.00
20-November-2020,29.00,29.00,29.00,29.00,29.000000000000000000,6000,2,174000.00,6000,100.00,0.00,0.00
19-November-2020,29.50,29.50,29.50,29.50,29.500000000000000000,2000,1,59000.00,2000,100.00,0.00,0.00
17-November-2020,30.00,30.00,30.00,30.00,30.000000000000000000,2000,1,60000.00,2000,100.00,0.00,0.00
12-November-2020,28.50,28.50,28.50,28.50,28.500000000000000000,2000,1,57000.00,2000,100.00,0.00,0.00
10-November-2020,30.00,30.00,30.00,30.00,30.000000000000000000,4000,1,120000.00,4000,100.00,0.00,0.00
5-November-2020,28.10,28.10,28.00,28.00,28.037500000000000000,8000,4,224300.00,6000,75.00,0.10,-0.10
3-November-2020,30.50,30.50,30.50,30.50,30.500000000000000000,2000,1,61000.00,2000,100.00,0.00,0.00
30-October-2020,28.00,28.00,28.00,28.00,28.000000000000000000,2000,1,56000.00,2000,100.00,0.00,0.00
27-October-2020,28.50,28.50,28.50,28.50,28.500000000000000000,4000,1,114000.00,4000,100.00,0.00,0.00
26-October-2020,29.00,29.00,28.00,28.00,28.721428571428571428,14000,6,402100.00,14000,100.00,1.00,-1.00
20-October-2020,30.00,30.00,30.00,30.00,30.000000000000000000,4000,2,120000.00,4000,100.00,0.00,0.00
19-October-2020,30.50,30.50,30.00,30.00,30.250000000000000000,4000,2,121000.00,4000,100.00,0.50,-0.50
9-October-2020,33.90,33.90,30.00,32.20,30.950000000000000000,44000,13,1361800.00,30000,68.18,3.90,-1.70
7-October-2020,30.00,30.00,30.00,30.00,30.000000000000000000,32000,7,960000.00,32000,100.00,0.00,0.00
6-October-2020,32.90,32.95,32.90,32.95,32.925000000000000000,4000,2,131700.00,4000,100.00,0.05,0.05
5-October-2020,30.00,30.95,29.95,30.90,30.540000000000000000,10000,5,305400.00,8000,80.00,1.00,0.90
28-September-2020,29.40,29.65,26.50,27.25,27.946153846153846153,26000,13,726600.00,20000,76.92,3.15,-2.15
25-September-2020,27.65,28.50,27.15,27.50,27.720000000000000000,10000,5,277200.00,6000,60.00,1.35,-0.15
24-September-2020,27.55,33.15,27.55,33.10,31.970000000000000000,10000,3,319700.00,2000,20.00,5.60,5.55
21-September-2020,30.20,31.00,28.85,28.85,29.759090909090909090,22000,9,654700.00,18000,81.82,2.15,-1.35
18-September-2020,28.55,29.45,28.55,29.05,29.050000000000000000,10000,5,290500.00,2000,20.00,0.90,0.50
17-September-2020,30.00,30.00,27.50,28.80,28.637500000000000000,24000,12,687300.00,18000,75.00,2.50,-1.20
16-September-2020,29.80,30.00,29.80,30.00,29.866666666666666666,6000,3,179200.00,4000,66.67,0.20,0.20
14-September-2020,30.00,30.00,28.00,29.50,29.192307692307692307,26000,12,759000.00,16000,61.54,2.00,-0.50
10-September-2020,32.60,32.60,31.15,31.15,31.875000000000000000,4000,2,127500.00,4000,100.00,1.45,-1.45
9-September-2020,30.40,30.40,30.00,30.00,30.058333333333333333,24000,12,721400.00,22000,91.67,0.40,-0.40
8-September-2020,33.85,33.85,32.95,32.95,33.408333333333333333,12000,6,400900.00,4000,33.33,0.90,-0.90
7-September-2020,29.05,32.05,29.05,30.95,30.756666666666666666,30000,15,922700.00,24000,80.00,3.00,1.90
4-September-2020,28.60,32.00,28.00,29.50,29.688095238095238095,42000,19,1246900.00,36000,85.71,4.00,0.90
3-September-2020,28.00,32.00,28.00,30.00,30.166666666666666666,24000,10,724000.00,20000,83.33,4.00,2.00
