averageRating,numVotes
7.4,10542
8.2,43785
7.3,17239
6.3,22607
7.7,14151
8.1,57042
8.3,112227
8.1,10439
7.7,12329
7.6,10828
7.9,88365
7.8,10133
8.1,18264
8.1,12573
8.2,41423
8.0,52760
8.2,100169
7.6,16637
8.1,13863
7.3,10305
8.3,159047
8.1,80512
8.1,46678
7.5,11386
8.1,10354
8.1,29860
8.1,47172
7.9,13141
8.4,22416
7.7,45861
8.0,57064
7.5,13506
7.7,13551
7.2,11988
7.3,12781
8.5,166506
7.5,46494
7.8,64923
8.3,142451
7.5,11351
7.7,17715
7.6,12490
7.9,41932
7.4,17262
7.6,11728
8.2,11586
7.1,10517
7.1,23473
7.8,25161
8.0,11410
8.0,12913
7.5,15769
7.8,55411
7.4,10679
7.7,30364
7.9,78545
7.8,14408
8.1,93316
6.8,16891
8.0,26331
7.3,14829
7.6,51517
7.8,43273
7.7,12908
7.7,20695
7.9,30429
7.7,17379
7.9,11167
8.5,216126
7.9,19605
8.0,20948
7.5,12475
7.0,14859
7.6,12225
7.7,17604
7.6,12904
8.1,33663
7.7,11949
7.6,180479
7.9,46964
7.6,10426
7.9,19737
7.9,54789
7.8,14430
7.5,11961
7.8,47097
7.9,23223
7.7,10189
8.1,288348
7.3,10913
7.8,10344
8.1,106349
7.9,18845
7.7,12469
8.0,12671
8.0,26566
7.8,43270
8.0,370125
7.8,12529
7.6,16335
7.7,88140
7.5,18345
8.0,85331
8.4,201694
7.9,53269
7.6,11641
7.9,63095
7.4,130411
8.1,123083
8.1,28042
7.5,11851
7.8,10857
8.3,400004
7.2,119020
7.5,15050
7.7,21233
7.8,19001
8.0,10370
8.0,148264
7.6,12104
7.7,15321
7.9,23877
7.4,32540
7.3,23848
7.3,130540
8.5,518779
7.3,19956
7.4,13435
7.7,22474
7.6,15825
7.9,15107
7.5,10718
7.2,23237
6.4,78683
8.2,29319
7.7,14046
7.1,11031
8.1,13118
7.9,11263
8.0,20747
7.8,59193
8.0,64818
8.3,142586
7.8,24401
8.0,57049
7.0,10518
8.0,42457
7.6,26315
7.6,20818
7.6,12000
7.8,30862
7.7,14005
7.5,12955
8.0,35377
7.6,10906
7.4,15054
8.4,18126
7.6,10913
7.9,33364
8.0,22625
7.5,11766
7.8,14461
7.6,43231
6.4,12343
7.9,24074
7.9,78481
7.7,27755
7.8,21975
8.6,400979
7.8,19093
8.1,19335
7.8,21417
7.9,91836
7.5,18451
8.0,23228
7.1,11324
7.4,23979
7.6,14766
7.8,21561
7.5,17602
7.2,14719
7.9,10509
7.9,15654
7.9,41155
7.9,15797
8.0,32548
6.6,10057
7.4,14693
7.5,16347
7.6,15234
7.8,36840
8.3,145216
7.6,26761
8.0,10966
7.3,10195
7.6,12073
7.8,11280
7.8,27986
8.1,30693
8.0,128925
8.2,113634
7.7,10321
7.5,19328
7.0,13117
7.5,13232
8.3,14412
8.1,13744
8.0,34292
7.9,15161
7.4,15883
8.0,10385
7.3,15822
8.1,157827
7.7,12144
8.1,29601
8.2,119910
7.9,23888
7.3,144936
7.3,10740
7.6,11569
7.9,52429
8.0,26474
7.9,10049
7.9,11956
8.3,18306
8.2,151471
7.1,14363
7.1,12705
8.4,200273
7.6,16675
8.4,21900
7.7,71126
7.4,128228
7.2,30348
8.1,31355
7.7,76121
8.0,11053
7.8,20082
7.2,13538
8.1,20297
7.9,122805
8.0,98566
7.1,25703
7.8,13209
6.6,12882
7.9,96785
8.3,67741
7.6,12735
8.1,18074
7.0,12834
7.3,10096
7.7,34467
8.3,217386
8.2,22839
7.4,10307
7.5,10020
8.0,23427
5.5,10028
7.6,43120
7.2,31522
7.1,16202
6.9,20436
7.3,18986
7.3,10360
7.0,14784
7.3,125745
7.7,12906
8.0,126664
8.1,54186
7.6,36859
7.5,12704
8.0,50877
8.2,52527
8.3,20734
7.5,16716
7.9,15906
7.1,32556
7.2,29204
7.7,24256
7.0,26602
8.0,61261
8.2,157127
7.6,28830
7.7,15536
8.1,141178
8.4,441194
6.6,10445
7.7,59008
8.4,14397
7.4,21190
8.6,313743
7.6,15833
8.0,58005
7.2,19876
7.6,33865
6.8,14584
8.5,14703
7.6,13277
7.2,15396
7.7,19258
7.7,10792
8.2,28278
7.9,40024
7.1,15608
6.6,21209
7.6,18525
7.3,122142
7.7,26118
7.7,21322
7.7,15241
8.0,81465
8.6,17101
7.0,11290
8.3,13962
8.6,23240
7.7,82875
7.1,33950
7.8,12296
7.4,64556
7.1,33562
8.4,11524
6.8,24581
7.5,12820
8.2,16586
6.4,10707
7.9,11608
7.6,45044
7.6,33892
7.0,13966
7.7,44633
8.0,81233
7.4,23693
7.4,10498
7.4,58109
7.3,16913
7.9,79830
7.9,63252
8.3,18996
7.4,10235
9.0,684243
7.6,18112
7.5,27532
8.1,202299
8.2,13811
7.0,26946
7.2,13924
7.6,15886
8.1,46265
8.3,14933
7.2,13859
7.8,18710
7.5,11991
8.1,42656
7.3,11811
8.4,176766
8.2,163403
8.2,95383
8.1,27908
8.4,107905
7.4,25487
7.1,11976
8.0,21934
7.9,10329
7.9,15714
6.4,23272
8.0,44753
7.6,13492
7.3,20980
7.1,20748
6.7,19524
6.9,23419
8.1,34396
7.9,13473
4.0,35901
7.8,10537
7.3,10185
8.0,98057
8.3,361788
7.1,12851
9.0,70339
8.0,59492
8.5,11920
8.1,218242
7.4,11915
7.9,28148
7.9,14665
7.0,15681
8.3,297230
7.1,11921
7.3,12669
7.7,19524
7.4,15439
8.1,104308
8.0,55864
7.3,10326
7.2,134654
8.2,242292
7.6,13739
7.7,27372
7.8,72716
8.3,12120
8.6,31038
7.5,32672
6.9,14313
8.3,163074
7.9,26331
8.0,66090
7.8,10325
7.0,12009
8.1,27121
8.1,26525
6.3,16293
7.7,87286
7.2,13601
8.1,18037
6.6,19894
7.7,31179
7.8,14106
8.5,600270
8.3,16490
7.9,123773
7.2,14134
7.6,35939
7.5,17456
8.5,15257
7.3,15142
8.0,10917
7.8,20254
7.6,165638
7.8,14478
7.3,12824
7.5,45264
8.0,74785
7.8,26855
8.2,68983
7.8,37278
7.2,17172
7.3,151882
7.9,19397
7.1,10011
7.1,18833
7.1,12712
7.8,17678
8.1,22720
7.5,15405
8.1,22227
7.5,96421
8.2,110297
7.0,18535
7.8,16023
7.7,26278
7.1,20904
7.9,16781
7.9,11363
8.1,11439
7.2,149048
8.6,40927
7.2,11703
7.1,18496
8.1,31330
8.3,29566
8.3,266318
7.6,92297
7.8,51980
8.1,68412
7.9,70891
8.1,15882
7.7,15847
7.3,14903
7.5,19981
7.5,12030
8.1,32663
8.2,292499
8.0,27729
8.1,49835
8.1,29500
7.9,17466
8.4,35153
8.0,108235
7.7,170747
7.9,68002
7.0,29239
8.4,447879
7.4,119340
8.0,22939
8.2,223377
7.5,34828
7.8,19428
7.4,17113
7.5,37757
7.3,24443
6.9,17404
7.2,12966
7.6,28694
8.1,22015
6.7,15384
7.1,48177
7.8,19328
6.6,10578
7.9,10201
7.4,10872
7.2,89070
8.4,33584
6.5,11616
7.1,10436
7.9,17872
7.9,14353
7.5,16971
7.3,12566
7.8,12376
7.7,20595
7.7,22580
7.8,13545
7.6,13749
8.0,19736
7.2,11157
7.7,172943
7.6,40081
7.6,12846
8.0,15254
7.2,44984
7.8,156909
7.0,12588
7.8,86025
7.6,10647
8.0,16259
7.8,23470
8.0,196902
8.1,26615
2.7,10892
7.8,12857
7.5,25770
8.5,17248
6.9,17589
7.8,10780
7.7,35740
8.2,10876
7.4,13122
8.4,16595
7.1,22849
8.1,52583
6.8,14774
6.8,13259
8.3,32432
7.3,15166
8.0,69402
6.7,13716
7.5,18801
7.6,11983
7.2,16048
7.2,17202
7.9,12603
7.2,13984
8.6,11894
8.3,231167
7.6,29382
7.7,48653
7.2,14442
8.0,202530
7.6,15005
7.0,106256
7.8,14284
7.1,12586
7.5,18736
8.3,72888
7.0,13434
8.1,46383
7.9,17846
6.5,29587
7.6,56135
8.8,684035
7.2,10296
7.1,11739
7.2,24708
8.3,45010
7.2,41020
6.8,16990
7.3,12634
8.0,15943
7.6,24620
8.2,16854
8.4,10805
7.7,31055
1.9,34710
7.6,12613
7.7,11404
8.1,102029
7.3,13943
7.6,13454
7.7,16429
7.4,10150
6.7,24623
8.0,68687
8.4,12303
7.0,16831
7.7,39969
7.8,101695
5.1,27199
8.1,160804
7.7,66847
7.6,24207
7.2,29472
8.0,252577
7.8,39345
7.0,35030
7.4,11111
7.9,23837
7.9,67335
8.4,10824
7.6,165327
7.8,10234
7.9,19200
7.3,18310
8.1,45059
7.7,15545
7.5,12182
7.8,27611
7.2,13069
6.9,98268
8.3,599668
7.2,11809
7.7,12137
5.9,32232
8.5,13230
7.4,60667
6.9,40876
6.5,15642
7.4,19604
7.7,13817
5.8,12044
7.9,28863
7.9,116008
7.7,31423
7.4,34498
7.5,37816
8.0,164653
7.6,49787
7.6,29273
8.0,192518
8.0,12281
7.7,10019
7.2,12072
7.0,22664
7.6,18491
7.4,24394
7.5,22172
