,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,50.5,50.860001,49.740002,49.82,48.651249,4330100,0.0
1,1,1,1,2018-04-10,50.52,50.57,47.209999,47.459999,46.346611,12805000,2.0497261072424378
2,2,2,2,2018-04-11,47.150002,47.459999,45.369999,45.400002,44.334946,10151100,2.0453743812610408
3,3,3,3,2018-04-12,46.029999,46.799999,45.509998,46.57,45.477493,7040400,1.9748765729010092
4,4,4,4,2018-04-13,46.75,47.049999,45.75,45.869999,44.79391500000001,5226300,2.0152605409910733
5,5,5,5,2018-04-16,46.130001,46.939999,45.810001,46.400002,45.311485,4516300,1.9885775220440725
6,6,6,6,2018-04-17,46.75,47.029999,45.619999,45.75,44.676727,6961100,2.014207693989071
7,7,7,7,2018-04-18,46.5,48.380001,46.049999,47.759998,46.639568,9170700,1.9579146129779987
8,8,8,8,2018-04-19,47.529999,47.77,46.41,46.880001,45.78022,5759300,2.0187712666644355
9,9,9,9,2018-04-20,46.91,47.240002,46.439999,46.779999,45.68256,5344700,2.0021377084681
10,10,10,10,2018-04-23,46.849998,47.189999,46.119999,46.68,45.584911,4221700,2.0021422236503854
11,11,11,11,2018-04-24,46.720001,47.169998,45.110001,45.689999,44.61813400000001,3954300,2.0216677833588923
12,12,12,12,2018-04-25,45.669998,45.93,43.889999,45.25,44.188461,7847600,2.00972373480663
13,13,13,13,2018-04-26,43.490002,43.799999,40.650002,42.369999,41.376022,20517300,2.067972647344174
14,14,14,14,2018-04-27,42.549999,43.48,42.330002,43.400002,42.38185900000001,6955200,1.976267213075244
15,15,15,15,2018-04-30,43.5,43.810001,42.759998,42.93,41.922886,6472900,2.0109481015606803
16,16,16,16,2018-05-01,42.860001,43.459999,42.560001,43.360001,42.342793,5341200,1.9900830029962406
17,17,17,17,2018-05-02,43.23,43.41,42.189999,42.240002,41.249073,6314400,2.026515126585458
18,18,18,18,2018-05-03,42.25,42.490002,41.540001,42.110001,41.122124,4700500,2.0030871763693376
19,19,19,19,2018-05-04,41.75,43.450001,41.75,42.860001,41.854527,5540900,1.982501166997173
20,20,20,20,2018-05-07,42.919998,43.23,42.119999,42.439999,41.541302,5331000,2.00989637158097
21,21,21,21,2018-05-08,42.330002,44.009998,42.330002,43.0,42.089439,7766600,1.9869767209302325
22,22,22,22,2018-05-09,42.93,43.16,41.470001,41.5,40.621204,8273700,2.036144578313253
23,23,23,23,2018-05-10,41.509998,42.459999,41.509998,42.040001,41.149773,7931600,1.9871550669087756
24,24,24,24,2018-05-11,42.080002,42.66,42.02,42.599998,41.697918,6066700,1.9868545298992735
25,25,25,25,2018-05-14,42.75,43.09,42.200001,42.459999,41.560879,4201600,2.0032971974398777
26,26,26,26,2018-05-15,42.02,43.400002,41.599998,43.189999,42.275425,6909600,1.983097938946468
27,27,27,27,2018-05-16,43.130001,44.91,43.040001,44.060001,43.126999,7493600,1.980254153875303
28,28,28,28,2018-05-17,43.900002,44.509998,43.490002,43.630001,42.7061,5334100,2.009855603716351
29,29,29,29,2018-05-18,43.560001,43.759998,43.040001,43.380001,42.461399,4216100,2.005763024302374
30,30,30,30,2018-05-21,43.740002,44.790001,43.630001,44.279999,43.342335,4930200,1.9796748414560714
31,31,31,31,2018-05-22,44.5,45.040001,42.830002,42.880001,41.971981,6892400,2.0326492063281436
32,32,32,32,2018-05-23,42.639999,42.869999,42.27,42.799999,41.893673,3915900,2.00186920565115
33,33,33,33,2018-05-24,42.939999,43.889999,42.759998,43.560001,42.637589,3855300,1.9825527552214703
34,34,34,34,2018-05-25,43.82,45.82,43.799999,44.91,43.958996,6517300,1.969939902026275
35,35,35,35,2018-05-29,44.599998,45.150002,43.220001,43.59,42.666946,4531800,2.0302821748107363
36,36,36,36,2018-05-30,43.68,43.830002,42.66,43.299999,42.383091,5457900,2.00669748283366
37,37,37,37,2018-05-31,43.400002,44.709999,42.970001,43.540001,42.618011,8540100,1.9944877814770838
38,38,38,38,2018-06-01,44.049999,44.09,43.349998,44.0,43.068272,5472300,1.989545477272727
39,39,39,39,2018-06-04,44.040001,45.009998,43.959999,44.860001,43.910057,5685200,1.9808292246805792
40,40,40,40,2018-06-05,44.779999,45.02,43.810001,44.18,43.244461,4975300,2.0153916025350833
41,41,41,41,2018-06-06,43.450001,44.23,42.880001,44.189999,43.254242,6502500,1.999773727082456
42,42,42,42,2018-06-07,44.279999,44.48,43.450001,43.84,42.911655,3729000,2.007983553832117
43,43,43,43,2018-06-08,43.959999,43.970001,42.959999,43.110001,42.197113,6273000,2.016933402529961
44,44,44,44,2018-06-11,43.25,44.93,43.25,44.16,43.22488,6440700,1.976222848731884
45,45,45,45,2018-06-12,44.23,44.299999,43.09,43.41,42.490761,5204600,2.0172771250863857
46,46,46,46,2018-06-13,43.389999,43.689999,42.830002,42.919998,42.011131,5989000,2.0114166361331143
47,47,47,47,2018-06-14,43.060001,43.490002,42.799999,43.080002,42.167755,4019300,1.9962858868948057
48,48,48,48,2018-06-15,43.060001,43.110001,42.32,42.77,41.86431500000001,7032000,2.007248117839607
49,49,49,49,2018-06-18,42.630001,42.68,41.939999,42.439999,41.541302,5372100,2.0077757070635185
50,50,50,50,2018-06-19,42.029999,42.209999,41.09,41.509998,40.631001,5575300,2.0224042651122263
51,51,51,51,2018-06-20,41.650002,42.34,41.349998,42.029999,41.13998,4930600,1.9876278607572655
52,52,52,52,2018-06-21,42.029999,42.5,41.369999,41.490002,40.611423,5025300,2.0130151114478134
53,53,53,53,2018-06-22,41.459999,42.41,41.02,41.349998,40.474384,9115100,2.0033858284588066
54,54,54,54,2018-06-25,41.09,41.27,39.290001,39.68,38.839748,7126400,2.0420866431451614
55,55,55,55,2018-06-26,39.869999,39.959999,38.990002,39.09,38.262241,6037400,2.015093374264518
56,56,56,56,2018-06-27,39.09,39.18,38.25,38.259998,37.449818,7391600,2.021693728264178
57,57,57,57,2018-06-28,38.330002,38.529999,37.060001,38.200001,37.391087,7909700,2.0015706020531256
