,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,112.940002,114.889999,110.190002,110.349998,109.017227,829500,0.0
1,1,1,1,2018-04-10,111.139999,112.68,109.529999,112.139999,110.785606,926800,1.9840378008207402
2,2,2,2,2018-04-11,111.160004,112.32,110.150002,110.93,109.590218,577600,2.0109077706661855
3,3,3,3,2018-04-12,111.459999,112.589996,110.360001,110.57,109.234566,850700,2.0032558560188116
4,4,4,4,2018-04-13,111.139999,112.400002,105.389999,106.610001,105.322403,1530400,2.0371447234110804
5,5,5,5,2018-04-16,106.93,108.029999,105.019997,106.449997,105.16433700000002,971500,2.001503090695249
6,6,6,6,2018-04-17,108.75,109.93,106.779999,108.199997,106.893181,1254300,1.9838262472410235
7,7,7,7,2018-04-18,108.849998,109.720001,106.550003,107.389999,106.092972,1303600,2.007542583178532
8,8,8,8,2018-04-19,107.550003,108.209999,103.489998,105.18,103.909676,1516400,2.021011589655828
9,9,9,9,2018-04-20,105.279999,106.449997,102.900002,103.760002,102.506813,1064500,2.0136854083715225
10,10,10,10,2018-04-23,103.260002,105.599998,102.150002,105.519997,104.245567,1029500,1.983320744408285
11,11,11,11,2018-04-24,105.760002,107.830002,105.199997,106.93,105.638527,1162900,1.9868137753670625
12,12,12,12,2018-04-25,106.82,109.309998,106.440002,107.82,106.517784,1031300,1.9917455017621963
13,13,13,13,2018-04-26,112.019997,115.120003,110.080002,113.18,111.813049,1672500,1.95264180950698
14,14,14,14,2018-04-27,113.150002,116.610001,112.650002,116.339996,114.934875,1158600,1.9728382662141402
15,15,15,15,2018-04-30,116.459999,116.68,113.860001,114.449997,113.067696,1057400,2.0165137531633137
16,16,16,16,2018-05-01,113.860001,115.699997,113.089996,115.580002,114.184059,806900,1.9902231789198273
17,17,17,17,2018-05-02,115.510002,117.089996,113.800003,115.900002,114.500206,1113000,1.9972389991848318
18,18,18,18,2018-05-03,115.580002,116.610001,114.540001,115.43,114.03588899999998,711400,2.0040717491120157
19,19,19,19,2018-05-04,115.0,117.730003,113.839996,116.669998,115.260902,860800,1.989371749196396
20,20,20,20,2018-05-07,116.989998,117.5,115.089996,116.139999,114.737305,672500,2.004563449324638
21,21,21,21,2018-05-08,118.809998,118.970001,116.309998,116.800003,115.389328,1084900,1.994349280967056
22,22,22,22,2018-05-09,116.870003,118.139999,111.860001,117.989998,116.564957,1476400,1.9899144417309
23,23,23,23,2018-05-10,118.25,118.589996,116.779999,118.230003,116.802063,594200,1.9979700161218807
