,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,91.389999,93.379997,90.419998,90.480003,77.519531,8302100,0.0
1,1,1,1,2018-04-10,91.5,94.389999,90.93,93.620003,80.209747,6253700,1.9664601591606445
2,2,2,2,2018-04-11,92.580002,94.480003,92.400002,93.639999,80.226875,7135700,1.9997864587760192
3,3,3,3,2018-04-12,93.709999,93.709999,92.07,92.120003,79.74211899999997,6402500,2.0165001731491476
4,4,4,4,2018-04-13,92.629997,92.639999,91.089996,91.830002,79.491074,4630000,2.003158020186039
5,5,5,5,2018-04-16,92.889999,93.489998,92.309998,92.599998,80.15763100000002,3922500,1.9916847082437303
6,6,6,6,2018-04-17,93.199997,94.010002,92.620003,93.589996,81.01460300000002,4474700,1.9894219677068905
7,7,7,7,2018-04-18,94.0,94.599998,93.019997,94.32,81.646507,5289700,1.9922603477523324
8,8,8,8,2018-04-19,94.43,94.529999,91.400002,93.010002,80.512535,4972900,2.0140844852363293
9,9,9,9,2018-04-20,93.410004,93.800003,92.019997,92.599998,80.15763100000002,4754800,2.004427689080512
10,10,10,10,2018-04-23,92.93,93.800003,92.730003,93.169998,80.651039,4716300,1.9938821507756175
11,11,11,11,2018-04-24,92.949997,93.480003,90.440002,91.360001,79.084236,6378300,2.0198117007463696
12,12,12,12,2018-04-25,90.959999,92.279999,90.519997,91.870003,79.525719,5487800,1.9944486558904326
13,13,13,13,2018-04-26,94.0,98.550003,93.580002,97.440002,84.347298,12594400,1.9428366288416126
14,14,14,14,2018-04-27,97.440002,99.349998,96.370003,98.730003,85.463959,6117600,1.986934052863343
15,15,15,15,2018-04-30,99.050003,99.419998,96.519997,96.550003,83.576874,7449400,2.0225789739229736
16,16,16,16,2018-05-01,102.099998,103.370003,101.18,102.07,88.355164,11910500,1.9459194964240227
17,17,17,17,2018-05-02,101.169998,101.760002,99.959999,100.370003,86.88359799999998,7625600,2.016937301476418
18,18,18,18,2018-05-03,100.199997,100.769997,98.769997,100.279999,86.805687,7699500,2.0008975269335614
19,19,19,19,2018-05-04,99.900002,100.93,99.120003,100.169998,86.710464,5224400,2.001098143178559
20,20,20,20,2018-05-07,100.75,101.269997,99.239998,99.629997,86.243034,6151500,2.0054200644008855
21,21,21,21,2018-05-08,99.129997,99.779999,98.699997,99.400002,86.04393,7620900,2.002313832951432
22,22,22,22,2018-05-09,99.440002,102.040001,98.900002,101.18,87.584755,5665600,1.9824076101996442
23,23,23,23,2018-05-10,102.580002,103.809998,101.93,102.849998,89.030357,5369700,1.9837627804329174
24,24,24,24,2018-05-11,103.459999,104.690002,102.040001,104.18,90.181664,6358900,1.987233614897293
25,25,25,25,2018-05-14,104.400002,106.300003,104.330002,105.889999,91.66188,8471700,1.9838511755959125
26,26,26,26,2018-05-15,105.379997,105.559998,103.589996,104.18,90.181664,8387600,2.0164138894221537
27,27,27,27,2018-05-16,104.459999,105.650002,104.199997,105.040001,90.926102,8296700,1.9918126333605044
28,28,28,28,2018-05-17,105.099998,105.410004,104.209999,105.32,91.168488,6702900,1.9973414451196356
29,29,29,29,2018-05-18,105.269997,106.779999,105.110001,105.980003,91.739815,5328000,1.993772381757717
