,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,57.860001,59.110001,57.450001,58.220001,55.63134,5712300,0.0
1,1,1,1,2018-04-10,59.02,59.610001,58.709999,59.139999,56.510437,5178400,1.9844437264870431
2,2,2,2,2018-04-11,58.639999,59.049999,58.209999,58.450001,55.85111600000001,4044900,2.0118049270863145
3,3,3,3,2018-04-12,58.5,59.18,58.459999,58.830002,56.48481,4572300,1.9935406937433044
4,4,4,4,2018-04-13,59.18,59.380001,58.470001,58.490002,56.158363,8223700,2.0058129592814855
5,5,5,5,2018-04-16,59.0,59.529999,58.919998,59.27,56.907265,6807500,1.9868399190146784
6,6,6,6,2018-04-17,59.650002,59.959999,59.049999,59.799999,57.416142,5604600,1.991137140320019
7,7,7,7,2018-04-18,59.0,59.619999,57.450001,59.52,57.147305,12648500,2.0047042842741933
8,8,8,8,2018-04-19,59.52,60.029999,59.200001,59.880001,57.492947,7675500,1.9939879593522385
9,9,9,9,2018-04-20,59.849998,59.950001,58.82,59.189999,56.83045600000001,5867500,2.0116574085429533
10,10,10,10,2018-04-23,59.279999,59.459999,58.59,58.84,56.49440799999999,4516100,2.005948317471108
11,11,11,11,2018-04-24,59.09,59.169998,57.669998,58.310001,55.985535,7480300,2.0090893327201282
12,12,12,12,2018-04-25,58.040001,58.669998,57.700001,58.650002,56.311981,5910000,1.9942028816981114
13,13,13,13,2018-04-26,58.689999,59.52,58.5,59.5,57.128098,7372800,1.9857143193277311
14,14,14,14,2018-04-27,59.490002,59.689999,59.139999,59.560001,57.185707,4135400,1.9989925957187273
15,15,15,15,2018-04-30,59.759998,59.799999,58.099998,58.130001,55.81271,6096100,2.0246000339824524
16,16,16,16,2018-05-01,57.700001,58.869999,57.549999,58.82,56.475201,6406400,1.9882693131587896
17,17,17,17,2018-05-02,58.490002,58.560001,57.669998,57.849998,55.543869,4519900,2.01676753731262
18,18,18,18,2018-05-03,57.790001,57.939999,56.810001,57.93,55.620682,5641000,1.9986189884343173
19,19,19,19,2018-05-04,57.639999,59.080002,57.48,58.740002,56.398396,5833200,1.9862103852158535
20,20,20,20,2018-05-07,58.990002,59.759998,58.939999,59.32,56.955273,5656100,1.9902225556304787
21,21,21,21,2018-05-08,59.119999,59.130001,58.240002,58.709999,56.369591,6778500,2.010390070011754
22,22,22,22,2018-05-09,58.810001,59.580002,58.419998,59.400002,57.032089,4103400,1.9883837882699062
23,23,23,23,2018-05-10,59.630001,60.610001,59.360001,60.560001,58.14584,4791100,1.9808454593651674
24,24,24,24,2018-05-11,60.220001,61.299999,60.220001,61.259998,58.81793199999999,5768100,1.988573342754598
25,25,25,25,2018-05-14,61.5,62.169998,61.389999,62.02,59.547638,7705700,1.9877458561754273
26,26,26,26,2018-05-15,61.439999,61.580002,60.32,60.540001,58.12664,5333500,2.024446629923247
27,27,27,27,2018-05-16,60.57,61.150002,60.400002,60.77,58.347473,3588600,1.996215254237288
28,28,28,28,2018-05-17,60.799999,61.16,60.369999,61.060001,58.625912,4157900,1.9952505569071315
29,29,29,29,2018-05-18,61.02,61.869999,60.939999,61.709999,59.249996,6357700,1.9894668933635862
30,30,30,30,2018-05-21,62.0,62.490002,61.790001,62.110001,59.634052,4610100,1.9935597811373404
31,31,31,31,2018-05-22,62.099998,62.290001,60.959999,61.389999,58.942753,6802200,2.0117283272801485
32,32,32,32,2018-05-23,61.220001,61.970001,61.220001,61.84,59.374821,4318000,1.9927231403622252
33,33,33,33,2018-05-24,61.889999,62.720001,61.889999,62.509998,60.01810500000001,5783900,1.9892817465775634
34,34,34,34,2018-05-25,62.490002,62.580002,62.060001,62.369999,59.883686,3839100,2.0022446529139755
35,35,35,35,2018-05-29,61.580002,61.869999,60.849998,61.299999,58.856346,4967400,2.017455138947066
36,36,36,36,2018-05-30,61.779999,62.650002,61.439999,62.07,59.595646,5954100,1.9875946350894154
37,37,37,37,2018-05-31,61.900002,62.23,61.509998,61.529999,59.07717099999999,6322200,2.0087762231232933
38,38,38,38,2018-06-01,61.959999,62.490002,61.849998,62.41,59.922092000000006,3595800,1.9858996795385355
39,39,39,39,2018-06-04,62.32,63.110001,62.279999,63.02,60.507774,4063300,1.990320533164075
40,40,40,40,2018-06-05,63.09,63.299999,62.610001,63.029999,60.517376,4469400,1.9998413612540278
41,41,41,41,2018-06-06,63.110001,63.549999,62.779999,63.540001,61.00705,4064400,1.9919735286123146
42,42,42,42,2018-06-07,63.560001,63.849998,62.869999,63.18,60.6614,3834300,2.005698021525799
43,43,43,43,2018-06-08,63.009998,63.41,62.84,63.27,60.74781,4674900,1.9985775248933144
44,44,44,44,2018-06-11,63.279999,63.48,62.900002,63.130001,60.61339200000001,5339300,2.002217630251582
45,45,45,45,2018-06-12,63.27,63.419998,62.610001,62.919998,60.411758,4869100,2.0033376193050736
46,46,46,46,2018-06-13,63.060001,63.169998,62.470001,62.630001,60.133324,6189100,2.004630320858529
47,47,47,47,2018-06-14,62.860001,63.23,62.740002,62.959999,60.45016500000001,3980800,1.994758608557157
48,48,48,48,2018-06-15,62.860001,63.080002,62.259998,62.91,60.402161,11859400,2.0007947703067877
49,49,49,49,2018-06-18,62.59,62.869999,62.279999,62.82,60.31575,3672700,2.0014326647564467
50,50,50,50,2018-06-19,62.240002,62.41,61.919998,62.34,59.854881000000006,5302300,2.0076997112608277
51,51,51,51,2018-06-20,62.209999,62.5,62.040001,62.139999,59.662857,5121300,2.0032185549278814
52,52,52,52,2018-06-21,61.970001,62.099998,61.450001,61.75,59.288399,4065600,2.0063157732793524
53,53,53,53,2018-06-22,62.23,62.389999,61.66,61.939999,59.470833,4389700,1.9969325314325561
54,54,54,54,2018-06-25,61.700001,61.77,60.32,60.77,58.347473,6012600,2.0192529043936154
55,55,55,55,2018-06-26,60.639999,61.09,60.490002,60.810001,58.385876,4303800,1.9993421970178886
56,56,56,56,2018-06-27,61.209999,62.139999,60.490002,60.490002,58.07863199999999,6665200,2.0052901138935324
57,57,57,57,2018-06-28,60.459999,61.48,60.459999,61.27,58.827541,4237200,1.9872694956748815
58,58,58,58,2018-06-29,61.490002,61.869999,60.919998,60.990002,58.558701,5807300,2.004590883600889
59,59,59,59,2018-07-02,60.630001,61.02,60.32,61.0,58.568302,4365200,1.9998360983606558
60,60,60,60,2018-07-03,60.970001,61.23,60.630001,60.810001,58.385876,2245200,2.0031244696082147
61,61,61,61,2018-07-05,61.189999,61.41,60.759998,61.330002,58.885151,4065200,1.9915212623016059
62,62,62,62,2018-07-06,61.57,62.400002,61.259998,62.16,59.68206,3647900,1.986647393822394
63,63,63,63,2018-07-09,62.23,62.630001,62.139999,62.439999,59.95089300000001,3654900,1.9955157110108217
64,64,64,64,2018-07-10,62.560001,63.119999,62.470001,62.810001,60.306152,3963600,1.9941091865290688
65,65,65,65,2018-07-11,62.560001,62.880001,62.330002,62.57,60.07571,3414100,2.003835719993607
66,66,66,66,2018-07-12,62.5,62.799999,62.380001,62.740002,60.509716,3736500,1.99729037305418
67,67,67,67,2018-07-13,62.75,63.439999,62.720001,63.060001,60.818344,5326800,1.9949254837468209
68,68,68,68,2018-07-16,62.950001,63.0,61.709999,61.779999,59.58383900000001,5764400,2.020718711892501
69,69,69,69,2018-07-17,61.84,63.259998,61.549999,62.799999,60.567581,7946200,1.9837579615248082
70,70,70,70,2018-07-18,64.309998,65.5,64.199997,64.75,62.448265,10650600,1.9698841544401544
71,71,71,71,2018-07-19,64.68,64.970001,63.509998,63.779999,61.51274100000001,6761100,2.0152085452368853
72,72,72,72,2018-07-20,63.610001,64.040001,63.279999,63.32,61.06910300000001,5763700,2.0072646715097915
73,73,73,73,2018-07-23,63.259998,63.290001,62.869999,63.200001,60.95336500000001,4790900,2.0018987183243873
74,74,74,74,2018-07-24,63.549999,64.610001,63.419998,64.400002,62.11071800000001,6545400,1.9813664446780608
75,75,75,75,2018-07-25,64.160004,65.360001,64.120003,65.230003,62.911201,5863900,1.987275778601451
76,76,76,76,2018-07-26,65.360001,65.900002,64.870003,65.660004,63.325924,5517000,1.9934510969569845
77,77,77,77,2018-07-27,65.510002,65.800003,64.959999,65.260002,62.94014,4299000,2.006129359297292
78,78,78,78,2018-07-30,64.970001,65.510002,64.970001,65.16999799999999,62.853333,5108300,2.0013810649495496
79,79,79,79,2018-07-31,65.370003,65.769997,65.260002,65.540001,63.210186,5399400,1.9943545469277606
80,80,80,80,2018-08-01,65.349998,65.75,64.709999,64.779999,62.477203,4162900,2.01173204710917
81,81,81,81,2018-08-02,64.5,64.779999,63.91,64.58000200000001,62.284321,4706200,2.003096887485386
82,82,82,82,2018-08-03,64.769997,65.239998,64.440002,65.230003,62.911201,3945000,1.990035244977683
83,83,83,83,2018-08-06,65.089996,65.5,64.959999,65.239998,62.920841,3690700,1.9998467964392028
84,84,84,84,2018-08-07,65.18,65.32,64.730003,64.739998,62.438614,3329000,2.007723200732876
85,85,85,85,2018-08-08,64.739998,65.309998,64.559998,64.839996,62.535057,4103100,1.9984577728845017
86,86,86,86,2018-08-09,64.790001,65.07,64.58000200000001,64.639999,62.342175,2578500,2.0030940130429147
87,87,87,87,2018-08-10,64.440002,64.599998,63.869999,64.029999,61.753864,3841200,2.0095267844686364
88,88,88,88,2018-08-13,64.019997,64.32,63.360001,63.43,61.175186,4407400,2.0094592306479586
89,89,89,89,2018-08-14,63.450001,63.919998,63.389999,63.630001,61.368080000000006,3246400,1.9968568128735373
90,90,90,90,2018-08-15,63.450001,63.560001,63.07,63.470001,61.213772,3724900,2.0025208759646937
91,91,91,91,2018-08-16,63.790001,64.339996,63.599998,64.160004,61.879238,3714900,1.9892455898225943
92,92,92,92,2018-08-17,64.239998,64.91999799999999,64.029999,64.720001,62.419334,4768200,1.991347388885238
93,93,93,93,2018-08-20,65.0,65.129997,64.379997,64.639999,62.342175,5075400,2.001237654722117
94,94,94,94,2018-08-21,64.910004,65.07,64.5,64.75,62.448265,4045500,1.9983011428571427
95,95,95,95,2018-08-22,64.510002,65.82,64.480003,65.66999799999999,63.335552,5203300,1.9859905888835265
96,96,96,96,2018-08-23,65.66999799999999,66.16999799999999,65.639999,65.83000200000001,63.489872,4428500,1.9975694365010044
97,97,97,97,2018-08-24,65.900002,66.260002,65.790001,66.099998,63.750275,3831200,1.9959153402697531
98,98,98,98,2018-08-27,66.449997,66.889999,66.33000200000001,66.839996,64.463966,3498900,1.9889288144182415
99,99,99,99,2018-08-28,67.029999,67.110001,66.66999799999999,66.790001,64.415749,4089300,2.0007485401894214
100,100,100,100,2018-08-29,66.720001,67.360001,66.629997,67.129997,64.74365999999999,4446000,1.9949352597170533
101,101,101,101,2018-08-30,66.940002,67.309998,66.75,67.019997,64.637566,4140500,2.001641301177617
102,102,102,102,2018-08-31,66.959999,67.239998,66.589996,66.839996,64.463966,5893900,2.002693013326931
103,103,103,103,2018-09-04,66.739998,67.110001,66.57,67.110001,64.724373,4898900,1.995976680137436
104,104,104,104,2018-09-05,66.959999,66.959999,65.540001,66.0,63.653843,6545100,2.016818196969697
105,105,105,105,2018-09-06,66.010002,66.199997,65.220001,65.83000200000001,63.489872,7269700,2.0025823787761694
106,106,106,106,2018-09-07,65.790001,66.459999,65.690002,66.209999,63.856365,4060700,1.9942607309207183
107,107,107,107,2018-09-10,66.449997,66.93,66.440002,66.550003,64.18428,3483300,1.994890999478993
108,108,108,108,2018-09-11,66.379997,66.82,66.110001,66.599998,64.23249799999999,3185100,1.9992493243017815
109,109,109,109,2018-09-12,66.599998,67.120003,66.599998,66.970001,64.589355,3233600,1.9944750934078679
110,110,110,110,2018-09-13,67.230003,68.540001,67.150002,68.5,66.064964,6052400,1.9776642481751825
111,111,111,111,2018-09-14,68.510002,68.82,68.360001,68.41999799999999,65.987808,4217000,2.0011692780230717
112,112,112,112,2018-09-17,68.41999799999999,68.41999799999999,67.510002,67.66999799999999,65.264465,4255500,2.011083198199592
113,113,113,113,2018-09-18,67.760002,68.57,67.760002,68.410004,65.978165,5018000,1.9891827809277716
114,114,114,114,2018-09-19,68.519997,68.959999,68.389999,68.5,66.064964,3424200,1.9986861897810222
115,115,115,115,2018-09-20,68.629997,69.010002,68.400002,68.790001,66.344658,5036700,1.9957842564939055
116,116,116,116,2018-09-21,68.900002,69.25,68.879997,69.050003,66.595413,9331100,1.9962345837986424
117,117,117,117,2018-09-24,70.790001,71.68,70.32,71.440002,68.900452,10111900,1.966545367677901
118,118,118,118,2018-09-25,71.739998,72.230003,71.410004,72.199997,69.633438,8257300,1.9894737530252251
119,119,119,119,2018-09-26,72.059998,73.290001,71.980003,72.839996,70.250679,8854900,1.9912136321369374
120,120,120,120,2018-09-27,73.019997,73.18,72.690002,73.019997,70.424286,5493900,1.9975349081430391
121,121,121,121,2018-09-28,72.779999,73.58000200000002,72.769997,73.360001,70.752197,6572100,1.9953652672387505
122,122,122,122,2018-10-01,73.809998,74.150002,73.540001,74.120003,71.485176,7208800,1.9897463306902459
123,123,123,123,2018-10-02,74.0,74.050003,73.41999799999998,73.809998,71.186195,6251200,2.004200040758706
124,124,124,124,2018-10-03,73.809998,73.900002,71.900002,72.040001,69.479111,7477900,2.0245696415245744
125,125,125,125,2018-10-04,71.769997,71.870003,71.07,71.82,69.26694499999999,6166700,2.003063227513228
126,126,126,126,2018-10-05,71.82,72.459999,71.050003,71.58000200000002,69.035484,5426200,2.00335286383479
127,127,127,127,2018-10-08,71.58000200000002,72.389999,70.599998,71.440002,68.900452,5520500,2.0019596863953057
128,128,128,128,2018-10-09,71.239998,71.589996,70.870003,71.290001,68.755775,4812300,2.002104095916621
129,129,129,129,2018-10-10,71.050003,71.209999,68.779999,68.91999799999999,66.47003199999999,10559200,2.0343877404059123
130,130,130,130,2018-10-11,68.91999799999999,69.470001,67.650002,68.379997,65.94923399999999,11932300,2.0078970608904823
131,131,131,131,2018-10-12,69.370003,69.980003,68.599998,69.33000200000001,67.140381,10431300,1.986297346421539
132,132,132,132,2018-10-15,69.339996,69.379997,68.220001,68.699997,66.530281,6674700,2.009170378857513
133,133,133,133,2018-10-16,69.550003,71.18,69.300003,70.949997,68.70920600000001,7638700,1.9682875250861533
