,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,11.42,11.52,11.33,11.39,10.354164,6087300,0.0
1,1,1,1,2018-04-10,11.51,11.51,11.37,11.43,10.390524,4313600,1.9965004374453195
2,2,2,2,2018-04-11,11.38,11.5,11.38,11.42,10.381434,3826300,2.000875656742557
3,3,3,3,2018-04-12,11.41,11.43,11.25,11.29,10.263256,5565300,2.0115146147032776
4,4,4,4,2018-04-13,11.33,11.42,11.31,11.34,10.308711,2556300,1.9955908289241622
5,5,5,5,2018-04-16,11.41,11.58,11.36,11.57,10.517793,6429200,1.9801210025929126
6,6,6,6,2018-04-17,11.57,11.83,11.46,11.74,10.672334,6433700,1.9855195911413972
7,7,7,7,2018-04-18,11.78,11.81,11.71,11.75,10.681423,6396800,1.9991489361702128
8,8,8,8,2018-04-19,11.72,11.77,11.64,11.75,10.681423,4225800,2.0
9,9,9,9,2018-04-20,11.74,11.74,11.58,11.62,10.563247,3287300,2.0111876075731496
10,10,10,10,2018-04-23,11.67,11.92,11.63,11.86,10.78142,8928900,1.9797639123102866
11,11,11,11,2018-04-24,11.86,12.11,11.83,12.0,10.908689,8287800,1.9883333333333333
12,12,12,12,2018-04-25,11.95,12.05,11.9,12.03,10.93596,5840600,1.9975062344139654
13,13,13,13,2018-04-26,12.06,12.25,12.0,12.17,11.063227,5236800,1.9884963023829088
14,14,14,14,2018-04-27,12.16,12.45,12.14,12.31,11.190494,6476600,1.9886271324126725
15,15,15,15,2018-04-30,12.21,12.31,12.17,12.24,11.245623,7833500,2.005718954248366
16,16,16,16,2018-05-01,12.25,12.26,12.1,12.21,11.218057,5700300,2.0024570024570028
17,17,17,17,2018-05-02,12.17,12.3,12.13,12.19,11.199682,7816100,2.0016406890894176
18,18,18,18,2018-05-03,12.19,12.32,12.05,12.3,11.300746,5957600,1.9910569105691058
19,19,19,19,2018-05-04,12.28,12.4,12.24,12.33,11.328309,3365700,1.9975669099756692
20,20,20,20,2018-05-07,12.32,12.38,12.19,12.37,11.365059,13131900,1.9967663702506064
21,21,21,21,2018-05-08,12.15,12.17,11.66,11.73,10.777053,15873700,2.054560954816709
22,22,22,22,2018-05-09,11.87,12.09,11.77,12.07,11.089431,8094400,1.971830985915493
23,23,23,23,2018-05-10,12.1,12.32,12.07,12.31,11.309933,4207700,1.9805036555645819
24,24,24,24,2018-05-11,12.34,12.38,12.24,12.29,11.291559,3981600,2.0016273393002444
25,25,25,25,2018-05-14,12.32,12.41,12.29,12.35,11.346685,5406700,1.9951417004048584
26,26,26,26,2018-05-15,12.3,12.34,12.22,12.3,11.300746,6206100,2.0040650406504064
27,27,27,27,2018-05-16,12.19,12.32,12.11,12.28,11.282371,5025700,2.001628664495114
28,28,28,28,2018-05-17,12.28,12.32,12.01,12.05,11.071057,8142800,2.0190871369294605
29,29,29,29,2018-05-18,12.06,12.06,11.8,11.93,10.960806,6871600,2.010058675607712
30,30,30,30,2018-05-21,11.99,12.13,11.94,12.06,11.080245,5888400,1.9892205638474296
31,31,31,31,2018-05-22,12.12,12.26,12.1,12.2,11.20887,5304000,1.9885245901639343
32,32,32,32,2018-05-23,12.13,12.23,12.07,12.19,11.199682,5047900,2.000820344544709
33,33,33,33,2018-05-24,12.22,12.43,12.15,12.39,11.383434,4152300,1.9838579499596447
34,34,34,34,2018-05-25,12.39,12.5,12.36,12.41,11.40181,3671700,1.9983883964544722
35,35,35,35,2018-05-29,12.37,12.49,12.3,12.41,11.40181,5008900,2.0
36,36,36,36,2018-05-30,12.43,12.71,12.35,12.67,11.640687,7856100,1.97947908445146
37,37,37,37,2018-05-31,12.62,12.86,12.62,12.75,11.714189,6844900,1.9937254901960786
38,38,38,38,2018-06-01,12.71,12.84,12.63,12.79,11.750938,6194900,1.9968725566849101
39,39,39,39,2018-06-04,12.86,13.09,12.81,12.93,11.879565,8255300,1.9891724671307038
40,40,40,40,2018-06-05,13.0,13.25,12.87,12.93,11.879565,13218800,2.0
41,41,41,41,2018-06-06,12.96,12.98,12.47,12.51,11.493687,7097800,2.0335731414868103
42,42,42,42,2018-06-07,12.53,12.79,12.51,12.72,11.686626,6098200,1.9834905660377358
43,43,43,43,2018-06-08,12.71,12.77,12.6,12.77,11.732564,5656300,1.996084573218481
44,44,44,44,2018-06-11,12.8,12.9,12.65,12.83,11.787688,3889200,1.9953234606391272
45,45,45,45,2018-06-12,12.86,13.07,12.81,13.04,11.980629,6081400,1.9838957055214723
46,46,46,46,2018-06-13,13.1,13.16,13.05,13.13,12.063317,6413700,1.9931454683929932
47,47,47,47,2018-06-14,13.18,13.35,13.08,13.18,12.109257,7081300,1.996206373292868
48,48,48,48,2018-06-15,13.13,13.28,12.88,13.07,12.008191,9932400,2.008416220351951
49,49,49,49,2018-06-18,13.05,13.16,13.0,13.07,12.008191,5218200,2.0
50,50,50,50,2018-06-19,13.08,13.2,12.96,13.08,12.017379,9251400,1.999235474006116
51,51,51,51,2018-06-20,13.09,13.14,12.84,12.93,11.879565,7131900,2.011600928074246
52,52,52,52,2018-06-21,12.95,13.0,12.87,12.89,11.842816,4496300,2.003103180760279
53,53,53,53,2018-06-22,12.95,12.97,12.82,12.86,11.815251,7895500,2.0023328149300155
54,54,54,54,2018-06-25,12.86,12.92,12.77,12.87,11.824439,4960400,1.999222999222999
55,55,55,55,2018-06-26,12.9,13.24,12.82,13.21,12.136819,8508400,1.974261922785768
56,56,56,56,2018-06-27,13.15,13.42,13.1,13.24,12.164381,7917200,1.9977341389728098
57,57,57,57,2018-06-28,13.29,13.56,13.25,13.51,12.412445,9042900,1.9800148038490009
58,58,58,58,2018-06-29,13.51,13.53,13.26,13.41,12.320571,6384100,2.0074571215510812
59,59,59,59,2018-07-02,13.05,13.14,12.81,13.14,12.072505,7761300,2.0205479452054793
60,60,60,60,2018-07-03,13.16,13.18,12.96,13.01,11.953066,3846200,2.0099923136049194
61,61,61,61,2018-07-05,12.95,12.97,12.8,12.97,11.916315,5292000,2.003084040092521
62,62,62,62,2018-07-06,12.96,13.04,12.92,13.0,11.943878,5476100,1.9976923076923077
63,63,63,63,2018-07-09,13.0,13.0,12.57,12.63,11.603937,7724900,2.0292953285827395
64,64,64,64,2018-07-10,12.59,12.9,12.55,12.84,11.796877,9155900,1.983644859813084
65,65,65,65,2018-07-11,12.85,13.12,12.83,13.03,11.971441,6661900,1.985418265541059
66,66,66,66,2018-07-12,13.06,13.14,12.98,13.1,12.035755,4562600,1.9946564885496183
67,67,67,67,2018-07-13,13.12,13.19,13.09,13.18,12.109257,3615100,1.993930197268589
68,68,68,68,2018-07-16,13.18,13.21,13.11,13.13,12.063317,3590800,2.0038080731150036
69,69,69,69,2018-07-17,13.1,13.12,12.83,12.85,11.806066,9094300,2.0217898832684824
70,70,70,70,2018-07-18,12.85,12.86,12.71,12.73,11.695812,9829800,2.00942655145326
71,71,71,71,2018-07-19,12.72,13.11,12.72,13.03,11.971441,8820300,1.9769762087490406
72,72,72,72,2018-07-20,13.03,13.08,12.96,13.03,11.971441,3413200,2.0
73,73,73,73,2018-07-23,13.02,13.16,12.92,13.07,12.008191,6031800,1.9969395562356542
74,74,74,74,2018-07-24,13.09,13.18,12.92,13.11,12.044943,5683000,1.9969488939740656
75,75,75,75,2018-07-25,13.15,13.41,13.13,13.4,12.311382,10616600,1.9783582089552236
76,76,76,76,2018-07-26,13.44,13.58,13.33,13.4,12.311382,6653100,2.0
77,77,77,77,2018-07-27,13.45,13.49,13.31,13.37,12.283819,5321000,2.0022438294689606
78,78,78,78,2018-07-30,13.38,13.46,13.29,13.3,12.219506,7106900,2.005263157894737
79,79,79,79,2018-07-31,13.3,13.46,13.26,13.36,12.274632,10961300,1.9955089820359282
80,80,80,80,2018-08-01,13.36,13.59,13.34,13.47,12.375697,9492500,1.9918337045285819
81,81,81,81,2018-08-02,13.28,13.56,13.27,13.55,12.570516,10164800,1.9940959409594097
82,82,82,82,2018-08-03,13.28,13.74,13.28,13.69,12.700395,8038000,1.989773557341125
83,83,83,83,2018-08-06,13.75,13.87,13.71,13.82,12.820997,8094900,1.9905933429811864
84,84,84,84,2018-08-07,13.27,13.8,13.23,13.63,12.644732,7520700,2.0139398385913427
85,85,85,85,2018-08-08,13.79,14.0,13.69,13.95,12.941601,7915900,1.9770609318996415
86,86,86,86,2018-08-09,13.95,13.97,13.71,13.74,12.74678,6606400,2.0152838427947595
87,87,87,87,2018-08-10,13.71,13.8,13.55,13.56,12.579794,5187700,2.0132743362831858
88,88,88,88,2018-08-13,13.56,13.58,13.35,13.38,12.412805,6132600,2.013452914798206
89,89,89,89,2018-08-14,13.42,13.56,13.4,13.5,12.52413,6105700,1.9911111111111113
90,90,90,90,2018-08-15,13.48,13.55,13.4,13.49,12.514853,7684800,2.000741289844329
91,91,91,91,2018-08-16,13.51,13.93,13.47,13.87,12.867383,7318100,1.9726027397260275
92,92,92,92,2018-08-17,13.76,13.99,13.7,13.94,12.932323,4541800,1.9949784791965566
93,93,93,93,2018-08-20,13.99,14.0,13.89,13.96,12.950877,3721800,1.9985673352435527
94,94,94,94,2018-08-21,13.96,14.02,13.91,13.97,12.960155,3670300,1.9992841803865424
95,95,95,95,2018-08-22,13.95,14.01,13.9,13.99,12.978708,3528200,1.9985704074338815
96,96,96,96,2018-08-23,13.98,14.11,13.96,14.01,12.997263,4758900,1.9985724482512492
97,97,97,97,2018-08-24,14.07,14.09,13.95,14.01,12.997263,3877200,2.0
98,98,98,98,2018-08-27,14.06,14.08,13.92,13.96,12.950877,2827000,2.003581661891117
99,99,99,99,2018-08-28,13.91,13.98,13.84,13.91,12.904491,3084500,2.0035945363048167
100,100,100,100,2018-08-29,14.02,14.1,13.91,14.01,12.997263,5860800,1.9928622412562458
101,101,101,101,2018-08-30,14.0,14.04,13.83,13.9,12.895216,6190000,2.0079136690647483
102,102,102,102,2018-08-31,13.87,13.87,13.4,13.46,12.48702,9630300,2.0326894502228825
103,103,103,103,2018-09-04,13.43,13.53,13.09,13.15,12.199429,10959700,2.023574144486692
104,104,104,104,2018-09-05,13.19,13.5,13.17,13.41,12.440637,9487900,1.980611483967189
