,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,92.769997,92.769997,90.779999,91.220001,86.96096800000002,1161400,0.0
1,1,1,1,2018-04-10,92.870003,93.629997,91.68,92.330002,88.019142,1453300,1.9879778947692432
2,2,2,2,2018-04-11,91.839996,93.989998,91.209999,93.309998,88.9534,1072800,1.9894974169863342
3,3,3,3,2018-04-12,93.650002,94.089996,92.32,93.389999,89.029671,1185400,1.9991433665182927
4,4,4,4,2018-04-13,96.139999,96.440002,94.440002,95.5,91.041145,1999300,1.9779057486910994
5,5,5,5,2018-04-16,96.449997,97.57,94.540001,96.870003,92.347176,1415800,1.9858573040407566
6,6,6,6,2018-04-17,97.639999,97.959999,95.839996,96.629997,92.118378,1164200,2.0024837628836933
7,7,7,7,2018-04-18,97.260002,99.779999,97.050003,98.790001,94.177536,1145700,1.9781353985409922
8,8,8,8,2018-04-19,99.0,99.699997,96.919998,98.589996,93.986862,1526400,2.002028654104013
9,9,9,9,2018-04-20,98.230003,98.32,97.110001,97.75,93.186096,912300,2.0085933094629156
10,10,10,10,2018-04-23,97.669998,98.5,97.029999,97.339996,92.795235,804900,2.004212081537377
11,11,11,11,2018-04-24,97.849998,98.5,94.110001,95.779999,91.308052,1328600,2.016287293968337
12,12,12,12,2018-04-25,95.800003,96.220001,94.480003,95.459999,91.003021,870800,2.0033521894338175
13,13,13,13,2018-04-26,95.839996,97.309998,94.559998,96.550003,92.042114,1030400,1.9887104716092032
14,14,14,14,2018-04-27,96.410004,97.660004,96.139999,96.949997,92.423439,857100,1.9958742236990477
15,15,15,15,2018-04-30,96.959999,98.839996,96.709999,96.959999,92.432961,1441900,1.9998968440583418
16,16,16,16,2018-05-01,96.269997,97.620003,95.660004,97.620003,93.06218,1221600,1.9932390495829013
17,17,17,17,2018-05-02,97.599998,99.769997,97.559998,97.839996,93.271889,1398300,1.9977515023610588
18,18,18,18,2018-05-03,97.849998,99.239998,96.510002,97.889999,93.31955,1384000,1.9994891919449298
19,19,19,19,2018-05-04,97.610001,100.779999,97.519997,100.059998,95.388237,1294300,1.9783130217532086
20,20,20,20,2018-05-07,100.110001,102.379997,99.690002,100.110001,95.435921,1388200,1.9995005194336177
21,21,21,21,2018-05-08,100.0,101.389999,99.5,100.720001,96.017418,1680600,1.9939436060966678
22,22,22,22,2018-05-09,101.720001,102.769997,100.169998,101.75,96.999336,1934900,1.9898771597051597
23,23,23,23,2018-05-10,101.459999,101.889999,96.639999,98.389999,93.796211,3860700,2.034149822483482
24,24,24,24,2018-05-11,98.0,99.029999,97.760002,98.540001,93.939209,1683200,1.998477755241752
25,25,25,25,2018-05-14,99.300003,101.129997,98.980003,99.239998,94.606514,1525200,1.99294642267123
26,26,26,26,2018-05-15,99.080002,101.75,98.029999,100.809998,96.103218,1728400,1.9844261478906091
27,27,27,27,2018-05-16,101.150002,102.900002,101.07,102.349998,97.571312,1545800,1.9849535903264013
28,28,28,28,2018-05-17,102.620003,105.870003,102.5,104.800003,99.906944,2770400,1.9766220903638714
29,29,29,29,2018-05-18,105.0,106.300003,104.150002,104.919998,100.021324,2305800,1.998856319078466
30,30,30,30,2018-05-21,105.5,106.400002,103.510002,104.07,99.211006,1853900,2.008167560295955
31,31,31,31,2018-05-22,104.540001,105.139999,102.129997,102.339996,97.561775,1034200,2.0169044759392016
32,32,32,32,2018-05-23,101.339996,102.25,100.800003,101.839996,97.085121,907200,2.0049096624080778
33,33,33,33,2018-05-24,99.580002,99.970001,94.949997,95.019997,90.583542,3516900,2.0717743550339196
34,34,34,34,2018-05-25,94.400002,95.309998,93.370003,94.82,90.392899,1741900,2.0021092280109682
35,35,35,35,2018-05-29,94.580002,94.790001,92.610001,93.029999,88.686462,1612200,2.019241115975934
36,36,36,36,2018-05-30,93.589996,94.449997,93.0,93.589996,89.220314,1241000,1.994016486548413
37,37,37,37,2018-05-31,93.559998,94.32,93.25,93.470001,89.10592700000002,1430000,2.00128378087853
38,38,38,38,2018-06-01,93.5,95.080002,93.5,94.260002,89.859055,1242800,1.9916189159427347
39,39,39,39,2018-06-04,94.57,95.0,93.830002,94.440002,90.030647,962300,1.9980940279946202
40,40,40,40,2018-06-05,94.5,95.339996,94.290001,94.650002,90.23082,973300,1.9977812995714466
41,41,41,41,2018-06-06,94.800003,95.68,93.949997,95.669998,91.203201,1738000,1.9893383921676258
42,42,42,42,2018-06-07,95.639999,96.43,94.690002,95.220001,90.774223,887500,2.004725866364988
43,43,43,43,2018-06-08,95.199997,95.800003,94.639999,95.370003,90.917206,1044200,1.998427157436495
44,44,44,44,2018-06-11,95.449997,96.379997,94.629997,95.370003,90.917206,815800,2.0
45,45,45,45,2018-06-12,97.110001,97.75,95.360001,95.739998,91.269943,1584600,1.9961354187619684
46,46,46,46,2018-06-13,95.830002,96.029999,94.099998,94.18,89.782776,1598200,2.0165640050966234
47,47,47,47,2018-06-14,94.190002,94.970001,93.349998,93.660004,89.60578199999998,1148200,2.00555195363861
48,48,48,48,2018-06-15,93.129997,93.620003,92.199997,93.330002,89.29007,1698900,2.0035358619193
49,49,49,49,2018-06-18,93.110001,93.139999,92.279999,92.870003,88.849983,1675600,2.0049531494039035
50,50,50,50,2018-06-19,91.809998,91.870003,90.239998,91.400002,87.443619,1841100,2.0160831615736727
51,51,51,51,2018-06-20,92.080002,92.629997,91.309998,91.610001,87.64451600000002,1333700,1.9977076847755955
52,52,52,52,2018-06-21,91.410004,92.559998,91.25,91.970001,87.98893000000002,1319600,1.996085680155641
53,53,53,53,2018-06-22,92.379997,93.620003,92.160004,93.459999,89.414436,1380200,1.9840573719672308
54,54,54,54,2018-06-25,93.650002,94.970001,91.290001,91.959999,87.97936999999996,1414900,2.016311439933791
55,55,55,55,2018-06-26,92.330002,93.099998,91.889999,92.519997,88.515137,1070700,1.9939472760683292
56,56,56,56,2018-06-27,93.739998,96.330002,93.269997,93.410004,89.366623,1967800,1.990472037663118
57,57,57,57,2018-06-28,93.25,93.760002,92.5,93.639999,89.586639,943700,1.9975438380771449
58,58,58,58,2018-06-29,94.129997,96.949997,93.800003,94.330002,90.246788,1768400,1.9926852222477427
59,59,59,59,2018-07-02,93.940002,94.790001,92.980003,93.480003,89.433571,1182400,2.009092843097149
60,60,60,60,2018-07-03,96.660004,97.82,95.879997,96.620003,92.437653,1726500,1.9675015534826676
61,61,61,61,2018-07-05,96.879997,97.370003,93.300003,94.779999,90.677292,1850900,2.0194134207576853
62,62,62,62,2018-07-06,94.379997,96.269997,93.839996,95.540001,91.404411,1171900,1.9920451958127987
63,63,63,63,2018-07-09,95.75,96.519997,95.480003,95.980003,91.825363,1003600,1.9954156909121998
64,64,64,64,2018-07-10,95.980003,96.839996,95.040001,95.809998,91.66272,1124600,2.0017743972815865
65,65,65,65,2018-07-11,95.0,95.209999,94.099998,94.68,90.581635,1173300,2.011934917617237
66,66,66,66,2018-07-12,95.970001,96.290001,94.870003,95.349998,91.222626,996500,1.9929732772516682
67,67,67,67,2018-07-13,95.5,96.0,94.860001,95.57,91.433105,847300,1.9976980014648948
68,68,68,68,2018-07-16,95.489998,95.709999,94.669998,94.959999,90.84951,2343000,2.0064237679699217
