,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,248.369995,255.25999500000003,247.619995,249.059998,249.059998,578900,0.0
1,1,1,1,2018-04-10,254.169998,259.959991,252.339996,258.269989,258.269989,935200,1.9643396778864617
2,2,2,2,2018-04-11,255.580002,260.459991,254.52999900000003,257.019989,257.019989,490800,2.004863434960306
3,3,3,3,2018-04-12,259.619995,264.880005,258.470001,263.76001,263.76001,579300,1.9744463878356695
4,4,4,4,2018-04-13,266.220001,267.209991,259.5,261.720001,261.720001,594100,2.007794623995894
5,5,5,5,2018-04-16,264.769989,268.320007,263.019989,265.5,265.5,533600,1.9857627156308852
6,6,6,6,2018-04-17,269.170013,274.519989,267.77999900000003,272.649994,272.649994,958100,1.9737759246017075
7,7,7,7,2018-04-18,274.0,280.230011,270.570007,277.049988,277.049988,885900,1.9841184111511314
8,8,8,8,2018-04-19,265.820007,267.019989,250.270004,252.77999900000003,252.77999900000003,2458600,2.09601229961236
9,9,9,9,2018-04-20,253.380005,256.660004,245.410004,247.070007,247.070007,1323300,2.0231108262363873
10,10,10,10,2018-04-23,248.630005,251.369995,245.00999500000003,247.199997,247.199997,846500,1.9994741504790552
11,11,11,11,2018-04-24,248.619995,251.470001,235.830002,239.660004,239.660004,1267400,2.0314612070189235
12,12,12,12,2018-04-25,238.470001,245.77999900000003,234.399994,245.630005,245.630005,1298100,1.9756951476673217
13,13,13,13,2018-04-26,261.98999,266.100006,242.710007,259.890015,259.890015,2927800,1.945130596879607
14,14,14,14,2018-04-27,259.98999,260.839996,251.479996,257.899994,257.899994,981700,2.0077162506642017
15,15,15,15,2018-04-30,258.630005,258.630005,249.580002,249.850006,249.850006,1103500,2.032219282796415
16,16,16,16,2018-05-01,249.210007,252.690002,247.50999500000003,251.339996,251.339996,570400,1.994071814976873
17,17,17,17,2018-05-02,250.399994,252.929993,249.169998,249.470001,249.470001,745900,2.007495871216997
18,18,18,18,2018-05-03,249.0,255.410004,244.399994,255.139999,255.139999,964700,1.9777769145480009
19,19,19,19,2018-05-04,251.990005,260.26001,246.380005,258.970001,258.970001,1020600,1.9852106344935294
20,20,20,20,2018-05-07,259.25,267.040009,259.230011,265.02999900000003,265.02999900000003,1186300,1.9771346714603426
21,21,21,21,2018-05-08,263.540009,266.079987,260.230011,265.459991,265.459991,820800,1.9983802003519244
22,22,22,22,2018-05-09,265.48999,270.600006,265.48999,268.0,268.0,747000,1.9905223544776118
23,23,23,23,2018-05-10,268.01001,280.25,267.130005,277.730011,277.730011,1202500,1.9649659359283287
24,24,24,24,2018-05-11,278.290009,288.359985,277.98999,286.48999,286.48999,1471600,1.9694230887438684
25,25,25,25,2018-05-14,286.98999,296.470001,284.75,286.420013,286.420013,1231100,2.0002443160282937
26,26,26,26,2018-05-15,283.5299990000001,284.26001,276.809998,283.769989,283.769989,868300,2.00933863376229
27,27,27,27,2018-05-16,283.5,292.820007,281.609985,287.959991,287.959991,880800,1.9854493605675938
28,28,28,28,2018-05-17,289.519989,294.910004,287.730011,292.720001,292.720001,927900,1.9837386923211988
29,29,29,29,2018-05-18,293.48999,299.459991,292.76001,298.0,298.0,900800,1.9822818825503357
30,30,30,30,2018-05-21,300.0,304.98999,299.470001,302.459991,302.459991,853700,1.9852542778128957
31,31,31,31,2018-05-22,305.959991,306.109985,294.0,297.859985,297.859985,856100,2.015443517866289
32,32,32,32,2018-05-23,297.859985,308.670013,297.170013,308.200012,308.200012,1243400,1.9664502706119298
33,33,33,33,2018-05-24,310.130005,318.589996,308.01001,317.040009,317.040009,1354300,1.9721170932719727
34,34,34,34,2018-05-25,318.079987,322.670013,316.380005,318.540009,318.540009,1268100,1.9952910153901577
35,35,35,35,2018-05-29,318.190002,326.820007,317.859985,326.179993,326.179993,1027800,1.9765773984794952
36,36,36,36,2018-05-30,327.920013,333.339996,327.230011,331.450012,331.450012,903300,1.9841001091893156
37,37,37,37,2018-05-31,331.700012,338.5,330.209991,331.950012,331.950012,1421700,1.9984937491130441
38,38,38,38,2018-06-01,333.170013,335.350006,325.2799990000001,333.089996,333.089996,1081700,1.9965775495701168
39,39,39,39,2018-06-04,335.540009,343.880005,333.220001,343.200012,343.200012,794600,1.9705419124519141
40,40,40,40,2018-06-05,343.209991,346.549988,341.540009,346.079987,346.079987,925200,1.9916782966129736
41,41,41,41,2018-06-06,347.25,347.970001,342.829987,346.369995,346.369995,768000,1.9991627219326549
42,42,42,42,2018-06-07,346.859985,347.850006,333.299988,339.320007,339.320007,1225400,2.0207768120198115
43,43,43,43,2018-06-08,337.0299990000001,347.440002,333.0,346.670013,346.670013,774400,1.9787982642732933
44,44,44,44,2018-06-11,345.27999900000015,349.790009,343.720001,348.440002,348.440002,635000,1.9949202474175167
45,45,45,45,2018-06-12,349.600006,355.980011,349.290009,354.25,354.25,861900,1.983599158786168
46,46,46,46,2018-06-13,356.0,365.76001,354.589996,363.48999,363.48999,1231800,1.9745797951684998
47,47,47,47,2018-06-14,364.350006,370.470001,363.700012,366.269989,366.269989,872400,1.992409973288857
48,48,48,48,2018-06-15,364.809998,366.890015,358.269989,362.660004,362.660004,1143500,2.0099541856289176
49,49,49,49,2018-06-18,361.01001,371.549988,357.109985,370.100006,370.100006,874700,1.979897319969241
50,50,50,50,2018-06-19,366.200012,369.079987,358.670013,365.23999,365.23999,847500,2.0133063633037556
51,51,51,51,2018-06-20,368.01001,369.200012,362.690002,364.700012,364.700012,794200,2.001480608670778
52,52,52,52,2018-06-21,365.660004,369.0,359.149994,359.600006,359.600006,1019500,2.014182441365143
53,53,53,53,2018-06-22,361.570007,363.959991,347.149994,353.269989,353.269989,1296500,2.0179183547912416
