,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,85.58000200000002,85.68,84.449997,84.540001,82.041306,334400,0.0
1,1,1,1,2018-04-10,85.639999,86.160004,85.07,85.230003,82.710899,651700,1.9919042358827561
2,2,2,2,2018-04-11,84.43,85.239998,84.339996,84.540001,82.041306,453200,2.0081618404523085
3,3,3,3,2018-04-12,84.980003,85.779999,84.389999,85.309998,82.788536,578700,1.9909741294332233
4,4,4,4,2018-04-13,85.769997,85.839996,84.16999799999998,84.559998,82.060707,335300,2.0088694420262403
5,5,5,5,2018-04-16,85.300003,86.050003,84.870003,85.370003,82.84677099999998,627600,1.9905118311873553
6,6,6,6,2018-04-17,85.720001,85.980003,85.099998,85.620003,83.089386,801400,1.9970801215692553
7,7,7,7,2018-04-18,86.089996,87.040001,85.760002,86.5,83.94336700000002,578700,1.9898266242774567
8,8,8,8,2018-04-19,86.139999,86.339996,84.68,85.389999,82.86618,551500,2.0129991920950836
9,9,9,9,2018-04-20,85.550003,86.120003,84.309998,84.75,82.245102,587000,2.007551610619469
10,10,10,10,2018-04-23,85.129997,85.260002,83.970001,84.519997,82.021896,560400,2.002721284999572
11,11,11,11,2018-04-24,84.949997,85.870003,81.58000200000002,82.150002,79.721939,916900,2.028849603679864
12,12,12,12,2018-04-25,81.940002,83.139999,81.279999,83.029999,80.57592,1287400,1.9894014571769416
13,13,13,13,2018-04-26,75.5,79.540001,75.5,78.589996,76.267166,4987400,2.0564957784194315
14,14,14,14,2018-04-27,78.029999,78.690002,77.050003,77.83000200000002,75.52963299999998,1842600,2.0097647948152435
15,15,15,15,2018-04-30,78.0,78.459999,76.91999799999998,77.18,74.898834,1947700,2.008421896864473
16,16,16,16,2018-05-01,77.230003,77.760002,75.440002,77.139999,74.860016,1534400,2.0005185506937844
17,17,17,17,2018-05-02,75.75,77.720001,74.940002,75.120003,72.899734,2406500,2.0268902545171623
18,18,18,18,2018-05-03,74.730003,75.57,73.849998,74.82,72.608597,1348100,2.00400966319166
19,19,19,19,2018-05-04,74.07,76.470001,74.0,76.150002,73.899277,1095800,1.9825344456327132
20,20,20,20,2018-05-07,76.199997,76.559998,75.440002,75.739998,73.50140400000002,939300,2.0054133088305597
21,21,21,21,2018-05-08,75.629997,76.209999,75.260002,75.889999,73.646973,927200,1.998023441797647
22,22,22,22,2018-05-09,75.93,76.550003,75.07,76.279999,74.025436,1018800,1.994887257405444
23,23,23,23,2018-05-10,76.43,77.389999,76.269997,77.309998,75.024979,440800,1.9866770272067527
24,24,24,24,2018-05-11,77.190002,78.230003,76.910004,77.279999,74.995888,480800,2.0003881858228283
25,25,25,25,2018-05-14,77.33000200000002,78.019997,76.650002,76.849998,74.578575,677400,2.005595328707751
26,26,26,26,2018-05-15,76.58000200000002,76.720001,75.650002,76.459999,74.20011099999998,545300,2.0051006932396116
27,27,27,27,2018-05-16,76.559998,77.360001,76.5,77.019997,74.743561,403400,1.9927291869408927
28,28,28,28,2018-05-17,76.730003,77.32,76.639999,76.870003,74.598,569200,2.0019512682990266
29,29,29,29,2018-05-18,76.879997,78.5,76.599998,78.370003,76.053673,1374800,1.98086002370065
30,30,30,30,2018-05-21,78.75,79.089996,78.449997,78.779999,76.451546,577200,1.9947956841177414
31,31,31,31,2018-05-22,78.849998,79.089996,78.389999,78.66999799999998,76.344803,1015600,2.0013982585839147
32,32,32,32,2018-05-23,78.279999,79.269997,78.139999,79.220001,76.87854,1059100,1.9930572709788277
33,33,33,33,2018-05-24,79.260002,79.589996,78.510002,79.260002,76.917351,759600,1.9994953192153593
34,34,34,34,2018-05-25,79.139999,79.75,78.379997,78.790001,76.46125,637800,2.005965236629455
35,35,35,35,2018-05-29,78.379997,79.309998,77.83000200000002,78.269997,75.95661899999998,990500,2.0066437207094823
36,36,36,36,2018-05-30,78.82,79.709999,78.129997,79.209999,76.868835,604200,1.988132786114541
37,37,37,37,2018-05-31,79.309998,79.309998,76.41999799999998,76.43,74.171013,719400,2.036373138819835
38,38,38,38,2018-06-01,77.099998,78.33000200000002,77.089996,77.889999,75.587852,725200,1.9812556294935886
39,39,39,39,2018-06-04,78.139999,78.5,77.709999,78.32,76.005135,490900,1.9945096910112359
