,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,9.75,9.84,9.52,9.53,9.53,38382600,0.0
1,1,1,1,2018-04-10,9.75,10.04,9.71,9.98,9.98,42849200,1.9549098196392782
2,2,2,2,2018-04-11,9.87,10.03,9.79,9.82,9.82,29169300,2.016293279022403
3,3,3,3,2018-04-12,9.98,10.1,9.82,10.08,10.08,47784400,1.974206349206349
4,4,4,4,2018-04-13,10.2,10.22,9.88,9.93,9.93,38935700,2.015105740181269
5,5,5,5,2018-04-16,10.0,10.17,9.9,10.09,10.09,28875100,1.9841427155599602
6,6,6,6,2018-04-17,10.28,10.53,10.2,10.52,10.52,45360300,1.9591254752851712
7,7,7,7,2018-04-18,10.51,10.65,10.33,10.36,10.36,42449600,2.0154440154440154
8,8,8,8,2018-04-19,10.18,10.33,9.99,10.11,10.11,57841600,2.0247279920870427
9,9,9,9,2018-04-20,10.05,10.14,9.95,9.99,9.99,39011900,2.012012012012012
10,10,10,10,2018-04-23,10.09,10.19,9.97,10.04,10.04,42971300,1.9950199203187253
11,11,11,11,2018-04-24,10.19,10.35,9.95,10.09,10.09,44992200,1.9950445986124876
12,12,12,12,2018-04-25,10.06,10.09,9.56,9.71,9.71,90578000,2.03913491246138
13,13,13,13,2018-04-26,10.87,11.19,10.61,11.04,11.04,145284100,1.8795289855072466
14,14,14,14,2018-04-27,11.2,11.36,11.02,11.11,11.11,74347800,1.9936993699369936
15,15,15,15,2018-04-30,11.06,11.14,10.87,10.88,10.88,50608800,2.021139705882353
16,16,16,16,2018-05-01,10.83,11.15,10.77,11.13,11.13,43441600,1.9775381850853548
17,17,17,17,2018-05-02,11.1,11.16,10.97,10.97,10.97,29267300,2.0145852324521423
18,18,18,18,2018-05-03,10.9,11.06,10.83,10.93,10.93,33310600,2.0036596523330283
19,19,19,19,2018-05-04,10.88,11.29,10.87,11.28,11.28,47884900,1.968971631205674
20,20,20,20,2018-05-07,11.32,11.68,11.3,11.59,11.59,54001700,1.9732528041415012
21,21,21,21,2018-05-08,11.49,11.66,11.4,11.61,11.61,35218400,1.9982773471145565
22,22,22,22,2018-05-09,11.65,11.98,11.57,11.95,11.95,49605700,1.9715481171548117
23,23,23,23,2018-05-10,11.98,12.18,11.95,12.13,12.13,49744500,1.9851607584501234
24,24,24,24,2018-05-11,11.89,12.03,11.69,11.95,11.95,43863700,2.015062761506276
25,25,25,25,2018-05-14,12.14,12.36,12.11,12.23,12.23,50263800,1.9771054783319704
26,26,26,26,2018-05-15,12.18,12.46,12.16,12.45,12.45,44183200,1.9823293172690764
27,27,27,27,2018-05-16,12.64,12.98,12.62,12.82,12.82,73364000,1.9711388455538221
28,28,28,28,2018-05-17,12.79,12.9,12.66,12.82,12.82,38692500,2.0
29,29,29,29,2018-05-18,13.06,13.26,12.91,13.0,13.0,54063400,1.9861538461538462
30,30,30,30,2018-05-21,13.25,13.31,12.88,12.99,12.99,49714200,2.0007698229407236
31,31,31,31,2018-05-22,13.0,13.14,12.71,12.98,12.98,43267000,2.000770416024653
32,32,32,32,2018-05-23,12.93,13.18,12.9,13.1,13.1,44517800,1.9908396946564886
33,33,33,33,2018-05-24,13.06,13.43,13.03,13.41,13.41,47785700,1.9768829231916478
34,34,34,34,2018-05-25,13.4,13.72,13.36,13.54,13.54,43850100,1.9903988183161005
35,35,35,35,2018-05-29,13.45,13.63,13.26,13.36,13.36,39578500,2.0134730538922154
36,36,36,36,2018-05-30,13.48,13.95,13.48,13.82,13.82,58186400,1.9667149059334297
37,37,37,37,2018-05-31,13.74,13.93,13.69,13.73,13.73,46797700,2.0065549890750183
38,38,38,38,2018-06-01,13.98,14.4,13.92,14.4,14.4,71677900,1.9534722222222223
39,39,39,39,2018-06-04,14.76,14.98,14.52,14.85,14.85,74546000,1.9696969696969697
40,40,40,40,2018-06-05,14.85,14.92,14.63,14.85,14.85,56122700,2.0
41,41,41,41,2018-06-06,15.07,15.74,15.04,15.67,15.67,97089000,1.9476707083599234
42,42,42,42,2018-06-07,15.83,15.97,14.85,14.89,14.89,99860300,2.0523841504365348
43,43,43,43,2018-06-08,14.52,15.33,14.31,15.25,15.25,81930500,1.9763934426229508
44,44,44,44,2018-06-11,15.21,15.89,15.01,15.73,15.73,80737600,1.9694850603941514
45,45,45,45,2018-06-12,15.84,15.95,15.43,15.85,15.85,67002600,1.9924290220820189
46,46,46,46,2018-06-13,15.81,16.52,15.78,16.32,16.32,90227300,1.9712009803921569
47,47,47,47,2018-06-14,16.620001000000002,16.790001,15.58,16.25,16.25,113048600,2.0043076923076923
48,48,48,48,2018-06-15,16.059998999999998,16.52,15.82,16.34,16.34,77612200,1.9944920440636478
49,49,49,49,2018-06-18,16.18,17.34,16.129998999999998,17.110001,17.110001,104317400,1.9549970219171817
50,50,50,50,2018-06-19,16.85,17.290001,16.309998999999998,16.690001000000002,16.690001000000002,92542900,2.025164767815173
51,51,51,51,2018-06-20,16.83,17.129998999999998,16.370001000000002,16.52,16.52,76280600,2.0102906174334145
52,52,52,52,2018-06-21,16.65,16.870001000000002,15.46,15.65,15.65,95638400,2.055591054313099
53,53,53,53,2018-06-22,15.78,15.91,15.56,15.8,15.8,59257100,1.9905063291139242
54,54,54,54,2018-06-25,15.64,15.74,14.54,15.11,15.11,94418400,2.0456651224354734
55,55,55,55,2018-06-26,15.32,15.6,15.1,15.5,15.5,54213500,1.9748387096774194
56,56,56,56,2018-06-27,15.65,15.76,14.96,14.97,14.97,56014300,2.0354041416165662
57,57,57,57,2018-06-28,14.85,15.36,14.75,15.31,15.31,48716800,1.977792292619203
58,58,58,58,2018-06-29,15.41,15.49,14.98,14.99,14.99,41527800,2.0213475650433623
59,59,59,59,2018-07-02,14.8,15.18,14.74,15.16,15.16,43398800,1.9887862796833773
60,60,60,60,2018-07-03,15.21,15.34,14.96,15.0,15.0,32094000,2.010666666666667
61,61,61,61,2018-07-05,15.13,15.5,15.02,15.5,15.5,40703300,1.967741935483871
62,62,62,62,2018-07-06,15.52,16.389999,15.48,16.360001,16.360001,65101700,1.9474327049246514
63,63,63,63,2018-07-09,16.73,16.84,16.17,16.610001,16.610001,58525500,1.9849488269145799
64,64,64,64,2018-07-10,16.59,16.65,16.309998999999998,16.549999,16.549999,37093000,2.003625498708489
65,65,65,65,2018-07-11,16.15,16.530001000000002,16.02,16.27,16.27,42544100,2.017209526736324
66,66,66,66,2018-07-12,16.41,16.790001,16.379998999999998,16.559998999999998,16.559998999999998,44188100,1.9824879820342987
67,67,67,67,2018-07-13,16.68,16.690001000000002,16.219998999999998,16.27,16.27,40614100,2.017824154886294
68,68,68,68,2018-07-16,16.42,17.0,16.41,16.58,16.58,65275300,1.9813027744270204
69,69,69,69,2018-07-17,16.5,16.879998999999998,16.48,16.870001000000002,16.870001000000002,42313500,1.9828096631410985
70,70,70,70,2018-07-18,16.940001000000002,16.99,16.549999,16.85,16.85,40881500,2.001187002967359
71,71,71,71,2018-07-19,16.709999,16.879998999999998,16.549999,16.709999,16.709999,41267800,2.0083782769825422
72,72,72,72,2018-07-20,16.66,16.879998999999998,16.440001000000002,16.5,16.5,42879800,2.012727212121212
73,73,73,73,2018-07-23,16.469998999999998,16.68,15.9,16.66,16.66,44940800,1.9903961584633851
74,74,74,74,2018-07-24,16.75,16.860001,16.110001,16.190001000000002,16.190001000000002,58201500,2.02903020203643
75,75,75,75,2018-07-25,16.299999,16.389999,15.72,16.049999,16.049999,82604900,2.0087228665870946
76,76,76,76,2018-07-26,17.16,18.450001,16.83,18.35,18.35,192661100,1.8746593460490462
77,77,77,77,2018-07-27,19.07,19.879999,18.309999,18.940001,18.940001,161903800,1.9688489456785143
78,78,78,78,2018-07-30,19.4,20.18,19.309999,19.42,19.42,160823400,1.9752832646755918
79,79,79,79,2018-07-31,19.35,19.5,18.27,18.33,18.33,118403400,2.059465357337698
80,80,80,80,2018-08-01,18.34,18.950001,18.32,18.48,18.48,75495200,1.991883116883117
81,81,81,81,2018-08-02,18.17,18.83,18.0,18.790001,18.790001,52867100,1.9835018103511544
82,82,82,82,2018-08-03,18.940001,19.059999,18.370001,18.49,18.49,53232100,2.016225040562466
83,83,83,83,2018-08-06,18.889999,19.440001,18.459999,19.43,19.43,83579700,1.9516212043232117
84,84,84,84,2018-08-07,19.530001,19.709999,19.08,19.559999,19.559999,72822600,1.9933538340160444
85,85,85,85,2018-08-08,19.459999,19.77,19.26,19.58,19.58,52081400,1.9989784984678247
86,86,86,86,2018-08-09,19.58,19.709999,19.08,19.1,19.1,46653400,2.0251308900523557
87,87,87,87,2018-08-10,19.09,19.48,18.85,19.059999,19.059999,65821100,2.0020986884626804
88,88,88,88,2018-08-13,19.16,19.93,19.120001,19.73,19.73,81411300,1.9660415103902686
89,89,89,89,2018-08-14,19.969999,20.280001,19.629999,20.02,20.02,89195500,1.9855144855144855
