,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,74.230003,74.860001,73.230003,73.370003,71.944916,1077300,0.0
1,1,1,1,2018-04-10,74.589996,75.0,74.07,74.529999,73.082375,969600,1.9844358511262021
2,2,2,2,2018-04-11,73.870003,74.510002,73.620003,74.07,72.63131,858000,2.0062103280680437
3,3,3,3,2018-04-12,75.150002,75.739998,74.75,75.150002,73.690331,1229500,1.9856287162839994
4,4,4,4,2018-04-13,75.559998,75.779999,74.610001,74.940002,73.484406,679700,2.0028022417186486
5,5,5,5,2018-04-16,75.68,76.139999,75.269997,75.599998,74.131592,646600,1.9912698939489393
6,6,6,6,2018-04-17,75.910004,76.620003,75.68,76.379997,74.896446,935200,1.989787915283631
7,7,7,7,2018-04-18,76.769997,77.199997,76.410004,76.980003,75.48479499999998,750300,1.9922056900933094
8,8,8,8,2018-04-19,76.860001,77.129997,76.129997,76.529999,75.04351,641600,2.005880099384295
9,9,9,9,2018-04-20,76.050003,76.32,75.32,75.809998,74.337502,1349700,2.009497441221407
10,10,10,10,2018-04-23,75.860001,76.040001,74.540001,74.83000200000002,73.37655600000002,1225000,2.0130962979260643
11,11,11,11,2018-04-24,74.949997,75.239998,70.849998,71.82,70.425026,1736800,2.0419103592314123
12,12,12,12,2018-04-25,71.300003,72.050003,70.57,71.949997,70.55249,2431200,1.9981932313353674
13,13,13,13,2018-04-26,72.059998,72.16999799999998,71.029999,71.5,70.11125200000001,1452800,2.006293664335664
14,14,14,14,2018-04-27,71.529999,71.529999,70.300003,70.949997,69.571907,1931800,2.0077519805955735
15,15,15,15,2018-04-30,71.08000200000002,71.279999,69.790001,69.800003,68.444252,1861200,2.016475558031136
16,16,16,16,2018-05-01,69.739998,69.779999,68.57,69.260002,67.914749,3139500,2.007796722269803
17,17,17,17,2018-05-02,70.110001,72.360001,69.970001,70.150002,68.78744499999999,2751400,1.9873129012882995
18,18,18,18,2018-05-03,70.010002,71.059998,69.5,69.989998,68.630554,4585800,2.0022860980793284
19,19,19,19,2018-05-04,69.709999,71.660004,69.58000200000001,71.5,70.11125200000001,3295700,1.978881090909091
20,20,20,20,2018-05-07,71.639999,72.889999,71.5,72.800003,71.385986,1849900,1.9821428166699389
21,21,21,21,2018-05-08,72.889999,73.540001,72.650002,73.449997,72.023354,1748000,1.9911505238046505
22,22,22,22,2018-05-09,73.779999,75.050003,73.389999,74.800003,73.34713,1879500,1.9819517921677088
23,23,23,23,2018-05-10,75.209999,75.209999,74.269997,74.690002,73.239288,1788800,2.0014727673993096
24,24,24,24,2018-05-11,74.790001,75.160004,74.290001,74.809998,73.356941,1374500,1.9983959897980483
25,25,25,25,2018-05-14,75.019997,75.019997,74.050003,74.25,72.807816,1078600,2.0075420606060606
26,26,26,26,2018-05-15,74.0,74.550003,73.699997,74.25,72.807816,1316800,2.0
27,27,27,27,2018-05-16,74.379997,75.160004,74.08000200000002,74.91999799999998,73.46479000000002,1189900,1.9910571540591873
28,28,28,28,2018-05-17,74.959999,75.709999,74.68,75.33000200000002,73.866844,1264400,1.994557228340442
29,29,29,29,2018-05-18,75.389999,76.099998,75.199997,75.540001,74.072769,1187100,1.9972200291604447
30,30,30,30,2018-05-21,76.0,76.690002,76.0,76.239998,74.759171,1069700,1.990818507104368
31,31,31,31,2018-05-22,76.360001,76.529999,75.5,75.57,74.10218,918500,2.0088659256318646
32,32,32,32,2018-05-23,75.029999,75.190002,74.209999,74.91999799999998,73.46479000000002,1024200,2.0086759479091283
33,33,33,33,2018-05-24,74.900002,76.120003,74.769997,76.059998,74.58266400000002,1332300,1.9850118323694932
34,34,34,34,2018-05-25,75.739998,76.07,74.900002,75.089996,73.631508,1126100,2.012917859257843
