,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,1016.799988,1039.599976,1014.080017,1015.450012,1015.450012,1751600,0.0
1,1,1,1,2018-04-10,1026.439941,1036.280029,1011.340027,1031.640015,1031.640015,1974500,1.9843065383616396
2,2,2,2,2018-04-11,1027.98999,1031.364014,1015.869995,1019.969971,1019.969971,1483900,2.0114415564495083
3,3,3,3,2018-04-12,1025.040039,1040.689941,1021.434998,1032.51001,1032.51001,1357000,1.9878548015239097
4,4,4,4,2018-04-13,1040.880005,1046.420044,1022.97998,1029.27002,1029.27002,1223000,2.0031478523002155
5,5,5,5,2018-04-16,1037.0,1043.23999,1026.73999,1037.97998,1037.97998,1211200,1.9916087398911102
6,6,6,6,2018-04-17,1051.369995,1077.880005,1048.26001,1074.160034,1074.160034,2320300,1.9663178177787242
7,7,7,7,2018-04-18,1077.430054,1077.430054,1066.224976,1072.079956,1072.079956,1344100,2.0019402265552664
8,8,8,8,2018-04-19,1069.400024,1094.165039,1068.180054,1087.699951,1087.699951,1747700,1.9856394265848414
9,9,9,9,2018-04-20,1082.0,1092.349976,1069.569946,1072.959961,1072.959961,1889700,2.013737688763579
10,10,10,10,2018-04-23,1077.859985,1082.719971,1060.699951,1067.449951,1067.449951,2341300,2.0051618438830205
11,11,11,11,2018-04-24,1052.0,1057.0,1010.590027,1019.97998,1019.97998,4760300,2.0465401007184476
12,12,12,12,2018-04-25,1025.52002,1032.48999,1015.309998,1021.179993,1021.179993,2391100,1.9988248761156446
13,13,13,13,2018-04-26,1029.51001,1047.97998,1018.190002,1040.040039,1040.040039,2079500,1.9818660385246958
14,14,14,14,2018-04-27,1046.0,1049.5,1025.589966,1030.050049,1030.050049,1619800,2.0096985481527803
15,15,15,15,2018-04-30,1030.01001,1037.0,1016.849976,1017.330017,1017.330017,1671300,2.012503348753544
