,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,41.0,41.360001,40.82,41.049999,37.854061,1684400,0.0
1,1,1,1,2018-04-10,40.970001,41.130001,40.669998,40.75,37.577415,2198400,2.0073619386503068
2,2,2,2,2018-04-11,40.720001,41.09,40.66,41.02,37.826397,1907100,1.9934178449536812
3,3,3,3,2018-04-12,41.02,41.200001,40.380001,40.52,37.365326,2068000,2.012339585389931
4,4,4,4,2018-04-13,40.700001,41.23,40.669998,41.110001,37.909389,1469400,1.9856482367879291
5,5,5,5,2018-04-16,41.290001,41.75,41.25,41.59,38.352024,1292800,1.9884587881702331
6,6,6,6,2018-04-17,41.639999,42.07,41.52,41.849998,38.59177,1476300,1.9937873832156456
7,7,7,7,2018-04-18,41.959999,42.299999,41.580002,41.599998,38.361237,2232100,2.0060096156735394
8,8,8,8,2018-04-19,41.529999,41.639999,41.259998,41.529999,38.296692,1373500,2.0016855044951964
9,9,9,9,2018-04-20,41.59,41.59,41.23,41.540001,38.30592,1673000,1.999759220034684
10,10,10,10,2018-04-23,41.59,41.889999,41.450001,41.689999,38.444237,970300,1.9964020627585044
11,11,11,11,2018-04-24,41.830002,42.360001,41.790001,42.099998,38.822308,1713100,1.990261305950656
12,12,12,12,2018-04-25,41.970001,42.5,41.82,42.23,38.942188,1415000,1.996921572341937
13,13,13,13,2018-04-26,42.290001,42.970001,42.029999,42.860001,39.523151,1489800,1.9853009569458482
14,14,14,14,2018-04-27,42.439999,43.130001,42.439999,43.060001,40.020382,1291800,1.9953553182685713
15,15,15,15,2018-04-30,43.220001,43.27,42.889999,42.950001,39.91814,1538900,2.0025611175189497
16,16,16,16,2018-05-01,43.0,43.07,42.779999,42.82,39.797318,1234500,2.0030359878561423
17,17,17,17,2018-05-02,42.759998,43.18,42.639999,42.869999,39.843792,1752600,1.9988337065274948
18,18,18,18,2018-05-03,42.689999,43.470001,42.040001,43.23,40.178375,1753400,1.9916724265556327
19,19,19,19,2018-05-04,43.259998,43.450001,43.060001,43.27,40.215557,1599700,1.9990755719898312
20,20,20,20,2018-05-07,43.23,43.290001,42.84,42.939999,39.908852,1040600,2.0076851655259706
21,21,21,21,2018-05-08,42.759998,42.759998,41.639999,41.720001,38.774963,1636800,2.0292425208714637
22,22,22,22,2018-05-09,41.84,41.849998,41.02,41.259998,38.347439,1663100,2.01114888565918
23,23,23,23,2018-05-10,41.57,41.77,41.349998,41.740002,38.793556,1110800,1.9885001442980288
24,24,24,24,2018-05-11,41.77,41.91,41.59,41.66,38.719208,974600,2.0019203552568414
25,25,25,25,2018-05-14,41.709999,41.779999,41.130001,41.41,38.486851,1424200,2.006037189084762
26,26,26,26,2018-05-15,41.080002,41.34,40.740002,41.049999,38.15226,1493300,2.008769817509618
27,27,27,27,2018-05-16,41.07,41.16,40.57,40.889999,38.003555,1472000,2.003912937244141
28,28,28,28,2018-05-17,40.869999,41.130001,40.549999,40.639999,37.77121,1446400,2.006151574954517
29,29,29,29,2018-05-18,40.740002,40.860001,40.299999,40.57,37.70615,1760700,2.001725388217895
30,30,30,30,2018-05-21,40.599998,40.709999,40.16,40.279999,37.436619,2436400,2.0071996277854924
31,31,31,31,2018-05-22,40.32,40.5,40.110001,40.279999,37.436619,1422300,2.0
32,32,32,32,2018-05-23,40.389999,40.66,40.259998,40.490002,37.631798,1917800,1.994813460369797
33,33,33,33,2018-05-24,40.540001,40.869999,40.439999,40.75,37.873444,2062900,1.9936196809815951
34,34,34,34,2018-05-25,40.740002,40.939999,40.66,40.790001,37.910614,1696000,1.9990193430002612
35,35,35,35,2018-05-29,40.650002,41.169998,40.580002,41.0,38.105797,2773100,1.9948780731707314
36,36,36,36,2018-05-30,40.799999,41.549999,40.740002,41.439999,38.514736,2353200,1.989382263257294
37,37,37,37,2018-05-31,41.41,41.810001,41.09,41.419998,38.496147,2012500,2.0004828826886953
38,38,38,38,2018-06-01,41.299999,41.299999,40.470001,40.630001,37.761917,1415400,2.0194436864522842
39,39,39,39,2018-06-04,40.75,40.759998,40.099998,40.23,37.390148,1360600,2.009942853591847
40,40,40,40,2018-06-05,40.240002,40.310001,39.529999,39.75,36.944035,1967100,2.012075471698113
41,41,41,41,2018-06-06,39.77,39.849998,39.060001,39.130001,36.367798,1626700,2.0158445945350216
42,42,42,42,2018-06-07,39.150002,39.650002,38.990002,39.189999,36.423557,1450400,1.9984690481875234
43,43,43,43,2018-06-08,39.310001,39.389999,39.07,39.23,36.460735,974900,1.9989803466734641
44,44,44,44,2018-06-11,39.240002,39.34,38.349998,38.380001,35.670742,1128900,2.0221469249049786
45,45,45,45,2018-06-12,38.369999,39.099998,38.220001,39.049999,36.293442,1252600,1.9828425603800914
46,46,46,46,2018-06-13,39.169998,39.439999,38.91,39.169998,36.404968,2028700,1.9969364563153669
47,47,47,47,2018-06-14,39.18,39.650002,39.18,39.619999,36.823212,1503500,1.988642074423071
48,48,48,48,2018-06-15,39.580002,40.080002,39.349998,39.959999,37.13921,3015600,1.9914914912785657
49,49,49,49,2018-06-18,39.93,40.349998,39.860001,40.330002,37.483097,1386200,1.9908256141420475
50,50,50,50,2018-06-19,40.470001,41.09,40.470001,41.080002,38.180153,2097500,1.981742941492554
51,51,51,51,2018-06-20,41.130001,41.259998,40.779999,41.049999,38.15226,1298800,2.0007308891773663
52,52,52,52,2018-06-21,41.040001,41.209999,40.830002,40.970001,38.077915,1102600,2.0019525994153624
53,53,53,53,2018-06-22,41.279999,41.279999,40.869999,41.09,38.189438,1447700,1.9970796057434896
54,54,54,54,2018-06-25,41.16,42.419998,41.07,42.259998,39.276848,2735600,1.9723142911648976
55,55,55,55,2018-06-26,42.169998,42.650002,41.540001,42.279999,39.295437,1782500,1.9995269394400885
56,56,56,56,2018-06-27,42.27,42.52,42.060001,42.41,39.416264,1342700,1.9969346616364068
57,57,57,57,2018-06-28,42.389999,42.779999,42.259998,42.360001,39.369793,1219400,2.001180335194043
58,58,58,58,2018-06-29,42.330002,42.549999,42.009998,42.32,39.332615,1553600,2.0009452032136106
59,59,59,59,2018-07-02,42.43,42.73,42.150002,42.709999,39.695076,1222600,1.9908686722282527
60,60,60,60,2018-07-03,42.709999,43.27,42.48,42.990002,39.955322,670600,1.9934867879280398
