,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,213.75,216.860001,212.399994,212.809998,194.493729,2186100,0.0
1,1,1,1,2018-04-10,215.320007,218.710007,215.229996,216.979996,198.30481,2857400,1.9807816477238758
2,2,2,2,2018-04-11,214.199997,215.889999,213.5,214.330002,195.882874,1819800,2.012364083307385
3,3,3,3,2018-04-12,215.720001,217.679993,215.00999500000003,216.419998,197.79303,2292900,1.9903428702554558
4,4,4,4,2018-04-13,218.089996,218.679993,214.460007,215.520004,196.97049,2034500,2.0041759186307364
5,5,5,5,2018-04-16,217.199997,219.270004,216.589996,217.699997,198.962814,2060500,1.9899862515845603
6,6,6,6,2018-04-17,219.149994,221.690002,218.740005,220.089996,201.147141,1853500,1.9891408103801318
7,7,7,7,2018-04-18,220.389999,221.00999500000003,219.160004,219.520004,200.626221,1599300,2.0025965378535617
8,8,8,8,2018-04-19,218.039993,219.300003,217.02999900000003,218.850006,200.013885,1453100,2.0030614483967617
9,9,9,9,2018-04-20,218.410004,220.27999900000003,216.740005,217.75,199.00853,2634300,2.0050516923076924
10,10,10,10,2018-04-23,218.020004,218.729996,214.75,215.880005,197.299484,2520700,2.0086621963900733
11,11,11,11,2018-04-24,206.5,206.5,196.889999,201.130005,183.81900000000002,11671400,2.07333565173431
12,12,12,12,2018-04-25,201.100006,201.75,197.009995,198.839996,181.726105,6205400,2.0115168429192685
13,13,13,13,2018-04-26,198.679993,199.630005,196.169998,197.089996,180.126709,4124300,2.0088791924274028
14,14,14,14,2018-04-27,196.770004,197.110001,194.399994,196.119995,179.240189,3354800,2.004945956683305
15,15,15,15,2018-04-30,196.960007,198.339996,194.179993,194.389999,177.659119,4008700,2.0088996142234663
16,16,16,16,2018-05-01,194.029999,195.539993,191.440002,195.020004,178.234879,4710500,1.996769536524058
17,17,17,17,2018-05-02,195.149994,196.410004,194.020004,194.5,177.759674,4017600,2.0026735424164523
18,18,18,18,2018-05-03,194.520004,196.699997,192.350006,195.679993,178.83805800000005,3425900,1.9939697820819116
19,19,19,19,2018-05-04,195.070007,199.929993,194.059998,199.360001,182.201324,3071700,1.9815408909433139
20,20,20,20,2018-05-07,200.059998,201.0,199.580002,200.259995,183.023865,2863400,1.9955058722537171
21,21,21,21,2018-05-08,200.0,202.110001,199.559998,201.740005,184.376526,3273500,1.9926637753379655
22,22,22,22,2018-05-09,202.029999,204.729996,201.369995,203.419998,185.911911,3361300,1.9917412593819805
23,23,23,23,2018-05-10,202.610001,205.679993,202.389999,205.029999,187.383316,2700800,1.9921474856954957
24,24,24,24,2018-05-11,204.740005,205.369995,203.660004,205.160004,187.502136,3155700,1.9993663238571588
25,25,25,25,2018-05-14,205.669998,206.039993,204.669998,205.759995,188.050491,3385900,1.9970840250069017
26,26,26,26,2018-05-15,204.960007,205.570007,201.639999,202.410004,184.988831,2259200,2.016550520892238
27,27,27,27,2018-05-16,200.520004,201.039993,199.050003,200.210007,182.97821,2913500,2.0109884467463206
28,28,28,28,2018-05-17,199.270004,201.399994,198.690002,200.360001,184.367676,2265800,1.9992513775241996
29,29,29,29,2018-05-18,200.279999,200.759995,198.449997,198.960007,183.079422,2925700,2.0070365598650186
30,30,30,30,2018-05-21,200.5,202.929993,200.0,201.759995,185.655899,2126500,1.98612218443007
31,31,31,31,2018-05-22,201.960007,202.110001,198.729996,198.970001,183.088593,2313900,2.014022184178408
32,32,32,32,2018-05-23,197.740005,198.800003,196.559998,198.669998,182.812561,2737700,2.001510056893442
33,33,33,33,2018-05-24,198.830002,200.179993,196.929993,199.410004,183.493515,2055000,1.9962890226911585
34,34,34,34,2018-05-25,198.330002,199.410004,197.929993,199.029999,183.143814,1686500,2.001909285042
35,35,35,35,2018-05-29,198.0,198.509995,195.100006,195.740005,180.116455,2346800,2.0168079795440894
36,36,36,36,2018-05-30,197.089996,199.380005,196.699997,198.679993,182.821732,2143100,1.9852023952910043
37,37,37,37,2018-05-31,198.110001,198.449997,196.259995,197.229996,181.487488,5253100,2.007351807683452
38,38,38,38,2018-06-01,198.75,200.419998,198.279999,199.589996,183.659119,1827000,1.988175760071662
39,39,39,39,2018-06-04,200.729996,201.690002,200.070007,201.059998,185.011765,2408400,1.9926887396069703
40,40,40,40,2018-06-05,201.080002,202.100006,200.889999,201.199997,185.14061,2246100,1.9993041799101021
41,41,41,41,2018-06-06,201.839996,204.050003,201.550003,203.860001,187.588303,2297300,1.986951810129737
42,42,42,42,2018-06-07,204.179993,205.889999,203.759995,205.070007,188.701706,2279200,1.9940995466977287
43,43,43,43,2018-06-08,204.979996,206.75,204.410004,206.589996,190.100403,2170200,1.9926424849729896
44,44,44,44,2018-06-11,206.589996,206.789993,205.0,205.119995,188.747726,2302900,2.007166541711353
45,45,45,45,2018-06-12,205.669998,205.949997,203.949997,204.919998,188.563675,1806100,2.0009759760001558
46,46,46,46,2018-06-13,205.139999,205.660004,203.729996,204.889999,188.536057,2097900,2.000146415150307
47,47,47,47,2018-06-14,205.759995,206.270004,203.5,203.630005,187.376648,2221500,2.006187663748277
48,48,48,48,2018-06-15,202.550003,205.059998,200.110001,204.970001,188.60968,5449500,1.9934624774676173
49,49,49,49,2018-06-18,202.529999,204.570007,200.25,204.169998,187.87355,2842800,2.0039183181066593
50,50,50,50,2018-06-19,201.259995,201.830002,198.330002,199.389999,183.475082,3206800,2.0239731131148657
51,51,51,51,2018-06-20,199.339996,200.0,197.259995,198.080002,182.269638,2348300,2.0066134742870205
52,52,52,52,2018-06-21,197.839996,197.839996,194.589996,195.520004,179.91398600000005,2420400,2.013093279192036
53,53,53,53,2018-06-22,197.389999,197.440002,195.179993,196.5,180.815765,2290100,1.9950127430025444
54,54,54,54,2018-06-25,195.979996,196.330002,193.639999,195.800003,180.171616,2922500,2.0035750612322514
55,55,55,55,2018-06-26,196.839996,197.949997,195.979996,196.580002,180.889359,2140200,1.9960321548882676
56,56,56,56,2018-06-27,196.570007,199.899994,194.759995,194.919998,179.36184699999995,2889700,2.0085163349940114
57,57,57,57,2018-06-28,195.5,196.850006,194.210007,195.970001,180.328049,1978700,1.994642021765362
58,58,58,58,2018-06-29,196.470001,199.419998,196.460007,196.720001,181.018188,2671600,1.9961874746025443
59,59,59,59,2018-07-02,195.460007,195.889999,193.509995,195.520004,179.91398600000005,1815500,2.006137464072474
60,60,60,60,2018-07-03,196.490005,198.949997,195.5,195.830002,180.199219,1228900,1.9984170045609253
61,61,61,61,2018-07-05,197.070007,197.479996,195.029999,197.339996,181.588699,2019300,1.9923482617279469
62,62,62,62,2018-07-06,197.089996,198.059998,196.389999,197.460007,181.699142,1624500,1.9993922262952215
63,63,63,63,2018-07-09,198.139999,200.839996,198.070007,200.529999,184.524094,1967100,1.9846906098074633
64,64,64,64,2018-07-10,201.0,202.580002,200.389999,201.479996,185.398239,1688700,1.9952849065968812
65,65,65,65,2018-07-11,199.820007,199.820007,197.490005,197.679993,181.90155,1853100,2.0192230025018265
66,66,66,66,2018-07-12,199.169998,200.0,197.399994,199.320007,183.410675,1733500,1.9917719549347597
67,67,67,67,2018-07-13,200.270004,201.789993,200.0,201.179993,185.122192,1625400,1.9907546174335538
68,68,68,68,2018-07-16,201.550003,201.580002,200.080002,201.110001,185.05777,1468000,2.000348028440415
69,69,69,69,2018-07-17,200.990005,203.070007,200.130005,202.070007,185.941162,1920600,1.995249141551225
70,70,70,70,2018-07-18,202.220001,203.169998,201.350006,202.199997,186.060776,1945000,1.9993571216521826
71,71,71,71,2018-07-19,201.759995,202.289993,199.509995,201.600006,185.508713,2616400,2.0029761457447575
72,72,72,72,2018-07-20,199.330002,202.949997,198.25,201.949997,185.830765,2325400,1.9982669422867088
73,73,73,73,2018-07-23,201.539993,201.539993,197.679993,198.839996,182.968979,3269100,2.0156407214975
74,74,74,74,2018-07-24,192.940002,202.190002,190.570007,200.679993,184.662109,8186500,1.9908311886377235
75,75,75,75,2018-07-25,200.630005,204.490005,200.520004,204.380005,188.066772,3345200,1.9818964090934432
76,76,76,76,2018-07-26,204.889999,208.440002,204.649994,207.960007,191.361023,2848300,1.9827851419527986
77,77,77,77,2018-07-27,208.679993,210.600006,206.850006,207.419998,190.864151,2248000,2.0026034567795143
78,78,78,78,2018-07-30,208.25,209.25,204.759995,205.119995,188.747726,2040500,2.0112129634168525
79,79,79,79,2018-07-31,207.229996,212.77999900000003,206.5,212.320007,195.373062,3573100,1.966088866980868
80,80,80,80,2018-08-01,210.979996,211.059998,206.869995,207.050003,190.523666,2066600,2.0254528081315697
81,81,81,81,2018-08-02,205.949997,205.990005,203.850006,205.529999,189.125,1699700,2.007395533534742
82,82,82,82,2018-08-03,205.919998,207.580002,205.199997,207.289993,190.744522,1299900,1.9915095081314418
83,83,83,83,2018-08-06,207.449997,207.460007,205.240005,206.699997,190.201614,1063800,2.0028543590157866
84,84,84,84,2018-08-07,208.009995,209.610001,207.369995,208.570007,191.922348,1314600,1.991034137521029
85,85,85,85,2018-08-08,208.490005,209.039993,206.770004,207.139999,190.606476,1052100,2.0069035821517023
86,86,86,86,2018-08-09,207.139999,207.970001,204.490005,204.779999,188.434845,1812600,2.0115245630018777
87,87,87,87,2018-08-10,203.809998,204.130005,201.0,201.960007,185.839951,1893200,2.013963120926214
88,88,88,88,2018-08-13,202.020004,202.789993,199.5,199.839996,183.88916,1587200,2.0106085420458073
89,89,89,89,2018-08-14,199.779999,201.080002,199.410004,200.520004,184.514877,1719000,1.9966087772469823
90,90,90,90,2018-08-15,199.25,201.759995,197.110001,201.389999,185.31543,2028900,1.9956800486403496
91,91,91,91,2018-08-16,202.020004,203.429993,201.820007,203.149994,186.934937,1640200,1.9913364752548306
92,92,92,92,2018-08-17,203.279999,204.990005,201.889999,204.770004,188.425659,1598900,1.99208863618521
93,93,93,93,2018-08-20,205.720001,205.800003,203.660004,204.600006,188.269226,2091700,2.00083087974103
94,94,94,94,2018-08-21,205.0,206.039993,204.389999,205.690002,189.272217,1709700,1.994700782782821
95,95,95,95,2018-08-22,205.770004,205.770004,203.399994,204.259995,187.956375,1461300,2.0070009156712256
96,96,96,96,2018-08-23,203.0,203.149994,201.460007,202.75,187.817429,1367300,2.007447570900123
97,97,97,97,2018-08-24,203.279999,205.490005,203.070007,205.289993,190.170319,1676600,1.9876272926756833
98,98,98,98,2018-08-27,206.179993,208.5,205.850006,208.330002,192.98645,1777200,1.9854077234636613
99,99,99,99,2018-08-28,208.970001,210.119995,208.479996,209.429993,194.005432,2136700,1.9947476911771658
100,100,100,100,2018-08-29,209.169998,210.970001,208.509995,210.460007,194.959579,2110300,1.995105892018715
101,101,101,101,2018-08-30,209.710007,211.089996,209.229996,210.220001,194.737244,2240800,2.0011416896530223
102,102,102,102,2018-08-31,209.570007,211.720001,209.440002,210.919998,195.385696,1943500,1.9966812203364424
103,103,103,103,2018-09-04,210.550003,210.75,207.550003,208.600006,193.236572,2108500,2.011121725471091
104,104,104,104,2018-09-05,208.289993,211.910004,207.350006,211.830002,196.228653,1951500,1.9847519427394427
105,105,105,105,2018-09-06,212.0,213.369995,211.070007,212.740005,197.071655,2363500,1.9957224641411475
106,106,106,106,2018-09-07,212.240005,212.970001,209.970001,212.570007,196.914185,2739200,2.0007997271223688
107,107,107,107,2018-09-10,213.679993,216.369995,212.860001,212.929993,197.247635,2399700,1.998309369220709
108,108,108,108,2018-09-11,211.360001,212.220001,210.0,211.77999900000003,196.182358,1967500,2.0054301350714425
109,109,109,109,2018-09-12,212.300003,214.75999500000003,205.899994,206.710007,191.485764,4937000,2.0245270757501355
110,110,110,110,2018-09-13,207.339996,209.139999,206.550003,209.050003,193.653412,2171300,1.9888065249154765
111,111,111,111,2018-09-14,208.839996,210.300003,207.149994,207.880005,192.569595,1721600,2.0056282373093075
112,112,112,112,2018-09-17,207.460007,210.190002,207.300003,209.529999,194.098053,1610400,1.9921252612615152
113,113,113,113,2018-09-18,210.240005,211.830002,208.429993,211.52999900000003,195.950775,1652900,1.9905450763038106
114,114,114,114,2018-09-19,211.770004,214.139999,211.630005,213.119995,197.423645,1884500,1.9925394330081512
115,115,115,115,2018-09-20,214.699997,217.0,213.25999500000003,215.270004,199.415298,2075100,1.990012500766247
116,116,116,116,2018-09-21,217.320007,217.869995,215.610001,216.330002,200.397247,5563700,1.9951000878740803
117,117,117,117,2018-09-24,215.389999,215.869995,212.690002,213.50999500000003,197.784897,2044800,2.0132078453751077
118,118,118,118,2018-09-25,214.130005,214.130005,210.27999900000003,210.639999,195.126328,2090600,2.0136251234980307
119,119,119,119,2018-09-26,211.490005,212.589996,210.639999,211.070007,195.524673,1677700,1.9979627233347277
120,120,120,120,2018-09-27,212.0,212.869995,210.0,210.110001,194.635345,1609800,2.0045690638019655
121,121,121,121,2018-09-28,209.529999,211.27999900000003,208.869995,210.710007,195.191162,2500200,1.9971524560767542
122,122,122,122,2018-10-01,212.399994,213.399994,211.309998,212.190002,196.562164,1828800,1.9930251426266539
123,123,123,123,2018-10-02,212.380005,215.839996,212.100006,215.710007,199.822906,1749400,1.9836817723528235
124,124,124,124,2018-10-03,216.0,217.339996,214.940002,215.75999500000003,199.869232,2139200,1.9997683166427584
125,125,125,125,2018-10-04,214.850006,215.660004,212.039993,213.839996,198.090637,1682500,2.0089786711369
126,126,126,126,2018-10-05,214.350006,215.02999900000003,211.059998,213.190002,197.488495,2140300,2.0030488953229617
127,127,127,127,2018-10-08,213.130005,214.580002,212.25999500000003,214.369995,198.581604,1666700,1.994495530962717
128,128,128,128,2018-10-09,212.679993,213.110001,209.639999,210.419998,194.922501,2947400,2.018771965771048
129,129,129,129,2018-10-10,209.190002,209.190002,201.550003,202.149994,187.261597,3525200,2.040910236188283
130,130,130,130,2018-10-11,201.149994,202.910004,196.5,196.729996,182.240814,3497200,2.0275504402490814
131,131,131,131,2018-10-12,200.869995,202.550003,195.929993,198.229996,183.630295,2798100,1.9924330321834844
132,132,132,132,2018-10-15,197.820007,200.699997,197.419998,198.940002,184.28801,1812800,1.9964310546252029
133,133,133,133,2018-10-16,200.460007,202.520004,199.229996,202.330002,187.428345,1939500,1.9832451936613926
134,134,134,134,2018-10-17,201.789993,203.770004,200.449997,202.929993,187.984146,1824200,1.9970433596772459
135,135,135,135,2018-10-18,202.339996,202.520004,198.399994,200.380005,185.621979,2339400,2.0127257607364566
136,136,136,136,2018-10-19,200.119995,201.100006,198.369995,199.850006,185.130997,3167300,2.002651983908372
137,137,137,137,2018-10-22,201.25,203.399994,199.690002,201.360001,186.52977,3263300,1.9925010181143175
138,138,138,138,2018-10-23,188.800003,194.889999,184.5,192.550003,178.368668,8255600,2.0457543384198233
139,139,139,139,2018-10-24,192.100006,192.960007,183.970001,184.539993,170.948578,5003500,2.043405279634968
140,140,140,140,2018-10-25,186.570007,187.479996,182.360001,184.990005,171.365448,3535200,1.9975673712750048
141,141,141,141,2018-10-26,183.309998,186.660004,181.979996,184.949997,171.3284,3546200,2.000216317927272
142,142,142,142,2018-10-29,187.850006,188.880005,183.160004,185.789993,172.106537,2867600,1.9954787877084426
143,143,143,143,2018-10-30,186.830002,190.080002,185.0,189.809998,175.830444,2919600,1.9788208996240548
144,144,144,144,2018-10-31,190.699997,192.119995,189.669998,190.259995,176.247299,2845100,1.9976348312213505
145,145,145,145,2018-11-01,190.610001,193.210007,190.089996,192.220001,178.062943,2242800,1.989803319166563
146,146,146,146,2018-11-02,193.660004,194.470001,191.600006,192.809998,178.609497,3069600,1.9969400082665836
147,147,147,147,2018-11-05,193.5,194.559998,192.210007,193.25,179.01709,2886500,1.9977231461837
148,148,148,148,2018-11-06,193.270004,195.5,193.0,195.300003,180.916107,1900200,1.989503313013262
149,149,149,149,2018-11-07,197.190002,201.399994,195.410004,201.289993,186.464966,2444400,1.9702419881349988
150,150,150,150,2018-11-08,201.0,204.270004,200.729996,204.070007,189.040207,2534000,1.9863771553651195
151,151,151,151,2018-11-09,204.0,204.0,199.699997,201.100006,186.28894,2429300,2.0147687762873563
152,152,152,152,2018-11-12,200.570007,200.770004,196.5,197.039993,182.527939,2770000,2.0206050200174337
153,153,153,153,2018-11-13,197.520004,200.880005,197.160004,198.369995,183.76001,2168800,1.993295346909698
154,154,154,154,2018-11-14,200.800003,201.039993,196.289993,198.059998,183.472824,2797700,2.0015651671368793
155,155,155,155,2018-11-15,197.729996,205.130005,196.240005,204.910004,189.818329,3157500,1.9665706609424498
156,156,156,156,2018-11-16,203.240005,209.770004,202.600006,209.0,193.607101,2620400,1.9804306411483252
157,157,157,157,2018-11-19,207.830002,208.050003,204.369995,205.580002,190.438965,3220400,2.016635849628993
158,158,158,158,2018-11-20,203.580002,204.139999,200.190002,200.509995,185.742386,2677200,2.0252855574606143
159,159,159,159,2018-11-21,199.679993,201.179993,198.660004,198.690002,185.313339,1832700,2.0091599626638486
160,160,160,160,2018-11-23,197.759995,198.679993,196.789993,196.800003,183.550598,999900,2.0096036533088872
161,161,161,161,2018-11-26,198.570007,201.830002,197.320007,199.860001,186.404572,2321000,1.9846892925813604
162,162,162,162,2018-11-27,199.119995,201.320007,196.779999,200.690002,187.178726,2079600,1.9958642633328592
163,163,163,163,2018-11-28,201.990005,204.350006,199.419998,204.339996,190.582962,2184400,1.9821376427941202
164,164,164,164,2018-11-29,203.869995,205.839996,202.660004,204.559998,190.788177,1569200,1.9989245111353589
165,165,165,165,2018-11-30,204.360001,207.919998,203.979996,207.919998,193.921951,3171900,1.983839938282416
166,166,166,166,2018-12-03,211.210007,211.949997,207.050003,208.759995,194.705399,2493400,1.9959762549333264
167,167,167,167,2018-12-04,208.059998,208.550003,202.089996,202.199997,188.587051,2698700,2.0324431162083547
168,168,168,168,2018-12-06,199.610001,203.080002,198.190002,202.679993,189.034714,2991800,1.9976317544080437
169,169,169,169,2018-12-07,202.619995,204.369995,197.009995,198.240005,184.893661,2254500,2.022397033333408
170,170,170,170,2018-12-10,198.360001,198.949997,193.639999,198.320007,184.968277,1980300,1.999596601466437
171,171,171,171,2018-12-11,201.259995,202.0,196.139999,197.460007,184.166168,1828900,2.0043553123139515
172,172,172,172,2018-12-12,200.600006,202.619995,199.699997,199.809998,186.357971,1919000,1.9882388718106085
173,173,173,173,2018-12-13,201.429993,202.399994,199.520004,202.130005,188.52179,1831700,1.9885222038163015
174,174,174,174,2018-12-14,200.119995,201.570007,195.850006,196.100006,182.897736,2473200,2.0307496115017964
175,175,175,175,2018-12-17,195.839996,198.25,191.850006,192.820007,179.83857700000004,2547600,2.0170106777353247
176,176,176,176,2018-12-18,193.389999,196.919998,193.149994,194.559998,181.461395,2636300,1.9910567895873434
177,177,177,177,2018-12-19,196.0,198.229996,189.699997,189.960007,177.171097,3266500,2.0242155760712306
178,178,178,178,2018-12-20,189.110001,191.119995,185.5,187.380005,174.764801,3609200,2.0137688223457992
179,179,179,179,2018-12-21,187.860001,190.5,183.639999,183.75,171.37918100000005,6699200,2.0197551292517004
180,180,180,180,2018-12-24,181.889999,183.539993,178.509995,178.619995,166.594574,2249500,2.028720216905168
181,181,181,181,2018-12-26,179.380005,186.330002,176.869995,186.259995,173.720215,2925500,1.9589820669757885
182,182,182,182,2018-12-27,183.5,190.699997,182.880005,190.699997,177.861267,2809000,1.9767173462514527
183,183,183,183,2018-12-28,191.809998,192.300003,188.570007,189.369995,176.62081899999995,2311400,2.007023298490344
184,184,184,184,2018-12-31,190.339996,191.649994,188.5,190.539993,177.712036,1804400,1.993859567319287
185,185,185,185,2019-01-02,187.820007,190.990005,186.699997,190.949997,178.094437,2475200,1.9978528200762424
186,186,186,186,2019-01-03,188.279999,188.279999,182.889999,183.759995,171.388519,3358200,2.0391271342818658
187,187,187,187,2019-01-04,186.75,191.979996,186.029999,191.320007,178.43954499999995,2995100,1.9604849899467127
188,188,188,188,2019-01-07,191.360001,192.300003,188.660004,190.880005,178.029175,2162200,2.0023051235775062
189,189,189,189,2019-01-08,193.0,194.110001,189.580002,191.679993,178.775299,2479800,1.9958264397474181
190,190,190,190,2019-01-09,193.25,193.940002,191.380005,192.300003,179.353577,2163600,1.9967758190830607
191,191,191,191,2019-01-10,190.869995,193.809998,189.399994,193.600006,180.566055,1939300,1.9932851086791805
192,192,192,192,2019-01-11,191.839996,192.690002,190.860001,192.210007,179.269638,2359900,2.0072316682242253
193,193,193,193,2019-01-14,190.639999,192.830002,189.800003,192.169998,179.23233000000005,1914400,2.0002081958704085
194,194,194,194,2019-01-15,188.839996,190.679993,187.860001,188.940002,176.21975700000004,2737300,2.017095352841163
195,195,195,195,2019-01-16,188.509995,190.440002,188.419998,189.479996,176.723419,2492100,1.9971501266022824
196,196,196,196,2019-01-17,188.559998,192.899994,187.899994,191.710007,178.803299,1978900,1.9883677903157138
