,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,151.089996,157.649994,149.139999,155.740005,149.998917,37186500,0
1,01-06-2018,156.940002,165.559998,155.300003,163.589996,157.559555,57789200,1.952014236
2,01-07-2018,161.899994,168.949997,158.080002,159.330002,153.456573,42665600,2.026736923
3,01-08-2018,160.309998,169.919998,157.839996,169.070007,162.837524,37640800,1.942390699
4,01-09-2018,168.759995,175.639999,167.5,170.199997,163.925858,40698200,1.993360811
5,01-10-2018,171.139999,174.820007,150.630005,157.619995,151.809601,53970000,2.079812222
6,01-11-2018,157.899994,165.940002,155.25,164.520004,159.903503,47618200,1.958059757
7,01-12-2018,165.970001,168.369995,132.630005,141.009995,137.053207,58259200,2.166725834
8,01-01-2019,138.929993,154.899994,135.580002,153.550003,149.241318,43567200,1.91833274
9,01-02-2019,154.25,162.5,153.660004,161.380005,156.851593,34127700,1.951480966
10,01-03-2019,163,177.490005,160.5,176.020004,171.080811,45264400,1.916827641
11,01-04-2019,175.5,182.830002,174.559998,182.669998,177.54422,35897100,1.963595587
12,01-05-2019,183.199997,183.350006,170.350006,178.070007,174.506821,39072700,2.025832486
13,01-06-2019,177.869995,187.309998,174.229996,184.770004,181.072754,39715600,1.963738719
14,01-07-2019,184.830002,197.470001,184.429993,192.580002,188.726456,34614000,1.959445436
15,01-08-2019,193.330002,200.679993,184.229996,198.169998,194.20459,40805700,1.971791916
16,01-09-2019,196.360001,202.800003,187.279999,192.350006,188.501068,43457400,2.030257301
17,01-10-2019,192.600006,193.369995,181.970001,185.419998,181.709732,42679200,2.037374653
18,01-11-2019,186.699997,201.660004,185.479996,201.160004,197.981766,30349000,1.9217538
19,01-12-2019,201.440002,213.25,196.470001,210.570007,207.243088,39647400,1.95531176
20,01-01-2020,210.860001,211.919998,203.190002,205.210007,201.967789,46225400,2.026119584
21,01-02-2020,205.339996,216.389999,175.300003,180.589996,178.423889,42168200,2.136330979
22,01-03-2020,182,191.899994,137.149994,163.259995,161.301758,105690400,2.106149709
23,01-04-2020,158.570007,188.169998,148.279999,185.190002,182.968719,59790800,1.881581042
24,01-05-2020,181.710007,204.179993,174.940002,201.619995,200.100464,41874100,1.918510101
25,01-06-2020,201.539993,217.889999,194.830002,214.720001,213.101746,55507600,1.938990285
26,01-07-2020,214.5,225.740005,213.509995,224.779999,223.085922,36953400,1.955245137
27,01-08-2020,225,243.539993,224.460007,239.929993,238.994141,31526600,1.936856606
28,01-09-2020,238.490005,247.820007,210.419998,225.990005,225.108521,48333500,2.061684091
29,01-10-2020,227.360001,234.710007,212.449997,216.910004,216.063934,37834400,2.041860683
30,01-11-2020,219.169998,250.910004,218.320007,249.089996,249.089996,35382000,1.870809778
31,01-12-2020,251.509995,271.179993,243.550003,261.209991,261.209991,45455800,1.953600569
