,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,58.66,59.790001,55.720001,59.189999,55.013004,32812900,0
1,01-06-2018,59.07,61.25,55.209999,60.849998,56.555855,38437000,1.972719818
2,01-07-2018,60.889999,62.41,59.150002,62.060001,58.15826,24750700,1.980502691
3,01-08-2018,61.560001,65.089996,60.779999,63.23,59.2547,28262000,1.981496141
4,01-09-2018,63.450001,66.110001,62.060001,63.220001,59.245327,39074400,2.000158162
5,01-10-2018,63.07,67.230003,62.700001,64.580002,60.943378,37110900,1.978940834
6,01-11-2018,64.940002,70.68,63.32,68.620003,64.755867,30615100,1.941125024
7,01-12-2018,68.32,70.949997,62.509998,65.230003,61.55677,27095900,2.05196995
8,01-01-2019,65.07,69.620003,63.130001,69.339996,65.877876,29291500,1.940726951
9,01-02-2019,69.339996,72.360001,67.900002,71.239998,67.683006,28479500,1.973329561
10,01-03-2019,71.580002,74.910004,70.410004,73.550003,69.87767,28881000,1.968592727
11,01-04-2019,73.580002,73.769997,70.269997,72.769997,69.59211,28060300,2.010718786
12,01-05-2019,72.550003,76.139999,71.239998,73.339996,70.13723,26005300,1.992227992
13,01-06-2019,73.260002,77.769997,72.949997,75.110001,71.829926,25179700,1.976434496
14,01-07-2019,75.120003,77.279999,74.230003,75.690002,72.84034,20636700,1.992337152
15,01-08-2019,75.599998,77.519997,73.669998,77.150002,74.245361,48825700,1.981075827
16,01-09-2019,77.220001,80.849998,73.309998,80.050003,77.036179,37846100,1.963772631
17,01-10-2019,79.709999,80.050003,75.260002,77.699997,75.250092,32348600,2.030244609
18,01-11-2019,77.739998,77.919998,73.339996,74.330002,71.986359,32841400,2.045338287
19,01-12-2019,74.059998,77.040001,73.510002,76.800003,74.378479,35412600,1.96783853
20,01-01-2020,76.940002,82.410004,75.540001,82.050003,79.991234,31248500,1.936014628
21,01-02-2020,82.230003,87.330002,77.190002,79,77.017769,35905900,2.038607633
22,01-03-2020,79.290001,87.660004,58.740002,72.830002,71.002586,60463000,2.084717806
23,01-04-2020,69.910004,81.25,65.900002,72.75,71.357452,34944600,2.001099684
24,01-05-2020,71.709999,75.269997,66.330002,74.730003,73.299568,42844100,1.973504578
25,01-06-2020,74.599998,77.419998,67.139999,70.360001,69.013206,38881000,2.06210918
26,01-07-2020,70.339996,81.309998,70.260002,80.239998,79.211853,29618600,1.876869426
27,01-08-2020,79.959999,83.959999,77.650002,79.110001,78.096336,24757800,2.01428387
28,01-09-2020,79.110001,81.18,75.269997,79.080002,78.066719,23636400,2.00037935
29,01-10-2020,79.169998,85.43,78.82,81.120003,80.585777,21500900,1.97485206
30,01-11-2020,81.989998,86.900002,77.57,77.779999,77.267769,33001300,2.042941682
31,01-12-2020,78.300003,79.660004,75.540001,78.059998,77.545921,29262900,1.996413028
