,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,96.269997,106.400002,92.610001,93.470001,89.105927,39058700,0
1,01-06-2018,93.5,97.75,90.239998,94.330002,89.925774,28409500,1.99088306
2,01-07-2018,93.940002,97.860001,90.019997,94.199997,90.122414,27983500,2.001380096
3,01-08-2018,94,103.110001,90.080002,95.519997,91.385262,37565800,1.986180904
4,01-09-2018,97,107.419998,95.010002,99.779999,95.460861,27090900,1.957306053
5,01-10-2018,100.669998,105.25,92.650002,99.220001,95.245918,32242400,2.005644003
6,01-11-2018,100.379997,108.739998,93.290001,96.32,92.462067,27923600,2.030107984
7,01-12-2018,98.589996,100.360001,71.889999,77.07,73.983093,33422400,2.249772934
8,01-01-2019,75.800003,81.550003,72.580002,80.730003,77.790031,35585600,1.954663658
9,01-02-2019,80.889999,93.139999,78.419998,91.290001,87.965469,28502600,1.884324703
10,01-03-2019,92,92.480003,79.800003,81.980003,78.994514,23606200,2.113564255
11,01-04-2019,82.43,86.949997,73.57,75.059998,72.636574,28969100,2.092192981
12,01-05-2019,75,77.400002,63.130001,63.299999,61.256264,41030300,2.185781978
13,01-06-2019,63.209999,73.940002,63.099998,70.410004,68.136719,28476300,1.89901996
14,01-07-2019,71.199997,75.919998,69.400002,72.959999,70.966187,22041000,1.96504941
15,01-08-2019,72.550003,74.93,58.630001,61.73,60.043079,40703900,2.181921254
16,01-09-2019,61,70.419998,59.509998,69.519997,67.620186,27371300,1.887945953
17,01-10-2019,69.949997,70.839996,60.200001,60.740002,59.395763,36153400,2.144550456
18,01-11-2019,61.459999,72.279999,61.119999,65.379997,63.933075,31991100,1.929030358
19,01-12-2019,65.669998,73.360001,62.110001,73.040001,71.423561,27804400,1.895125905
20,01-01-2020,73.5,82.129997,69.610001,80.279999,78.945717,43351400,1.909815669
21,01-02-2020,80.790001,99.400002,76.669998,81.849998,80.489616,43939100,1.980818582
22,01-03-2020,82.489998,86.779999,48.889999,56.369999,55.433109,49069500,2.452013473
23,01-04-2020,54.259998,67.349998,52.689999,61.43,60.742764,30246400,1.917629806
24,01-05-2020,60.5,79.129997,55.75,76.519997,75.66394,31296700,1.802796686
25,01-06-2020,76.660004,86.910004,72.389999,77.209999,76.346222,25614600,1.991063308
26,01-07-2020,76.949997,89.620003,74.779999,82.459999,81.913559,25061800,1.936332767
27,01-08-2020,82.980003,93.900002,82.089996,91.010002,90.406898,21385800,1.906054249
28,01-09-2020,91.099998,101,79.059998,89.279999,88.688362,28499900,2.019377274
29,01-10-2020,90.010002,99.129997,84.57,93.209999,92.95826,21428100,1.957837141
30,01-11-2020,94.739998,138.190002,93,135.970001,135.602768,27283400,1.685518852
31,01-12-2020,137.5,153.479996,130.759995,147.520004,147.121582,27874700,1.921705513
