,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,65.059998,65.709999,57.529999,60.810001,58.278652,48740900,0
1,01-06-2018,61,64.860001,59.529999,60.389999,58.196056,42138200,2.006954827
2,01-07-2018,60.169998,65.760002,57.970001,62.830002,60.547413,43310000,1.961165002
3,01-08-2018,62.549999,68.089996,60.040001,67.489998,65.038116,29244700,1.930952791
4,01-09-2018,67.68,70.75,66.07,68.860001,66.686661,25861900,1.980104517
5,01-10-2018,68.709999,69.139999,59.549999,61.419998,59.481472,43354900,2.121133234
6,01-11-2018,61.720001,74.830002,61.720001,73.260002,70.947777,32949000,1.838383788
7,01-12-2018,73.879997,74.57,57.419998,60.849998,59.208126,41147100,2.203944197
8,01-01-2019,59.93,66.599998,57.279999,63.950001,62.224483,34694000,1.951524582
9,01-02-2019,64.169998,67.639999,60.970001,61.700001,60.035194,23269300,2.036466774
10,01-03-2019,61.860001,62.02,53.389999,56.119999,54.894367,48632300,2.099429831
11,01-04-2019,56.299999,62.380001,56.110001,61.900002,60.548138,31411500,1.906623541
12,01-05-2019,62,63.259998,57.82,58.200001,56.928944,21399000,2.063573899
13,01-06-2019,58.009998,64,57.849998,63.91,62.866913,21377900,1.910655625
14,01-07-2019,64.099998,65.910004,62.419998,63.360001,62.32589,24882200,2.00868054
15,01-08-2019,63.57,64.790001,57.119999,59.720001,58.7453,21782800,2.060951104
16,01-09-2019,59.43,66.519997,59.43,64.910004,64.222992,16695700,1.920043095
17,01-10-2019,65.449997,72,61.150002,69.43,68.695152,22210400,1.934898516
18,01-11-2019,69.889999,72.220001,67.940002,69.010002,68.279602,11588100,2.006086045
19,01-12-2019,69.169998,70.410004,66.290001,67.75,67.36795,20957100,2.018597815
20,01-01-2020,68.150002,68.790001,64.169998,64.589996,64.225769,28827800,2.048924047
21,01-02-2020,65.129997,66.959999,49.450001,50.459999,50.175453,27359800,2.280023727
22,01-03-2020,50.849998,51.299999,20.02,28.469999,28.469999,87640100,2.772392019
23,01-04-2020,26.92,34.720001,23.58,32.52,32.52,64910700,1.875461224
24,01-05-2020,31.41,39.470001,23.389999,34.189999,34.189999,68518100,1.951155336
25,01-06-2020,34.380001,50.810001,33,36.259998,36.259998,112036800,1.942912324
26,01-07-2020,37.18,38.939999,33.619999,34.439999,34.439999,48635200,2.052845501
27,01-08-2020,34.09,41.049999,33.220001,38.950001,38.950001,50324000,1.884210478
28,01-09-2020,38.099998,43.939999,34.830002,36.630001,36.630001,50019000,2.063336062
29,01-10-2020,37.09,41.73,35.060001,37.889999,37.889999,50167500,1.966745895
30,01-11-2020,38.220001,53.419998,36.82,50.970001,50.970001,47661900,1.743378424
31,01-12-2020,51.77,54.959999,48.27,52,52,38736700,1.980192327
,,,,,,,,
