,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,49.740002,56.939999,48.529999,50.779999,48.509861,326039800,0
1,01-06-2018,51.299999,53.23,44.57,46.189999,44.301392,300989700,2.099372161
2,01-07-2018,45.099998,49.48,44.740002,48.630001,46.641624,215355400,1.949825171
3,01-08-2018,48.889999,50.389999,42.52,43.02,41.261005,276552000,2.130404486
4,01-09-2018,42.84,43,37.389999,38.650002,37.239887,247698300,2.113065919
5,01-10-2018,38.5,39.650002,30.530001,32.880001,31.680401,321299800,2.175486643
6,01-11-2018,32.98,37.279999,32.07,37.279999,35.919868,260792300,1.881974299
7,01-12-2018,38.299999,38.639999,28.790001,32.740002,31.722879,264368600,2.138668196
8,01-01-2019,32.040001,40,31.48,39.080002,37.865917,249011700,1.837768688
9,01-02-2019,39.080002,41.240002,37.919998,38.34,37.148903,221789600,2.019301043
10,01-03-2019,38.66,41.990002,36.799999,39.66,38.624458,209348100,1.966717095
11,01-04-2019,40.299999,45.75,40.209999,44.07,42.919308,166338300,1.899931926
12,01-05-2019,44.040001,44.669998,38.400002,38.689999,37.679779,232766800,2.139054049
13,01-06-2019,38.970001,45.389999,38.540001,44.91,43.961071,200453900,1.861500757
14,01-07-2019,46.630001,52.419998,42.880001,49.369999,48.326832,204362000,1.909661756
15,01-08-2019,49.439999,51.049999,44.619999,48.02,47.005352,175689600,2.028113265
16,01-09-2019,47.639999,52.619999,47.16,49.900002,49.066128,144479600,1.962324611
17,01-10-2019,50.41,57.290001,48.779999,55.07,54.149734,176688000,1.906119521
18,01-11-2019,54.93,63.07,54.41,57.900002,56.932446,163724200,1.951122592
19,01-12-2019,58.139999,62,54.950001,61.040001,60.227512,130725000,1.94855834
20,01-01-2020,62,64.93,57.529999,57.990002,57.218117,141444900,2.052595256
21,01-02-2020,58.68,69.440002,54.080002,58.119999,57.346382,190766100,1.9977633
22,01-03-2020,58.700001,61.380001,36.639999,45.82,45.35257,278980900,2.268441707
23,01-04-2020,43.830002,54.650002,41.580002,49.68,49.173195,196898700,1.922302738
24,01-05-2020,48.080002,58.16,46.220001,56.18,55.606884,195045400,1.884300463
25,01-06-2020,55.630001,62.330002,54.52,60.450001,60.071575,162968300,1.929363095
26,01-07-2020,60.43,65.330002,59.540001,64.330002,63.927288,126161300,1.93968598
27,01-08-2020,64.790001,69.900002,61.290001,61.599998,61.214375,162658200,2.044318248
28,01-09-2020,61.98,65.300003,54.150002,59.450001,59.274136,205467200,2.036164793
29,01-10-2020,60.369999,65.419998,56.869999,59.23,59.054787,141605000,2.003714351
30,01-11-2020,59.950001,83.529999,59.529999,82.480003,82.236015,169506500,1.718113456
31,01-12-2020,83.050003,90.610001,82.879997,86.300003,86.300003,126017600,1.955735807
