,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,10.83,13.95,10.77,13.73,13.73,1020602700,0
1,01-06-2018,13.98,17.34,13.92,14.99,14.99,1632781900,1.915943963
2,01-07-2018,14.8,20.18,14.74,18.33,18.33,1456419400,1.817785052
3,01-08-2018,18.34,27.299999,18,25.17,25.17,2201119100,1.728247914
4,01-09-2018,25.620001,34.139999,25.57,30.889999,30.889999,3063055900,1.814826831
5,01-10-2018,30.690001,31.91,16.17,18.209999,18.209999,2655213100,2.696320741
6,01-11-2018,18.41,22.219999,17.18,21.299999,21.299999,2140346900,1.854929571
7,01-12-2018,22.48,23.75,16.030001,18.459999,18.459999,1981674300,2.153846162
8,01-01-2019,18.01,25.139999,16.940001,24.41,24.41,2311913200,1.756247399
9,01-02-2019,24.610001,25.52,22.27,23.530001,23.530001,1301360800,2.037399021
10,01-03-2019,23.969999,28.110001,21.040001,25.52,25.52,1499160400,1.922021983
11,01-04-2019,26.42,29.950001,25.83,27.629999,27.629999,1275793800,1.923633765
12,01-05-2019,28.950001,29.67,26.030001,27.41,27.41,1675142900,2.008026231
13,01-06-2019,28.75,34.299999,27.290001,30.370001,30.370001,1578306600,1.902535367
14,01-07-2019,31.790001,34.860001,30.1,30.450001,30.450001,1155856000,1.997372742
15,01-08-2019,30.5,35.549999,27.65,31.450001,31.450001,1645672800,1.968203499
16,01-09-2019,30.83,32.049999,28.35,28.99,28.99,1012749700,2.084856882
17,01-10-2019,29.049999,34.34,27.43,33.93,33.93,1067281800,1.85440613
18,01-11-2019,34.369999,41.790001,34.099998,39.150002,39.150002,1202279900,1.866666622
19,01-12-2019,39.32,47.310001,37.150002,45.860001,45.860001,982440800,1.853685154
20,01-01-2020,46.860001,52.810001,46.099998,47,47,1227882000,1.975744702
21,01-02-2020,46.400002,59.27,41.040001,45.48,45.48,1283576300,2.033421284
22,01-03-2020,47.419998,50.200001,36.75,45.48,45.48,2095887300,2
23,01-04-2020,44.18,58.630001,41.700001,52.389999,52.389999,1714919300,1.868104617
24,01-05-2020,51.07,56.98,49.09,53.799999,53.799999,1193177700,1.973791821
25,01-06-2020,53.310001,59,48.419998,52.610001,52.610001,1174375200,2.022619235
26,01-07-2020,52.630001,78.959999,51.599998,77.43,77.43,1563789500,1.679452422
27,01-08-2020,78.190002,92.639999,76.099998,90.82,90.82,1220478900,1.852565514
28,01-09-2020,91.919998,94.279999,73.849998,81.989998,81.989998,1168500500,2.107696088
29,01-10-2020,83.059998,88.720001,74.230003,75.290001,75.290001,1181161700,2.088989201
30,01-11-2020,75.849998,92.739998,73.760002,92.660004,92.660004,907007800,1.812540446
31,01-12-2020,92.25,97.980003,89.029999,91.709999,91.709999,848850500,2.010358794
