,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,264.549988,272.540009,235.240005,251.559998,251.559998,22147100,0
1,01-06-2018,252.660004,287.119995,252.520004,257.48999,257.48999,18721200,1.97697001
2,01-07-2018,254.979996,281.200012,252.25,255.729996,255.729996,12420900,2.006882235
3,01-08-2018,256.5,313.367004,256.001007,298.980011,298.980011,33140900,1.85534145
4,01-09-2018,288.899994,294,261.790009,265.859985,265.859985,19557600,2.12457695
5,01-10-2018,267.209991,268.820007,213.110001,230.350006,230.350006,25018900,2.154156623
6,01-11-2018,232.770004,269.487,210.552994,238.479996,238.479996,18579000,1.965909132
7,01-12-2018,247.5,248.979996,187.080002,210.699997,210.699997,16387100,2.131846224
8,01-01-2019,205,233.160004,199.205002,214.779999,214.779999,15970400,1.981003808
9,01-02-2019,215.330002,286.549988,215.270004,285.25,285.25,19741300,1.752953546
10,01-03-2019,287.600006,316.670013,266.630005,314.459991,314.459991,17691400,1.907110628
11,01-04-2019,318.73999,331.269989,306.463013,312.290009,312.290009,14892300,2.006948612
12,01-05-2019,314.880005,316.220001,242.639999,244.589996,244.589996,28964700,2.276789787
13,01-06-2019,243.740005,265.910004,232.300003,259.619995,259.619995,20669100,1.942107699
14,01-07-2019,265.470001,289.450012,261.350006,273.450012,273.450012,15555600,1.949423966
15,01-08-2019,273.220001,278.470001,214.050003,226.619995,226.619995,19954700,2.206645565
16,01-09-2019,225.899994,251.854996,222.106995,238.919998,238.919998,12500700,1.94851832
17,01-10-2019,240.270004,251.740005,215.259995,244.570007,244.570007,12918700,1.976898193
18,01-11-2019,173.660004,199.199997,173.309998,195.130005,195.130005,28492600,2.253369552
19,01-12-2019,195.389999,208.589996,188.169998,203.399994,203.399994,15731000,1.959341252
20,01-01-2020,205.679993,241.889999,198,223.339996,223.339996,15006000,1.910719072
21,01-02-2020,225.649994,241.350006,185.779999,193.119995,193.119995,17392100,2.156483025
22,01-03-2020,194.679993,208.617996,156.630005,202.550003,202.550003,25825900,1.953443555
23,01-04-2020,194.589996,224,188.990005,219.300003,219.300003,16002700,1.923620612
24,01-05-2020,215.860001,234.440002,201.25,233.460007,233.460007,16959500,1.939347196
25,01-06-2020,232.990005,237.190002,204.720001,210.029999,210.029999,15042400,2.111555531
26,01-07-2020,210.589996,259.799988,207.289993,259.769989,259.769989,11532300,1.808522955
27,01-08-2020,260,267.299988,212.050003,223.449997,223.449997,18263500,2.162541922
28,01-09-2020,224.139999,229.610001,192.960007,206.929993,206.929993,15547800,2.079833782
29,01-10-2020,208.5,233.279999,200.350006,208.899994,208.899994,14214700,1.990569645
30,01-11-2020,210,280.350006,207.707993,270.700012,270.700012,16958300,1.771702936
31,01-12-2020,270,293.779999,268.48999,290.570007,290.570007,11878000,1.931617185
