,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,61.25,64.779999,59.77,63.07,60.156494,17624600,0
1,01-06-2018,63.380001,65.57,57.77,59.150002,56.417576,31709000,2.066272153
2,01-07-2018,58.639999,61.439999,56.299999,59.529999,56.780025,33412400,1.993616714
3,01-08-2018,59.34,59.740002,56.650002,58.080002,55.566158,23193200,2.024965512
4,01-09-2018,57.639999,61.080002,53.209999,53.369999,51.060017,29936200,2.088251885
5,01-10-2018,53.779999,54.709999,40.34,45.529999,43.559353,65618900,2.172194161
6,01-11-2018,45.860001,48.919998,44.639999,47.380001,45.56638,39413300,1.960953948
7,01-12-2018,48.380001,49.290001,41.009998,42.700001,41.065521,38643200,2.109601871
8,01-01-2019,42.209999,48.700001,41.610001,47.860001,46.028008,42647600,1.892185543
9,01-02-2019,48,53.959999,47.639999,51.93,50.172844,29098300,1.921625284
10,01-03-2019,52.549999,53.57,50.259998,53.32,51.515816,28161600,1.973930983
11,01-04-2019,53.849998,56.66,52.259998,52.57,50.791191,22715000,2.014266692
12,01-05-2019,52.43,53.720001,40.380001,40.5,39.284184,60896600,2.298024691
13,01-06-2019,40.889999,47.310001,40.68,47.16,45.744255,37274900,1.858778626
14,01-07-2019,48,48.009998,41.009998,45.450001,44.085583,45762700,2.03762374
15,01-08-2019,45.450001,47.360001,42.540001,46.52,45.351151,39833200,1.976999162
16,01-09-2019,46.119999,51.939999,45.32,47.709999,46.511253,26393100,1.97505766
17,01-10-2019,48.099998,52.029999,44.110001,49.68,48.431755,33012200,1.960346196
18,01-11-2019,50.18,52.610001,47.77,48.400002,47.41507,21533200,2.026446239
19,01-12-2019,48.5,48.68,44.900002,47.639999,46.670528,30826400,2.015953044
20,01-01-2020,47.91,48.59,42.290001,42.689999,41.821259,44080000,2.115952216
21,01-02-2020,43.07,44.700001,38.759998,39.549999,38.956165,37552800,2.079393175
22,01-03-2020,39.73,42.860001,33.810001,37.810001,37.24229,70800800,2.046019517
23,01-04-2020,36.810001,44.18,35.18,42.380001,41.743671,36138700,1.892166119
24,01-05-2020,41.939999,47.740002,38.509998,47.5,47.047207,34371100,1.892210547
25,01-06-2020,47.509998,52.700001,43.880001,47.119999,46.670826,28779100,2.008064538
26,01-07-2020,47.360001,53.720001,46.169998,48.139999,47.681103,24322600,1.978811798
27,01-08-2020,48.27,50.610001,47.43,48.970001,48.722584,16794100,1.983050807
28,01-09-2020,48.939999,54.459999,47.220001,52.799999,52.53323,24943800,1.927462158
29,01-10-2020,53.32,58.049999,51.040001,51.689999,51.428837,25715800,2.021474173
30,01-11-2020,52.16,58.66,51.950001,56.310001,56.310001,19141400,1.917954148
31,01-12-2020,56.82,57.740002,54.029999,54.82,54.82,21410900,2.02717988
