,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,66.150002,73.5,64.059998,70.910004,69.8853,133613600,0
1,01-06-2018,71.419998,79.25,70.769997,76.32,75.217117,107330900,1.929114308
2,01-07-2018,75.360001,81.639999,71.790001,73.419998,72.359024,108609200,2.039498802
3,01-08-2018,73.769997,75.769997,68.220001,72.099998,71.058098,159715900,2.018307906
4,01-09-2018,72.129997,83.75,71,83.190002,81.987846,124807800,1.866690663
5,01-10-2018,84.18,84.68,63.400002,69.050003,68.052177,190721400,2.204779122
6,01-11-2018,69.480003,70.290001,46.830002,49.880001,49.159199,245718000,2.384322406
7,01-12-2018,51,51.439999,43.709999,46.57,45.897026,236285100,2.071075821
8,01-01-2019,45.25,51.490002,44.470001,47.240002,46.55735,206630200,1.985817062
9,01-02-2019,47.189999,48.09,39.849998,42.139999,41.531044,387606900,2.121025228
10,01-03-2019,42.599998,48.830002,40.889999,45.529999,44.872059,218645800,1.925543596
11,01-04-2019,46.5,48.98,43.959999,48.209999,47.895,136821800,1.944409872
12,01-05-2019,48.349998,49.830002,41.84,43.369999,43.086624,192861700,2.111597881
13,01-06-2019,43.32,47.73,42.099998,47.200001,46.891602,137536400,1.918855892
14,01-07-2019,47.880001,49.93,44.810001,48.740002,48.421543,115103300,1.968403756
15,01-08-2019,48.93,52.220001,44.91,50.599998,50.269386,167615300,1.963241184
16,01-09-2019,50.48,57.52,50.43,52.919998,52.574226,149699100,1.95616024
17,01-10-2019,53.34,56.459999,50.25,56.029999,55.663906,172907700,1.944494002
18,01-11-2019,56.209999,57.43,51.459999,54.830002,54.471748,145561300,2.021885773
19,01-12-2019,54.93,59.75,53.360001,59.419998,59.031757,101759500,1.922753346
20,01-01-2020,59.91,61.900002,57.650002,58.48,58.0979,126065700,2.016073837
21,01-02-2020,58.639999,64.529999,55.919998,58.130001,57.750187,125927800,2.00602097
22,01-03-2020,58.299999,62.59,50.509998,59.48,59.091366,246505200,1.977303312
23,01-04-2020,58,68.32,57.060001,63.73,63.313595,175485100,1.933312412
24,01-05-2020,63.139999,75.970001,62.849998,71.980003,71.980003,183512600,1.885384792
25,01-06-2020,72.190002,77.629997,67.400002,75.900002,75.900002,164337500,1.948353111
26,01-07-2020,75.449997,83.449997,74.970001,82.629997,82.629997,122529600,1.918552641
27,01-08-2020,84.410004,87.730003,78.699997,83.519997,83.519997,152021600,1.989343869
28,01-09-2020,83.839996,84.489998,75.68,80.949997,80.949997,141724300,2.031747994
29,01-10-2020,81.720001,83.540001,74.370003,75.730003,75.730003,126927300,2.068929008
30,01-11-2020,76.550003,81.68,71.190002,79.480003,79.480003,151780700,1.952818321
31,01-12-2020,79.940002,92.989998,78.550003,92.849998,92.849998,136605300,1.856004359
