,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,86.379997,86.800003,79.93,83.139999,79.151642,16820200,0
1,01-06-2018,83.400002,86.57,77.730003,85.379997,81.731003,20996900,1.97376437
2,01-07-2018,85.589996,88.949997,84.220001,88.25,84.47834,12486900,1.96747872
3,01-08-2018,87.919998,89.959999,86.330002,87.529999,83.789101,12648100,2.008225763
4,01-09-2018,87.32,89.779999,85.879997,87.970001,84.647377,15470500,1.994998272
5,01-10-2018,87.879997,92.790001,86.760002,88.529999,85.186211,19754600,1.993674483
6,01-11-2018,89.370003,95.410004,86.599998,95.410004,91.806381,18374700,1.927890109
7,01-12-2018,94.839996,98.18,85.889999,90.769997,87.784973,23576500,2.05111829
8,01-01-2019,90.449997,96.139999,88,95.669998,92.523827,20243200,1.948782261
9,01-02-2019,95.720001,102.07,93.900002,101.620003,98.278168,16630100,1.941448486
10,01-03-2019,101.459999,107.709999,100.610001,104.260002,101.312233,27344500,1.974678698
11,01-04-2019,104.43,108.230003,101.919998,108.190002,105.131119,21117700,1.963675017
12,01-05-2019,107.800003,114.5,105.260002,113.019997,109.824547,18994700,1.957264244
13,01-06-2019,113.419998,119.279999,111.720001,116,113.253105,17967600,1.974310319
14,01-07-2019,115.400002,119.300003,113.18,114.779999,112.061989,19120200,2.010629038
15,01-08-2019,113.629997,127.800003,113.199997,127.32,124.305046,20922400,1.901508003
16,01-09-2019,128.360001,129.889999,119.379997,124.230003,121.802376,24026400,2.024873194
17,01-10-2019,123.720001,125.959999,118.660004,123.269997,120.861115,19388200,2.007787832
18,01-11-2019,123.400002,124.169998,114.959999,121.029999,118.664886,19125400,2.018507792
19,01-12-2019,120.940002,123.82,117.339996,122.849998,120.961227,18462500,1.985185193
20,01-01-2020,123,137.729996,119.230003,136.199997,134.105972,20941100,1.901982384
21,01-02-2020,136.330002,141.369995,120.620003,123.660004,121.758789,23698200,2.101407024
22,01-03-2020,124.330002,141.699997,92,119.559998,118.15921,45718000,2.034292456
23,01-04-2020,115,133.720001,110.559998,121.690002,120.264267,21861600,1.982496475
24,01-05-2020,120.589996,127.400002,112.5,127,125.512047,20677100,1.958188992
25,01-06-2020,126.910004,134.259995,120.669998,128.660004,127.747887,21172300,1.987097746
26,01-07-2020,128.449997,148.509995,128.449997,147.270004,146.225952,16984300,1.873633466
27,01-08-2020,147,150.470001,138.850006,141.339996,140.337982,12822100,2.041955626
28,01-09-2020,141.779999,146.300003,137.009995,144.880005,144.385468,16000600,1.975565924
29,01-10-2020,145.559998,160,145.440002,150.509995,149.996246,16319500,1.962593913
30,01-11-2020,152,172.559998,151.110001,153.380005,152.856461,17598000,1.981288239
31,01-12-2020,154.580002,156.410004,146.539993,153.470001,153.470001,19122700,1.999413592
