,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,01-05-2018,43,43.470001,40.110001,41.419998,38.496147,37036900,0
1,01-06-2018,41.299999,42.779999,38.220001,42.32,39.332615,33691000,1.978733412
2,01-07-2018,42.43,43.950001,41.41,42.970001,39.936737,23701300,1.984873144
3,01-08-2018,42.709999,43.84,41.389999,42.84,40.128983,29185900,2.00303457
4,01-09-2018,42.720001,44.18,41.73,42.57,39.87606,24883600,2.006342495
5,01-10-2018,42.43,44.700001,42.009998,42.98,40.26012,37591200,1.990460679
6,01-11-2018,42.98,46.049999,42.220001,45.389999,42.846592,33944500,1.946904625
7,01-12-2018,45.369999,46.580002,40.68,42.25,39.882538,47350300,2.074319503
8,01-01-2019,42.16,44.549999,40.75,44.470001,41.978149,38412700,1.950078683
9,01-02-2019,44.349998,45.990002,43.119999,45.869999,43.659809,30094100,1.969479005
10,01-03-2019,46,47.91,45.369999,47.130001,44.859097,34765000,1.973265394
11,01-04-2019,47.130001,47.41,45.720001,47.23,44.954277,23337600,1.997882723
12,01-05-2019,46.990002,49.080002,46.009998,47.459999,45.517143,22767800,1.995153835
13,01-06-2019,47.610001,50.169998,46.84,49.080002,47.070824,24391100,1.966992605
14,01-07-2019,49.450001,50.950001,48.48,49.540001,47.511997,19892200,1.990714594
15,01-08-2019,49.450001,53,48.77,52.450001,50.661491,26258200,1.94451859
16,01-09-2019,52.75,54.59,50.360001,53.93,52.091019,27473400,1.972557037
17,01-10-2019,53.66,54.43,51.580002,53.66,51.830227,27923100,2.005031681
18,01-11-2019,53.349998,53.669998,50.93,53,51.541119,32511800,2.01245283
19,01-12-2019,52.77,55.400002,52.240002,54.720001,53.213772,32850500,1.968567234
20,01-01-2020,54.68,59.740002,53.32,59.360001,57.726051,30879600,1.921832885
21,01-02-2020,59.580002,60.279999,51.25,52.119999,51.013454,30465200,2.138910248
22,01-03-2020,52.209999,58.150002,37.66,48.290001,47.264767,62593700,2.079312444
23,01-04-2020,46.459999,54.450001,43.610001,48.549999,47.519249,28805200,1.994644737
24,01-05-2020,48.18,49.720001,44.360001,49.360001,48.677254,28500200,1.983589911
25,01-06-2020,49.32,52.470001,46.150002,47.84,47.178276,35225700,2.031772596
26,01-07-2020,47.77,54.110001,47.52,53.849998,53.105145,28133000,1.888393719
27,01-08-2020,53.73,55.599998,52.220001,54.150002,53.779377,22166200,1.99445976
28,01-09-2020,54.009998,55.150002,48.889999,51.650002,51.29649,35499400,2.048402709
29,01-10-2020,51.57,57.52,51.57,55.279999,54.901642,25768800,1.934334351
30,01-11-2020,56.060001,58.099998,52.110001,52.599998,52.599998,25442200,2.050950591
31,01-12-2020,52.959999,53.849998,47.610001,51.529999,51.529999,25718400,2.020764584
