,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,11.42,11.52,11.25,11.34,10.308711,22348800,0.0
1,1,1,1,2018-04-16,11.41,11.83,11.36,11.62,10.563247,26772800,1.9759036144578315
2,2,2,2,2018-04-23,11.67,12.45,11.63,12.31,11.190494,34770700,1.943948009748172
3,3,3,3,2018-04-30,12.21,12.4,12.05,12.33,11.208676,30673200,1.9983779399837793
4,4,4,4,2018-05-07,12.32,12.38,11.66,12.29,11.291559,45289300,2.0032546786004883
5,5,5,5,2018-05-14,12.32,12.41,11.8,11.93,10.960806,31652900,2.030176026823135
6,6,6,6,2018-05-21,11.99,12.5,11.94,12.41,11.40181,24064300,1.9613215149073329
7,7,7,7,2018-05-28,12.37,12.86,12.3,12.79,11.750938,25904800,1.9702892885066459
8,8,8,8,2018-06-04,12.86,13.25,12.47,12.77,11.732564,40326400,2.0015661707126076
9,9,9,9,2018-06-11,12.8,13.35,12.65,13.07,12.008191,33398000,1.9770466717674062
10,10,10,10,2018-06-18,13.05,13.2,12.82,12.86,11.815251,33993300,2.0163297045101087
11,11,11,11,2018-06-25,12.86,13.56,12.77,13.41,12.320571,36813000,1.958985831469053
12,12,12,12,2018-07-02,13.05,13.18,12.8,13.0,11.943878,22375600,2.0315384615384615
13,13,13,13,2018-07-09,13.0,13.19,12.55,13.18,12.109257,31720400,1.9863429438543247
14,14,14,14,2018-07-16,13.18,13.21,12.71,13.03,11.971441,34748400,2.0115118956254796
15,15,15,15,2018-07-23,13.02,13.58,12.92,13.37,12.283819,34305500,1.974569932685116
16,16,16,16,2018-07-30,13.38,13.74,13.26,13.69,12.577823,45763500,1.9766252739225711
17,17,17,17,2018-08-06,13.75,14.0,13.23,13.56,12.579794,35325600,2.0095870206489677
18,18,18,18,2018-08-13,13.56,13.99,13.35,13.94,12.932323,31783000,1.9727403156384506
19,19,19,19,2018-08-20,13.99,14.11,13.89,14.01,12.997263,19556400,1.995003568879372
20,20,20,20,2018-08-27,14.06,14.1,13.4,13.46,12.48702,27592600,2.040861812778603
21,21,21,21,2018-09-03,13.43,13.53,13.08,13.11,12.162322,29860600,2.026697177726926
22,22,22,22,2018-09-10,13.18,13.64,13.0,13.55,12.570516,38711900,1.9675276752767528
23,23,23,23,2018-09-17,13.56,14.01,13.49,13.96,12.950877,35235600,1.9706303724928367
24,24,24,24,2018-09-24,13.96,14.01,13.49,14.0,12.987986,30906100,1.997142857142857
25,25,25,25,2018-10-01,13.99,14.73,13.88,14.66,13.600276,34398200,1.9549795361527966
26,26,26,26,2018-10-08,14.72,15.11,14.31,14.65,13.591001,35109600,2.0006825938566553
27,27,27,27,2018-10-15,14.77,15.39,14.71,14.98,13.897145000000002,33809100,1.977970627503338
28,28,28,28,2018-10-22,15.02,15.14,14.42,14.55,13.498228,34803400,2.029553264604811
29,29,29,29,2018-10-29,14.66,14.85,14.39,14.6,13.544615,33011900,1.9965753424657533
30,30,30,30,2018-11-05,14.66,16.280001000000002,14.62,15.52,14.525529,36838800,1.940721649484536
31,31,31,31,2018-11-12,15.52,15.73,15.13,15.51,14.516169,29798600,2.0006447453255967
32,32,32,32,2018-11-19,15.48,15.55,14.67,15.0,14.038849,19504200,2.034
33,33,33,33,2018-11-26,15.04,15.55,15.04,15.49,14.497449,32083900,1.9683666881859265
34,34,34,34,2018-12-03,15.59,15.76,15.04,15.53,14.534885,24114000,1.9974243399871217
35,35,35,35,2018-12-10,15.5,16.02,15.49,15.95,14.927975,32022200,1.973667711598746
36,36,36,36,2018-12-17,15.96,15.96,14.26,14.45,13.524091,64402700,2.1038062283737022
37,37,37,37,2018-12-24,14.35,14.57,13.55,14.27,13.355623,23502800,2.012613875262789
38,38,38,38,2018-12-31,14.46,14.8,13.97,14.64,13.701917000000002,24955000,1.974726775956284
39,39,39,39,2019-01-07,14.64,15.43,14.54,15.39,14.403858,21607400,1.9512670565302144
40,40,40,40,2019-01-14,15.25,15.66,14.78,15.55,14.553605,29544900,1.9897106109324758
41,41,41,41,2019-01-21,15.57,16.09,15.44,15.88,14.86246,19236100,1.979219143576826
42,42,42,42,2019-01-28,15.83,16.709999,15.74,16.68,15.611199,30482100,1.9520383693045564
43,43,43,43,2019-02-04,16.65,17.23,16.370001000000002,17.219998999999998,16.253286,24120100,1.9686411712335175
44,44,44,44,2019-02-11,17.25,17.459999,16.91,16.92,15.97013,27326500,2.0177304373522458
45,45,45,45,2019-02-18,16.9,17.6,16.860001,17.530001000000002,16.545887,18922600,1.9652024549228488
46,46,46,46,2019-02-25,17.51,17.59,16.870001000000002,17.5,16.517569,28763100,2.001714342857143
47,47,47,47,2019-03-04,17.530001000000002,17.950001,16.879998999999998,17.700001,16.706343,38723900,1.9887005091129655
48,48,48,48,2019-03-11,17.76,18.389999,17.74,18.309999,17.282099,25555000,1.9666849790652638
49,49,49,49,2019-03-18,18.32,18.42,17.709999,18.059999,17.046129,36072000,2.0138427471673723
50,50,50,50,2019-03-25,18.08,18.52,18.01,18.08,17.065008,27083100,1.9988937500000004
51,51,51,51,2019-04-01,18.129999,18.309999,17.83,18.27,17.244343,36411800,1.9896004378762997
52,52,52,52,2019-04-08,18.24,18.27,17.91,18.02,17.008379,18031900,2.013873473917869
53,53,53,53,2019-04-15,18.059999,18.17,17.530001000000002,17.719998999999994,16.725216,16378600,2.0169300799621945
54,54,54,54,2019-04-22,17.67,17.91,17.370001000000002,17.459999,16.479816,27098100,2.014891180692507
55,55,55,55,2019-04-29,17.469998999999998,17.51,16.719998999999998,16.93,15.979568,42996100,2.031305316007088
56,56,56,56,2019-05-06,16.82,16.92,15.87,16.25,15.460747,43041900,2.0418461538461536
57,57,57,57,2019-05-13,16.09,16.450001,15.88,16.34,15.546376,32195200,1.9944920440636478
58,58,58,58,2019-05-20,16.23,16.870001000000002,16.209999,16.5,15.698604,34242500,1.9903030303030305
59,59,59,59,2019-05-27,16.5,16.639999,15.71,15.8,15.032603,25663800,2.0443037974683542
60,60,60,60,2019-06-03,15.87,17.110001,15.76,16.700001,15.88889,33257100,1.9461077277779801
61,61,61,61,2019-06-10,16.690001000000002,17.200001,16.24,17.09,16.259951,20288500,1.9771796957284964
62,62,62,62,2019-06-17,17.09,17.15,16.27,16.76,15.945975,26645800,2.019689737470167
63,63,63,63,2019-06-24,16.84,16.870001000000002,16.280001000000002,16.76,15.945975,24439200,2.0
64,64,64,64,2019-07-01,16.82,17.43,16.66,17.120001000000002,16.288492,18519700,1.9789719054338841
65,65,65,65,2019-07-08,17.049999,17.209999,16.780001000000002,17.08,16.250435,16879800,2.002341978922717
66,66,66,66,2019-07-15,17.08,17.799999,16.959999,17.219998999999998,16.383633,29070600,1.9918699762990697
67,67,67,67,2019-07-22,17.26,17.290001,16.75,16.940001000000002,16.117235,17272800,2.0165288065803533
68,68,68,68,2019-07-29,17.01,17.370001000000002,16.709999,16.83,16.012577,30631000,2.006536007130125
69,69,69,69,2019-08-05,16.719998999999998,16.790001,15.32,15.57,14.933064000000002,34620900,2.0809248554913293
70,70,70,70,2019-08-12,15.52,15.52,14.63,15.2,14.578199,25430900,2.024342105263158
71,71,71,71,2019-08-19,15.2,15.48,14.72,14.79,14.184972,21530900,2.027721433400947
72,72,72,72,2019-08-26,14.85,15.41,14.6,15.33,14.702882999999998,22809300,1.9647749510763208
73,73,73,73,2019-09-02,15.22,15.57,15.17,15.31,14.6837,18256800,2.001306335728282
74,74,74,74,2019-09-09,15.28,15.96,14.85,15.79,15.144064000000002,25368400,1.969601013299557
75,75,75,75,2019-09-16,15.84,16.190001000000002,15.62,16.09,15.431792000000002,24625300,1.9813548788067121
76,76,76,76,2019-09-23,16.08,16.530001000000002,15.95,16.309998999999998,15.642793,20913400,1.9865114032195832
77,77,77,77,2019-09-30,16.370001000000002,16.450001,15.62,16.030001000000002,15.374248,19951500,2.0174671230525814
78,78,78,78,2019-10-07,16.0,16.15,15.43,16.01,15.355064000000002,18675500,2.001249281698938
79,79,79,79,2019-10-14,16.030001000000002,16.48,15.84,16.379998999999998,15.709927,18953500,1.9774115370825118
80,80,80,80,2019-10-21,16.4,17.209999,16.33,16.799999,16.112747,24379300,1.9749999985119047
81,81,81,81,2019-10-28,16.799999,17.540001,16.75,17.51,16.793705,27932300,1.9594516847515706
82,82,82,82,2019-11-04,17.51,17.84,17.120001000000002,17.639999,17.054144,28512500,1.9926304417590954
83,83,83,83,2019-11-11,17.65,18.48,17.559998999999998,18.450001,17.837244000000005,35377200,1.9560974549540677
84,84,84,84,2019-11-18,18.42,18.860001,18.309999,18.83,18.204624,40634800,1.9798194901752524
85,85,85,85,2019-11-25,18.780001,19.030001,18.58,18.91,18.281965,20851300,1.9957694341618188
86,86,86,86,2019-12-02,18.9,18.99,18.690001,18.719999,18.098276,29703500,2.0101496266105565
87,87,87,87,2019-12-09,18.75,19.23,18.639999,18.92,18.291632,23260900,1.9894291226215646
88,88,88,88,2019-12-16,18.969999,19.959999,18.809999,19.809999,19.152075,42552000,1.9550732435675542
89,89,89,89,2019-12-23,19.93,19.99,19.68,19.98,19.316429,8075500,1.9914914414414415
90,90,90,90,2019-12-30,19.9,20.120001,19.74,19.799999,19.142405,16955800,2.009090960055099
91,91,91,91,2020-01-06,19.75,20.42,19.74,20.18,19.509787,18783600,1.981169425173439
92,92,92,92,2020-01-13,20.139999,20.6,20.139999,20.5,19.819159,17961900,1.984390243902439
93,93,93,93,2020-01-20,20.370001,20.709999,20.25,20.379999,19.703144,15430300,2.005888174969979
94,94,94,94,2020-01-27,20.309999,20.389999,19.790001,19.860001,19.200417,16068400,2.0261831809575437
95,95,95,95,2020-02-03,19.969999,20.91,19.9,20.5,19.959623,17020000,1.9687805365853657
96,96,96,96,2020-02-10,20.5,21.01,20.379999,20.93,20.378288,15683000,1.9794553272814142
97,97,97,97,2020-02-17,20.940001,21.23,20.66,20.75,20.203033,11528200,2.008674698795181
98,98,98,98,2020-02-24,20.33,20.49,15.75,16.73,16.289,35746900,2.2402869097429767
99,99,99,99,2020-03-02,16.77,18.43,15.89,16.82,16.376627,41307600,1.9946492271105825
100,100,100,100,2020-03-09,15.65,15.8,11.7,13.0,12.657322,37009200,2.293846153846154
101,101,101,101,2020-03-16,11.55,12.7,8.11,11.87,11.557108,44742100,2.0951979780960404
102,102,102,102,2020-03-23,11.98,13.83,11.53,13.45,13.09546,38854600,1.8825278810408923
103,103,103,103,2020-03-30,13.75,13.96,12.13,12.24,11.917356,34670400,2.0988562091503264
104,104,104,104,2020-04-06,12.9,14.99,12.8,14.72,14.331984,23426100,1.8315217391304348
105,105,105,105,2020-04-13,14.63,14.63,12.01,13.12,12.774158,36584200,2.1219512195121952
106,106,106,106,2020-04-20,12.87,13.14,12.25,12.86,12.521011,24287600,2.020217729393468
107,107,107,107,2020-04-27,13.0,14.48,12.6,12.94,12.598904,23183000,1.9938176197836166
108,108,108,108,2020-05-04,12.87,13.21,12.07,12.87,12.657143,32083400,2.0054390054390057
109,109,109,109,2020-05-11,12.74,12.74,11.0,11.75,11.555667,36263600,2.09531914893617
110,110,110,110,2020-05-18,12.22,13.3,11.97,12.24,12.037563,30137900,1.959967320261438
111,111,111,111,2020-05-25,12.83,13.23,12.3,12.49,12.283427,29809300,1.9799839871897518
112,112,112,112,2020-06-01,12.47,15.06,12.33,14.3,14.063493,35267300,1.8734265734265734
113,113,113,113,2020-06-08,14.5,15.08,12.0,12.67,12.460451,35499900,2.1286503551696923
114,114,114,114,2020-06-15,12.23,13.91,12.03,13.34,13.119370000000002,36706700,1.9497751124437779
115,115,115,115,2020-06-22,13.36,14.38,13.18,13.75,13.52259,47848100,1.9701818181818183
116,116,116,116,2020-06-29,13.96,14.81,13.72,14.48,14.240515,29481700,1.9495856353591159
117,117,117,117,2020-07-06,14.79,15.05,13.77,14.36,14.1225,26813100,2.0083565459610027
118,118,118,118,2020-07-13,14.44,15.72,14.4,15.63,15.371496,30206100,1.9187460012795905
