,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,109.93,113.75,108.760002,111.379997,111.379997,7639400,0.0
1,1,1,1,2018-04-16,112.389999,114.629997,102.099998,107.779999,107.779999,11281700,2.033401354921148
2,2,2,2,2018-04-23,108.510002,123.260002,105.449997,121.370003,121.370003,14841800,1.8880283128937552
3,3,3,3,2018-04-30,122.029999,122.629997,111.839996,116.809998,116.809998,10593100,2.0390377970899376
4,4,4,4,2018-05-07,116.959999,119.980003,112.510002,119.660004,119.660004,8186300,1.976182467785978
5,5,5,5,2018-05-14,119.709999,123.480003,119.660004,121.07,121.07,6587800,1.9883538779218635
6,6,6,6,2018-05-21,121.5,121.559998,116.459999,117.739998,117.739998,5140300,2.0282826741682127
7,7,7,7,2018-05-28,116.519997,119.449997,114.360001,119.010002,119.010002,5578000,1.989328594415115
8,8,8,8,2018-06-04,118.989998,121.650002,116.470001,118.330002,118.330002,5671300,2.0057466406533146
9,9,9,9,2018-06-11,118.120003,121.849998,115.669998,121.519997,121.519997,6578100,1.9737492175876206
10,10,10,10,2018-06-18,120.050003,128.639999,117.300003,127.57,127.57,7355000,1.9525750333150427
11,11,11,11,2018-06-25,126.889999,127.139999,119.57,124.150002,124.150002,6274600,2.02754730523484
12,12,12,12,2018-07-02,124.169998,132.479996,122.0,132.199997,132.199997,4477700,1.939107449450245
13,13,13,13,2018-07-09,132.929993,136.470001,129.71000700000002,135.869995,135.869995,6391300,1.9729889001615109
14,14,14,14,2018-07-16,136.270004,137.899994,133.779999,135.160004,135.160004,6252100,2.00525296669864
15,15,15,15,2018-07-23,135.160004,138.770004,130.5,131.830002,131.830002,8853600,2.0252598190812434
16,16,16,16,2018-07-30,131.440002,133.720001,122.809998,123.669998,123.669998,10001500,2.065982082412583
17,17,17,17,2018-08-06,123.18,123.699997,118.150002,118.879997,118.879997,7761000,2.0402927415955436
18,18,18,18,2018-08-13,118.959999,120.610001,114.400002,116.0,116.0,6463900,2.0248275603448276
19,19,19,19,2018-08-20,118.470001,118.470001,115.459999,117.5,117.5,4558900,1.9872340425531916
20,20,20,20,2018-08-27,118.279999,123.739998,117.75,122.239998,122.239998,6104700,1.9612238377163587
21,21,21,21,2018-09-03,121.330002,121.779999,115.400002,117.269997,117.269997,3854200,2.0423808401734673
22,22,22,22,2018-09-10,118.0,119.760002,116.099998,118.199997,118.199997,5275400,1.9921319794957355
23,23,23,23,2018-09-17,118.349998,125.5,117.080002,121.989998,121.989998,5585900,1.9689318709555188
24,24,24,24,2018-09-24,130.029999,140.770004,125.629997,139.009995,139.009995,14165700,1.8775627824459673
25,25,25,25,2018-10-01,139.139999,140.0,130.020004,130.820007,130.820007,9297200,2.0626050111738645
26,26,26,26,2018-10-08,131.029999,132.270004,118.160004,121.940002,121.940002,8189300,2.0728227394977408
27,27,27,27,2018-10-15,121.019997,129.570007,120.0,125.889999,125.889999,5431900,1.968623424963249
28,28,28,28,2018-10-22,126.790001,127.07,110.589996,116.269997,116.269997,15313400,2.0827384729355414
29,29,29,29,2018-10-29,117.669998,123.18,109.739998,122.82,122.82,9387200,1.9466698990392444
30,30,30,30,2018-11-05,123.629997,128.419998,121.449997,123.440002,123.440002,5660900,1.9949773007942755
31,31,31,31,2018-11-12,123.519997,123.540001,114.629997,118.620003,118.620003,5694200,2.040633947716221
32,32,32,32,2018-11-19,118.860001,120.440002,113.160004,118.099998,118.099998,3691100,2.004403090675751
33,33,33,33,2018-11-26,119.900002,124.940002,117.0,123.150002,123.150002,6498500,1.9589930660334054
34,34,34,34,2018-12-03,123.199997,129.360001,114.400002,115.599998,115.599998,6109300,2.065311454417153
35,35,35,35,2018-12-10,115.650002,118.760002,108.860001,109.43,109.43,9155600,2.0563830576624325
36,36,36,36,2018-12-17,109.360001,114.07,93.669998,94.629997,94.629997,14994400,2.1563986417541576
37,37,37,37,2018-12-24,93.230003,99.269997,92.559998,97.209999,97.209999,6593900,1.9734594997784127
38,38,38,38,2018-12-31,98.059998,107.300003,95.160004,106.0,106.0,8316300,1.9170754622641508
39,39,39,39,2019-01-07,105.650002,111.529999,104.699997,111.129997,111.129997,8110600,1.953837873315159
40,40,40,40,2019-01-14,110.019997,117.370003,107.529999,117.050003,117.050003,10244500,1.9494232734022228
41,41,41,41,2019-01-21,115.279999,121.589996,112.139999,121.440002,121.440002,8380000,1.9638504699629369
42,42,42,42,2019-01-28,119.870003,126.510002,117.0,126.279999,126.279999,9865000,1.961672497320815
43,43,43,43,2019-02-04,128.669998,129.0,117.309998,120.139999,120.139999,9612400,2.0511070422099804
44,44,44,44,2019-02-11,120.760002,129.490005,119.290001,129.419998,129.419998,6148200,1.9282954787250115
45,45,45,45,2019-02-18,128.479996,130.419998,126.300003,129.729996,129.729996,5169100,1.9976104369879113
46,46,46,46,2019-02-25,130.5,137.800003,130.5,137.75,137.75,7104500,1.9417785553539022
47,47,47,47,2019-03-04,138.0,138.320007,125.699997,128.679993,128.679993,6635600,2.0704849820748743
48,48,48,48,2019-03-11,128.970001,136.96000700000002,128.350006,136.089996,136.089996,7366300,1.945550714837261
49,49,49,49,2019-03-18,136.03999299999998,136.389999,130.029999,130.21000700000002,130.21000700000002,7694800,2.0451577350733112
50,50,50,50,2019-03-25,130.28999299999998,137.5,128.300003,135.179993,135.179993,6893800,1.9632343079053125
51,51,51,51,2019-04-01,136.580002,141.800003,135.089996,141.199997,141.199997,6483500,1.9573654098590387
52,52,52,52,2019-04-08,141.21000700000005,141.860001,135.830002,136.199997,136.199997,5008000,2.036710720338709
53,53,53,53,2019-04-15,136.869995,139.949997,122.68,126.010002,126.010002,7200900,2.0808665569261713
54,54,54,54,2019-04-22,126.480003,137.160004,126.099998,134.570007,134.570007,7223100,1.9363899490619778
55,55,55,55,2019-04-29,134.520004,136.919998,132.21000700000002,136.690002,136.690002,5712900,1.9844904896555637
56,56,56,56,2019-05-06,134.229996,137.520004,127.459999,131.690002,131.690002,5178200,2.037967954469315
57,57,57,57,2019-05-13,128.679993,131.990005,125.610001,130.899994,130.899994,5989700,2.0060352027212467
58,58,58,58,2019-05-20,129.699997,129.699997,123.120003,127.040001,127.040001,5995600,2.0303840756424427
59,59,59,59,2019-05-27,127.0,127.900002,112.860001,113.68,113.68,6571500,2.1175228800140746
60,60,60,60,2019-06-03,113.970001,120.279999,113.309998,118.400002,118.400002,8643600,1.9601351189166365
61,61,61,61,2019-06-10,118.610001,122.93,115.660004,117.93,117.93,7576300,2.0039854320359534
62,62,62,62,2019-06-17,118.290001,132.740005,118.290001,132.389999,132.389999,8913900,1.8907772557653695
63,63,63,63,2019-06-24,132.449997,132.770004,123.099998,130.979996,130.979996,8490500,2.0107650255234395
64,64,64,64,2019-07-01,132.779999,134.839996,129.759995,130.300003,130.300003,4849100,2.005218672174551
65,65,65,65,2019-07-08,129.470001,129.470001,119.529999,120.82,120.82,7924100,2.0784638553219668
66,66,66,66,2019-07-15,120.720001,125.139999,120.589996,120.800003,120.800003,6803600,2.000165538075359
67,67,67,67,2019-07-22,121.489998,125.459999,113.900002,114.629997,114.629997,13018000,2.0538254048807136
68,68,68,68,2019-07-29,114.650002,116.980003,109.830002,112.339996,112.339996,15041300,2.0203845565385277
69,69,69,69,2019-08-05,110.449997,112.459999,106.790001,109.980003,109.980003,9386000,2.021458382757091
70,70,70,70,2019-08-12,109.07,112.599998,107.389999,110.849998,110.849998,8343100,1.9921516011213638
71,71,71,71,2019-08-19,113.059998,125.519997,111.400002,115.330002,115.330002,18939000,1.9611549126653098
72,72,72,72,2019-08-26,112.0,114.209999,98.940002,100.760002,100.760002,17539500,2.1446010292854103
73,73,73,73,2019-09-02,100.260002,104.07,94.93,103.839996,103.839996,15546900,1.9703390396894853
74,74,74,74,2019-09-09,103.949997,110.639999,102.5,107.400002,107.400002,12493600,1.966852831157303
75,75,75,75,2019-09-16,106.660004,109.419998,102.169998,106.32,106.32,11724000,2.0101580323551542
76,76,76,76,2019-09-23,106.389999,107.0,96.550003,97.769997,97.769997,9283600,2.087450171446768
77,77,77,77,2019-09-30,98.269997,99.849998,95.019997,98.029999,98.029999,7593900,1.9973477302595914
78,78,78,78,2019-10-07,98.169998,101.160004,94.589996,99.25,99.25,6925600,1.987707798488665
79,79,79,79,2019-10-14,99.5,105.129997,97.589996,98.410004,98.410004,9523200,2.008535676921627
80,80,80,80,2019-10-21,100.0,108.0,98.529999,105.18,105.18,12064500,1.9356341890093174
81,81,81,81,2019-10-28,105.0,109.68,104.199997,109.379997,109.379997,7233800,1.9616017817224844
82,82,82,82,2019-11-04,110.260002,111.040001,106.389999,110.790001,110.790001,7059600,1.9872731836151893
83,83,83,83,2019-11-11,110.669998,110.790001,104.519997,108.370003,108.370003,7416900,2.0223308843130696
84,84,84,84,2019-11-18,108.540001,112.040001,106.779999,111.029999,111.029999,8614700,1.9760425468435787
