,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,10.55,10.75,10.55,10.75,9.524206,59600,0.0
1,1,1,1,2018-04-16,10.75,10.92,10.75,10.85,9.612804,160300,1.990783410138249
2,2,2,2,2018-04-23,10.85,10.85,10.85,10.85,9.612804,0,2.0
3,3,3,3,2018-04-30,10.85,10.85,10.2,10.2,9.036923,200,2.063725490196078
4,4,4,4,2018-05-07,10.2,10.43,10.2,10.42,9.231837,180100,1.9788867562380037
5,5,5,5,2018-05-14,10.42,10.42,10.42,10.42,9.231837,0,2.0
6,6,6,6,2018-05-21,10.42,10.42,10.42,10.42,9.231837,0,2.0
7,7,7,7,2018-05-28,10.42,10.42,10.42,10.42,9.231837,0,2.0
8,8,8,8,2018-06-04,10.42,10.5,10.42,10.5,9.302713,400,1.9923809523809526
9,9,9,9,2018-06-11,10.5,10.58,10.15,10.15,8.992624000000003,31900,2.0344827586206895
10,10,10,10,2018-06-18,10.15,10.31,10.0,10.0,8.859729,400,2.0149999999999997
11,11,11,11,2018-06-25,10.0,10.7,10.0,10.5,9.302713,900,1.9523809523809523
12,12,12,12,2018-07-02,10.5,10.5,10.15,10.45,9.258414,1700,2.0047846889952154
13,13,13,13,2018-07-09,10.45,10.54,10.45,10.54,9.338153,17000,1.99146110056926
14,14,14,14,2018-07-16,10.54,10.54,10.54,10.54,9.338153,0,2.0
15,15,15,15,2018-07-23,10.54,10.54,10.54,10.54,9.338153,0,2.0
16,16,16,16,2018-07-30,10.54,11.1,10.54,11.1,9.834299,2800,1.9495495495495496
17,17,17,17,2018-08-06,11.1,11.1,10.3,10.3,9.125521,3400,2.077669902912621
18,18,18,18,2018-08-13,10.3,10.3,10.3,10.3,9.125521,0,2.0
19,19,19,19,2018-08-20,10.3,10.4,10.3,10.4,9.214116,500,1.9903846153846156
20,20,20,20,2018-08-27,10.4,10.4,10.33,10.33,9.152098,300,2.006776379477251
21,21,21,21,2018-09-03,10.33,10.33,10.33,10.33,9.152098,0,2.0
22,22,22,22,2018-09-10,10.33,10.33,9.85,10.03,9.09317,1500,2.0299102691924227
23,23,23,23,2018-09-17,10.03,10.03,9.75,9.75,8.839322,100,2.028717948717949
24,24,24,24,2018-09-24,9.75,9.95,9.75,9.95,9.020643,6800,1.9798994974874373
25,25,25,25,2018-10-01,9.9,9.9,9.4,9.4,8.522014,9500,2.0585106382978724
26,26,26,26,2018-10-08,9.4,9.4,9.21,9.21,8.349761,700,2.0206297502714436
27,27,27,27,2018-10-15,9.3,9.38,9.0,9.0,8.159375,32200,2.0233333333333334
28,28,28,28,2018-10-22,9.0,9.0,9.0,9.0,8.159375,700,2.0
29,29,29,29,2018-10-29,9.0,9.0,9.0,9.0,8.159375,400,2.0
30,30,30,30,2018-11-05,9.0,9.75,9.0,9.7,8.793992999999999,14600,1.9278350515463918
31,31,31,31,2018-11-12,9.75,9.95,9.6,9.95,9.020643,39100,1.9748743718592965
32,32,32,32,2018-11-19,9.95,9.95,9.7,9.7,8.793992999999999,23300,2.0257731958762886
33,33,33,33,2018-11-26,9.7,9.86,9.57,9.86,8.939049,17500,1.9837728194726165
34,34,34,34,2018-12-03,9.86,9.86,9.86,9.86,8.939049,0,2.0
35,35,35,35,2018-12-10,9.86,9.86,9.56,9.6,8.703334,22400,2.0270833333333336
36,36,36,36,2018-12-17,9.5,9.5,9.0,9.0,8.159375,1541600,2.066666666666667
37,37,37,37,2018-12-24,9.0,9.3,8.75,9.3,8.431355,6200,1.967741935483871
38,38,38,38,2018-12-31,9.3,9.3,9.3,9.3,8.431355,122200,2.0
39,39,39,39,2019-01-07,9.51,9.51,9.44,9.51,8.621739999999999,74100,1.9779179810725556
40,40,40,40,2019-01-14,9.51,9.57,9.35,9.55,8.658002999999999,49000,1.9958115183246075
41,41,41,41,2019-01-21,9.55,9.69,9.55,9.69,8.784927,22700,1.9855521155830755
42,42,42,42,2019-01-28,9.69,9.69,9.69,9.69,8.784927,15400,2.0
43,43,43,43,2019-02-04,9.69,10.3,9.69,10.3,9.337952,15700,1.9407766990291262
44,44,44,44,2019-02-11,10.27,10.27,10.27,10.27,9.310754,20300,2.002921129503408
45,45,45,45,2019-02-18,10.27,10.27,10.27,10.27,9.310754,100,2.0
46,46,46,46,2019-02-25,10.7,10.7,10.7,10.7,9.700591,300,1.9598130841121495
47,47,47,47,2019-03-04,10.7,10.7,10.3,10.34,9.374214,1100,2.034816247582205
48,48,48,48,2019-03-11,10.34,10.49,10.34,10.47,9.683019,25500,1.9875835721107928
49,49,49,49,2019-03-18,10.47,10.8,10.47,10.8,9.988215,35200,1.9694444444444446
50,50,50,50,2019-03-25,10.78,10.8,10.75,10.75,9.941972,75800,2.0046511627906978
51,51,51,51,2019-04-01,11.03,11.08,10.83,10.83,10.015959,21400,1.992613111726685
52,52,52,52,2019-04-08,11.02,11.25,10.91,11.25,10.404389,119000,1.9626666666666666
53,53,53,53,2019-04-15,11.25,11.25,11.01,11.01,10.182428,44700,2.0217983651226157
54,54,54,54,2019-04-22,10.93,11.1,10.93,11.0,10.17318,46400,2.0009090909090905
55,55,55,55,2019-04-29,11.0,11.69,11.0,11.69,10.928551,204100,1.9409751924721983
