,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,9.75,10.22,9.52,9.93,9.93,197121200,0.0
1,1,1,1,2018-04-16,10.0,10.65,9.9,9.99,9.99,213538500,1.9939939939939941
2,2,2,2,2018-04-23,10.09,11.36,9.56,11.11,11.11,398173400,1.8991899189918995
3,3,3,3,2018-04-30,11.06,11.29,10.77,11.28,11.28,204513200,1.9849290780141846
4,4,4,4,2018-05-07,11.32,12.18,11.3,11.95,11.95,232434000,1.9439330543933053
5,5,5,5,2018-05-14,12.14,13.26,12.11,13.0,13.0,260566900,1.919230769230769
6,6,6,6,2018-05-21,13.25,13.72,12.71,13.54,13.54,229134800,1.9601181683899558
7,7,7,7,2018-05-28,13.45,14.4,13.26,14.4,14.4,216240500,1.9402777777777775
8,8,8,8,2018-06-04,14.76,15.97,14.31,15.25,15.25,409548500,1.944262295081967
9,9,9,9,2018-06-11,15.21,16.790001,15.01,16.34,16.34,428628300,1.9332925336597306
10,10,10,10,2018-06-18,16.18,17.34,15.46,15.8,15.8,428036400,2.034177215189873
11,11,11,11,2018-06-25,15.64,15.76,14.54,14.99,14.99,294890800,2.0540360240160105
12,12,12,12,2018-07-02,14.8,16.389999,14.74,16.360001,16.360001,181297800,1.9162591126980981
13,13,13,13,2018-07-09,16.73,16.84,16.02,16.27,16.27,222964800,2.0055317148125384
14,14,14,14,2018-07-16,16.42,17.0,16.41,16.5,16.5,232617900,1.9860606060606059
15,15,15,15,2018-07-23,16.469998999999998,19.879999,15.72,18.940001,18.940001,540312100,1.8711720764956663
16,16,16,16,2018-07-30,19.4,20.18,18.0,18.49,18.49,460821200,2.024337533802055
17,17,17,17,2018-08-06,18.889999,19.77,18.459999,19.059999,19.059999,320958200,1.9700944895117778
18,18,18,18,2018-08-13,19.16,20.280001,18.73,19.77,19.77,387312800,1.9640869499241276
19,19,19,19,2018-08-20,19.790001,24.0,19.35,23.98,23.98,458387200,1.8244370308590492
20,20,20,20,2018-08-27,24.940001,27.299999,24.01,25.17,25.17,852866500,1.9527214938418753
21,21,21,21,2018-09-03,25.620001,29.940001,25.57,27.379999,27.379999,717181900,1.9192841825889035
22,22,22,22,2018-09-10,28.15,34.139999,27.84,32.720001,32.720001,1041955800,1.8367970098778421
23,23,23,23,2018-09-17,31.75,33.369999,30.51,31.02,31.02,734280200,2.0548033849129594
24,24,24,24,2018-09-24,31.129999,33.599998,29.98,30.889999,30.889999,569638000,2.0042085142184694
25,25,25,25,2018-10-01,30.690001,31.91,26.540001,27.35,27.35,613996300,2.1294332358318098
26,26,26,26,2018-10-08,26.73,27.709999,24.549999,26.34,26.34,615007400,2.038344722854973
27,27,27,27,2018-10-15,26.379999,28.530001,23.6,23.66,23.66,462943000,2.113271344040575
28,28,28,28,2018-10-22,24.459999,25.639999,17.049999,17.629998999999994,17.629998999999994,659273700,2.3420307057306133
29,29,29,29,2018-10-29,18.209999,21.059999,16.17,20.23,20.23,564677200,1.8714779535343546
30,30,30,30,2018-11-05,20.120001,22.219999,18.879999,21.030001,21.030001,552416500,1.9619590602967638
31,31,31,31,2018-11-12,20.68,21.77,18.799999,20.66,20.66,488510600,2.017909051306873
32,32,32,32,2018-11-19,20.4,20.59,17.18,19.379999,19.379999,339644500,2.0660475266278393
33,33,33,33,2018-11-26,19.959999,21.879999,19.110001,21.299999,21.299999,499090800,1.9098591506976126
34,34,34,34,2018-12-03,22.48,23.75,19.17,19.459999,19.459999,476199500,2.094552933944138
35,35,35,35,2018-12-10,19.35,21.139999,19.27,19.9,19.9,439174500,1.977889396984925
36,36,36,36,2018-12-17,20.01,20.02,16.76,16.93,16.93,589235800,2.1754282339043116
37,37,37,37,2018-12-24,16.52,18.309999,16.030001000000002,17.82,17.82,392332300,1.9500561167227835
38,38,38,38,2018-12-31,18.15,19.07,16.940001000000002,19.0,19.0,401037100,1.9378947368421053
39,39,39,39,2019-01-07,19.440001,21.440001,18.9,20.27,20.27,593112300,1.9373458312777503
40,40,40,40,2019-01-14,19.959999,21.049999,19.02,20.77,20.77,378134700,1.9759268175252769
41,41,41,41,2019-01-21,20.48,22.030001,19.549999,21.93,21.93,363997900,1.9471044231646149
42,42,42,42,2019-01-28,20.32,25.139999,19.049999,24.51,24.51,765719600,1.894736842105263
43,43,43,43,2019-02-04,24.43,24.66,22.27,23.049999,23.049999,436607300,2.063340610123237
44,44,44,44,2019-02-11,23.049999,24.049999,22.59,23.68,23.68,328803600,1.9733952280405405
45,45,45,45,2019-02-18,23.629999,24.41,23.610001,24.360001,24.360001,216868400,1.9720853459735082
46,46,46,46,2019-02-25,25.01,25.52,23.110001,23.68,23.68,261809300,2.028716258445946
47,47,47,47,2019-03-04,23.889999,24.129999,21.040001,22.01,22.01,246243700,2.07587460245343
48,48,48,48,2019-03-11,22.15,24.15,21.98,23.290001,23.290001,256875100,1.9450407494615394
49,49,49,49,2019-03-18,23.299999,28.110001,23.040001,26.370001,26.370001,587009700,1.8832006111793473
50,50,50,50,2019-03-25,26.290001,26.99,24.549999,25.52,25.52,360947900,2.0333072492163007
51,51,51,51,2019-04-01,26.42,29.950001,25.83,28.98,28.98,461863400,1.880607315389924
52,52,52,52,2019-04-08,28.690001,28.950001,27.190001,27.85,27.85,283760400,2.0405745062836624
53,53,53,53,2019-04-15,27.799999,28.27,26.959999,27.68,27.68,176274300,2.00614161849711
54,54,54,54,2019-04-22,27.620001,28.860001,27.049999,27.879999,27.879999,236197100,1.992826434462928
55,55,55,55,2019-04-29,27.9,29.15,26.610001,28.219999,28.219999,409783400,1.9879518068019775
56,56,56,56,2019-05-06,26.719999,28.1,26.030001,27.959999,27.959999,368261400,2.009298998901967
57,57,57,57,2019-05-13,26.98,28.459999,26.1,27.5,27.5,370403700,2.016727236363636
58,58,58,58,2019-05-20,26.98,27.59,26.030001,26.440001,26.440001,263516900,2.0400907322204715
59,59,59,59,2019-05-27,27.27,29.67,27.059999,27.41,27.41,380876100,1.9646114921561473
60,60,60,60,2019-06-03,28.75,32.599998,27.290001,32.41,32.41,552672100,1.845726627584079
61,61,61,61,2019-06-10,33.529999,34.299999,30.02,30.360001,30.360001,370626800,2.0675230214913363
62,62,62,62,2019-06-17,30.25,31.360001,28.969999,29.1,29.1,374823600,2.043299003436426
63,63,63,63,2019-06-24,29.32,31.110001,28.67,30.370001,30.370001,280184100,1.9581823853084497
64,64,64,64,2019-07-01,31.790001,32.040001000000004,30.73,31.5,31.5,155721100,1.964127015873016
65,65,65,65,2019-07-08,31.799999,34.029999,30.1,33.209999,33.209999,286089100,1.948509513655812
66,66,66,66,2019-07-15,33.34,34.860001000000004,32.419998,32.509998,32.509998,278264400,2.0215318684424406
67,67,67,67,2019-07-22,32.799999,34.77,32.740002000000004,34.02,34.02,198470500,1.9556142857142857
68,68,68,68,2019-07-29,34.139999,34.18,28.940001,29.440001,29.440001,378600700,2.1555706129221943
69,69,69,69,2019-08-05,28.26,35.549999,27.65,34.189999,34.189999,493251800,1.8610705428800975
70,70,70,70,2019-08-12,34.16,34.650002,29.209999,31.18,31.18,478412400,2.096536209108403
71,71,71,71,2019-08-19,32.0,32.189999,29.4,29.540001,29.540001,288311400,2.0555179060420476
72,72,72,72,2019-08-26,30.34,31.870001,29.6,31.450001,31.450001,244407400,1.9392686823761947
73,73,73,73,2019-09-02,30.83,32.049999,30.48,30.559999,30.559999,194178100,2.029123103047222
74,74,74,74,2019-09-09,30.93,31.18,29.51,30.690001,30.690001,255026800,1.9957640275085036
75,75,75,75,2019-09-16,30.370001,31.32,29.65,30.049999,30.049999,255848100,2.021297904202925
76,76,76,76,2019-09-23,30.120001,30.799999,28.35,28.719999,28.719999,270401100,2.046309193812994
77,77,77,77,2019-09-30,28.889999,29.540001,27.43,29.01,29.01,208790000,1.9900034126163393
78,78,78,78,2019-10-07,28.9,30.200001,27.92,29.75,29.75,226181400,1.9751260504201682
79,79,79,79,2019-10-14,29.709999,31.41,29.379999,30.969999,30.969999,205444900,1.9606070700874094
80,80,80,80,2019-10-21,31.5,32.860001000000004,30.83,32.709999,32.709999,188127000,1.9468052567045324
81,81,81,81,2019-10-28,33.16,35.0,32.029999,34.889999,34.889999,340272700,1.937517911651416
82,82,82,82,2019-11-04,35.189999,37.18,34.759998,36.290001,36.290001,313571600,1.9614218252570457
83,83,83,83,2019-11-11,35.959999,39.369999,35.580002,38.560001,38.560001,298611900,1.9411307069208839
84,84,84,84,2019-11-18,38.650002,41.790001,38.189999,39.150002,39.150002,385245000,1.9849297325706394
85,85,85,85,2019-11-25,39.5,40.169998,38.810001,39.150002,39.150002,140612800,2.0
86,86,86,86,2019-12-02,39.32,40.220001,37.150002,39.630001,39.630001,198241400,1.987887989202927
87,87,87,87,2019-12-09,39.459999,42.950001,38.82,41.150002,41.150002,260165800,1.9630619459022138
88,88,88,88,2019-12-16,41.73,44.259998,41.73,44.150002,44.150002,256747900,1.9320498332027256
89,89,89,89,2019-12-23,44.580002,47.310001,44.389999,46.18,46.18,194462800,1.956041619748809
90,90,90,90,2019-12-30,46.139999,49.389999,44.66,48.599998,48.599998,226281400,1.950205800419992
91,91,91,91,2020-01-06,48.02,49.959999,47.139999,48.169998,48.169998,280409800,2.008926718244829
92,92,92,92,2020-01-13,48.66,51.049999,47.91,50.93,50.93,229651300,1.9458079324563127
93,93,93,93,2020-01-20,50.959999,52.810001,49.470001,50.349998,50.349998,210007500,2.0115194046283777
94,94,94,94,2020-01-27,48.450001,50.849998,46.099998,47.0,47.0,354354900,2.071276553191489
95,95,95,95,2020-02-03,46.400002,50.669998,46.23,49.73,49.73,237894400,1.9451035592197867
96,96,96,96,2020-02-10,49.470001,55.400002,49.349998,55.310001,55.310001,285691100,1.899114067996491
97,97,97,97,2020-02-17,54.939999,59.27,52.889999,53.279999,53.279999,291205000,2.0381006388532406
98,98,98,98,2020-02-24,48.18,51.240002,41.040001,45.48,45.48,468785800,2.1715039357959545
99,99,99,99,2020-03-02,47.419998,50.200001,44.66,48.59,48.59,560502400,1.9359950607120804
100,100,100,100,2020-03-09,43.029999,46.34,39.0,43.900002,43.900002,452840300,2.106833662558831
101,101,101,101,2020-03-16,39.080002,43.369999,36.75,39.610001,39.610001,480035600,2.108306005849381
102,102,102,102,2020-03-23,40.619999,47.98,38.950001,46.580002,46.580002,450538700,1.8503649484600706
103,103,103,103,2020-03-30,47.240002,48.529999,41.700001,42.59,42.59,402412500,2.0936840103310637
104,104,104,104,2020-04-06,44.299999,50.25,44.060001,48.380001,48.380001,329680900,1.8803224290962706
