,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,225.649994,227.75999500000003,219.339996,222.020004,214.702698,7902100,0.0
1,1,1,1,2018-04-16,223.839996,231.910004,222.339996,226.070007,218.619202,6781800,1.9820851821356382
2,2,2,2,2018-04-23,226.75999500000003,245.800003,223.179993,239.149994,231.268112,13872700,1.9453063461084596
3,3,3,3,2018-04-30,239.710007,241.330002,224.130005,233.179993,225.494858,7251800,2.0256025438683327
4,4,4,4,2018-05-07,233.149994,233.639999,219.960007,232.050003,224.402069,7528100,2.0048695970066417
5,5,5,5,2018-05-14,232.960007,234.690002,229.910004,231.869995,224.228043,5439400,2.0007763315818416
6,6,6,6,2018-05-21,232.619995,235.070007,229.050003,232.389999,224.730896,3945300,1.997762364980259
7,7,7,7,2018-05-28,230.059998,232.449997,220.800003,221.5,214.199814,5943400,2.0491647810383746
8,8,8,8,2018-06-04,222.559998,230.5,221.429993,228.300003,220.775726,6056500,1.9702146171237676
9,9,9,9,2018-06-11,228.110001,245.660004,226.229996,245.160004,237.862961,9593300,1.9312285824567046
10,10,10,10,2018-06-18,244.720001,246.820007,241.339996,244.820007,237.533081,6122000,2.001388763133235
11,11,11,11,2018-06-25,243.889999,245.449997,233.479996,238.02999900000003,230.94516,6212200,2.028525849802654
12,12,12,12,2018-07-02,237.970001,242.800003,235.380005,242.149994,234.942551,2773400,1.9829857728594453
13,13,13,13,2018-07-09,240.380005,252.410004,239.990005,250.50999500000003,243.053726,6259900,1.9666280740614759
14,14,14,14,2018-07-16,250.429993,250.429993,242.0,248.520004,241.122971,5317800,2.0080073674874077
15,15,15,15,2018-07-23,248.389999,251.179993,240.289993,249.479996,242.054352,6979600,1.996152028156999
16,16,16,16,2018-07-30,249.229996,258.589996,249.229996,257.950012,250.272263,5891800,1.9671641186044992
17,17,17,17,2018-08-06,257.140015,263.23999,256.929993,260.040009,252.300034,3570000,1.9919627867725542
18,18,18,18,2018-08-13,260.850006,268.040009,260.049988,263.950012,256.093658,4772200,1.9851865776766855
19,19,19,19,2018-08-20,263.950012,266.0,260.809998,265.380005,257.48111,3904500,1.9946115269686577
20,20,20,20,2018-08-27,266.380005,268.130005,263.179993,264.730011,256.850433,4075800,2.0024553090809185
21,21,21,21,2018-09-03,264.170013,273.140015,262.709991,271.899994,263.80703700000004,6535800,1.973630072974551
22,22,22,22,2018-09-10,267.730011,272.26001,260.799988,270.77999900000003,263.44979900000004,6387000,2.0041361806785436
23,23,23,23,2018-09-17,272.170013,276.0,268.98999,272.519989,265.142731,7136400,1.9936151839489469
24,24,24,24,2018-09-24,271.899994,274.690002,268.869995,274.049988,266.631317,4976700,1.9944170805802044
25,25,25,25,2018-10-01,274.76001,278.109985,273.220001,275.920013,268.450623,3994800,1.9932225829519656
26,26,26,26,2018-10-08,275.950012,280.429993,266.02999900000003,271.410004,264.062714,7097500,2.0166169593365466
27,27,27,27,2018-10-15,270.98999,283.059998,267.320007,279.149994,271.593201,5748900,1.972273006747763
