,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,103.970001,107.190002,103.510002,104.800003,99.263321,2641900,0.0
1,1,1,1,2018-04-16,105.529999,108.93,105.120003,107.120003,101.460747,3870100,1.9783420469097635
2,2,2,2,2018-04-23,107.25,108.82,101.669998,104.849998,99.310677,4301600,2.0216500242565574
3,3,3,3,2018-04-30,105.089996,107.059998,102.400002,105.730003,100.144188,3747700,1.991676865837221
4,4,4,4,2018-05-07,105.940002,109.0,104.669998,107.669998,101.981682,3248900,1.9819820280854838
5,5,5,5,2018-05-14,107.919998,109.660004,105.849998,109.099998,103.336151,3514900,1.9868927586964757
6,6,6,6,2018-05-21,109.510002,111.519997,107.040001,108.480003,102.748894,2956300,2.0057152929835373
7,7,7,7,2018-05-28,107.540001,107.730003,104.879997,106.339996,100.72197,2463900,2.0201241967321497
8,8,8,8,2018-06-04,106.550003,108.18,105.040001,108.029999,102.322678,3059600,1.9843561694377134
9,9,9,9,2018-06-11,108.269997,108.650002,104.940002,105.940002,100.835983,2842900,2.0197281193179513
10,10,10,10,2018-06-18,105.610001,105.839996,99.940002,100.25,95.420128,3494800,2.056758124688279
11,11,11,11,2018-06-25,100.019997,103.160004,99.660004,102.099998,97.180992,3679800,1.981880528538306
12,12,12,12,2018-07-02,101.519997,101.660004,99.760002,101.07,96.200615,2177500,2.0101909369743742
13,13,13,13,2018-07-09,101.5,103.709999,101.309998,103.660004,98.665855,2160800,1.9750144327603925
14,14,14,14,2018-07-16,103.650002,105.290001,102.510002,103.949997,98.941872,3402600,1.997210264469753
15,15,15,15,2018-07-23,103.900002,116.349998,102.720001,112.459999,107.041862,5276100,1.9243286317297583
16,16,16,16,2018-07-30,112.68,115.550003,111.129997,113.150002,107.698631,3294100,1.993901873726878
17,17,17,17,2018-08-06,112.760002,114.260002,109.629997,110.160004,104.852676,2280000,2.0271423192758777
18,18,18,18,2018-08-13,110.480003,110.589996,105.360001,106.949997,101.797318,2624200,2.030014091538497
19,19,19,19,2018-08-20,107.07,108.220001,104.589996,105.790001,100.693214,2259000,2.0109650816621127
20,20,20,20,2018-08-27,105.949997,107.739998,104.870003,105.18,100.11261,2001800,2.00579959117703
21,21,21,21,2018-09-03,104.559998,106.309998,102.900002,105.379997,100.302963,2098000,1.9981021350759764
22,22,22,22,2018-09-10,105.910004,109.400002,104.07,109.059998,104.321442,2316800,1.9662570963920247
23,23,23,23,2018-09-17,109.110001,113.32,108.720001,112.760002,107.860672,3130800,1.967186910833861
24,24,24,24,2018-09-24,112.760002,112.779999,107.559998,108.349998,103.642273,3030900,2.04070146821784
25,25,25,25,2018-10-01,108.900002,110.050003,106.5,106.660004,102.025711,2432800,2.01584468344854
26,26,26,26,2018-10-08,106.610001,107.129997,97.089996,98.019997,93.761108,3645400,2.0881453505859624
27,27,27,27,2018-10-15,98.07,100.529999,96.529999,97.580002,93.340233,2563800,2.0045090693890333
28,28,28,28,2018-10-22,97.870003,98.239998,86.059998,88.120003,84.29126,6673500,2.1073535937124284
29,29,29,29,2018-10-29,88.940002,94.029999,88.489998,92.419998,88.404427,4313300,1.9534733272770683
30,30,30,30,2018-11-05,92.559998,94.330002,91.410004,92.0,88.00267,6010400,2.004565195652174
31,31,31,31,2018-11-12,92.059998,94.25,90.220001,93.910004,89.829689,4682900,1.9796613361873567
32,32,32,32,2018-11-19,93.529999,93.739998,91.120003,92.589996,88.56703900000002,2556100,2.014256486197494
33,33,33,33,2018-11-26,93.209999,96.57,92.160004,96.400002,92.21151,4669500,1.9604771170025497
34,34,34,34,2018-12-03,97.970001,98.5,91.459999,91.970001,87.97397600000002,3831700,2.0481678911800816
