,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,624.919983,628.119995,603.97998,606.830017,606.830017,1443800,0.0
1,1,1,1,2018-04-16,609.950012,615.150024,590.76001,595.840027,595.840027,1750300,2.0184445312533525
2,2,2,2,2018-04-23,596.039978,650.950012,595.289978,628.669983,628.669983,1932900,1.9477787123804826
3,3,3,3,2018-04-30,629.72998,658.52002,616.150024,649.9400019999998,649.9400019999998,1631800,1.9672738730735952
4,4,4,4,2018-05-07,656.01001,664.6400150000002,637.159973,660.8599849999998,660.8599849999998,1398600,1.9834761019764269
5,5,5,5,2018-05-14,660.219971,669.51001,642.909973,652.6400150000002,652.6400150000002,1647100,2.012594952517583
6,6,6,6,2018-05-21,655.0,710.0,597.0,633.700012,633.700012,4196100,2.0298879637704665
7,7,7,7,2018-05-28,627.0,661.22998,622.429993,653.119995,653.119995,1541700,1.9702658268791786
8,8,8,8,2018-06-04,653.5,674.820007,652.580017,674.3900150000002,674.3900150000002,1375900,1.9684603574683706
9,9,9,9,2018-06-11,677.9400019999998,695.22998,674.75,693.369995,693.369995,1631600,1.972626476287022
10,10,10,10,2018-06-18,687.539978,698.400024,680.179993,685.97998,685.97998,1866700,2.0107729310117772
11,11,11,11,2018-06-25,679.919983,689.400024,663.700012,670.929993,670.929993,1300100,2.0224315310941834
12,12,12,12,2018-07-02,664.960022,684.580017,662.169983,681.8599849999998,681.8599849999998,750200,1.9839703278672383
13,13,13,13,2018-07-09,683.119995,694.369995,676.469971,686.969971,686.969971,1051600,1.9925615584149017
14,14,14,14,2018-07-16,686.900024,720.52002,680.400024,714.349976,714.349976,1234300,1.961671441282445
15,15,15,15,2018-07-23,713.369995,724.539978,693.150024,699.780029,699.780029,1185200,2.0208207528025923
16,16,16,16,2018-07-30,696.820007,723.200012,692.210022,721.380005,721.380005,1048400,1.9700574234795987
17,17,17,17,2018-08-06,719.570007,741.099976,715.619995,738.960022,738.960022,999000,1.9762097860823111
18,18,18,18,2018-08-13,739.5,767.960022,728.429993,765.340027,765.340027,1334100,1.9655316538148344
19,19,19,19,2018-08-20,768.01001,775.450012,756.650024,770.52002,770.52002,882000,1.9932772765592774
20,20,20,20,2018-08-27,773.080017,773.080017,757.51001,766.880005,766.880005,1022400,2.0047465248490863
21,21,21,21,2018-09-03,766.150024,784.0,763.469971,772.530029,772.530029,948500,1.9926863373747248
22,22,22,22,2018-09-10,777.280029,777.400024,746.789978,749.200012,749.200012,1741900,2.031139904733477
23,23,23,23,2018-09-17,747.710022,770.0,707.950012,769.869995,769.869995,2373400,1.9731513331676214
24,24,24,24,2018-09-24,770.6099849999997,788.299988,760.840027,775.700012,775.700012,1455100,1.9924841860128784
25,25,25,25,2018-10-01,776.47998,779.200012,755.630005,771.299988,771.299988,1210000,2.0057046856845018
26,26,26,26,2018-10-08,767.840027,794.679993,761.98999,774.960022,774.960022,1703300,1.995277131857003
27,27,27,27,2018-10-15,778.26001,792.099976,705.01001,725.799988,725.799988,2692500,2.067732205583889
28,28,28,28,2018-10-22,726.219971,753.76001,716.3599849999997,743.570007,743.570007,1810300,1.9761017539267152
29,29,29,29,2018-10-29,752.8099980000003,760.900024,731.169983,760.48999,760.48999,1422800,1.9777512087963183
30,30,30,30,2018-11-05,760.400024,802.219971,757.26001,793.869995,793.869995,1258000,1.9579528068698453
31,31,31,31,2018-11-12,795.049988,832.669983,790.070007,827.98999,827.98999,1745500,1.9587917783885285
32,32,32,32,2018-11-19,829.900024,839.3800050000001,793.0599980000003,827.530029,827.530029,1175600,2.0005558239385657
33,33,33,33,2018-11-26,835.400024,842.099976,804.570007,809.070007,809.070007,1932500,2.0228163469666227
34,34,34,34,2018-12-03,814.049988,894.3699949999999,807.0599980000003,870.159973,870.159973,2471300,1.9297945574428301
35,35,35,35,2018-12-10,874.070007,896.0300289999999,864.4400019999997,871.23999,871.23999,1613200,1.9987603679670398
36,36,36,36,2018-12-17,866.7100220000003,870.9799800000003,803.849976,826.039978,826.039978,2482400,2.0547189157956227
37,37,37,37,2018-12-24,826.0,856.0,817.72998,839.01001,839.01001,975500,1.9845412666769018
38,38,38,38,2018-12-31,844.1900019999997,856.7000119999999,825.700012,835.630005,835.630005,1337100,2.0040448583461288
39,39,39,39,2019-01-07,834.679993,835.630005,798.409973,822.880005,822.880005,1896900,2.0154943611735954
40,40,40,40,2019-01-14,823.02002,855.4500119999999,813.27002,844.320007,844.320007,1487100,1.9746067819994226
41,41,41,41,2019-01-21,843.98999,848.2800289999999,805.73999,814.6400150000003,814.6400150000003,1259800,2.0364332606470352
42,42,42,42,2019-01-28,812.090027,854.4699710000001,803.280029,849.909973,849.909973,1509900,1.95850153649156
43,43,43,43,2019-02-04,852.2999880000001,889.8800050000001,848.3900150000003,874.080017,874.080017,1357800,1.9723480190258142
44,44,44,44,2019-02-11,875.3800050000001,922.280029,871.330017,919.75,919.75,1603900,1.9503452209839631
45,45,45,45,2019-02-18,920.0,926.75,901.039978,911.659973,911.659973,1049000,2.0088739521747105
46,46,46,46,2019-02-25,913.400024,964.390015,886.9500119999999,929.320007,929.320007,2709900,1.9809968214748657
47,47,47,47,2019-03-04,934.409973,952.98999,916.849976,934.72998,934.72998,1583900,1.9942122611708677
48,48,48,48,2019-03-11,948.109985,962.460022,924.25,962.22998,962.22998,1573400,1.9714205537432954
49,49,49,49,2019-03-18,961.840027,1015.780029,961.840027,981.27002,981.27002,1649200,1.9805965334597708
50,50,50,50,2019-03-25,982.469971,1028.099976,982.469971,1024.119995,1024.119995,1292700,1.958159224300664
51,51,51,51,2019-04-01,1039.329956,1049.72998,1018.219971,1048.52002,1048.52002,1193400,1.9767290804805044
52,52,52,52,2019-04-08,1048.160034,1072.219971,1037.660034,1060.300049,1060.300049,1400500,1.9888899099730213
53,53,53,53,2019-04-15,1064.310059,1074.670044,1032.069946,1045.050049,1045.050049,1069500,2.0145926025405125
54,54,54,54,2019-04-22,1045.0,1060.76001,1023.080017,1033.550049,1033.550049,1398000,2.0111266987129715
55,55,55,55,2019-04-29,1032.780029,1048.939941,1015.460022,1033.380005,1033.380005,1139700,2.0001645512775332
56,56,56,56,2019-05-06,1023.98999,1038.98999,984.049988,1000.590027,1000.590027,1181300,2.032770642436155
57,57,57,57,2019-05-13,990.150024,993.530029,970.340027,984.090027,984.090027,1301500,2.0167667586778624
58,58,58,58,2019-05-20,984.380005,1055.97998,974.669983,1052.189941,1052.189941,2103700,1.9352779271627725
59,59,59,59,2019-05-27,1055.25,1081.579956,1010.01001,1027.109985,1027.109985,1582200,2.0244179847983856
60,60,60,60,2019-06-03,1027.119995,1111.109985,1027.119995,1099.140015,1099.140015,1640300,1.934466920486013
61,61,61,61,2019-06-10,1105.050049,1121.369995,1090.280029,1119.869995,1119.869995,1073700,1.9814889405979663
62,62,62,62,2019-06-17,1124.040039,1135.390015,1105.719971,1118.469971,1118.469971,1256100,2.0012517314155054
63,63,63,63,2019-06-24,1121.98999,1121.98999,1077.359985,1099.469971,1099.469971,1291800,2.017281054054363
64,64,64,64,2019-07-01,1109.0,1136.050049,1091.819946,1130.310059,1130.310059,613500,1.9727153733133327
65,65,65,65,2019-07-08,1131.790039,1166.900024,1129.579956,1164.709961,1164.709961,833500,1.9704648340343334
66,66,66,66,2019-07-15,1169.329956,1186.599976,1123.140015,1172.25,1172.25,1129600,1.993567891661335
67,67,67,67,2019-07-22,1172.47998,1179.300049,1142.109985,1146.180054,1146.180054,1065500,2.0227450703831567
68,68,68,68,2019-07-29,1143.140015,1150.97998,1086.829956,1096.119995,1096.119995,1216100,2.045670236131401
69,69,69,69,2019-08-05,1082.349976,1107.98999,1054.459961,1088.660034,1088.660034,1223700,2.0068524247855324
70,70,70,70,2019-08-12,1085.459961,1097.310059,1032.599976,1091.73999,1091.73999,1731900,1.9971788557456798
71,71,71,71,2019-08-19,1099.709961,1109.650024,1062.189941,1065.280029,1065.280029,1187500,2.024838502815864
72,72,72,72,2019-08-26,1072.099976,1124.48999,1059.920044,1101.689941,1101.689941,1349500,1.9669508537339
73,73,73,73,2019-09-02,1097.969971,1154.329956,1087.569946,1143.339966,1143.339966,786500,1.963571618032637
74,74,74,74,2019-09-09,1148.920044,1164.420044,1116.910034,1149.26001,1149.26001,1565600,1.9948488210252788
75,75,75,75,2019-09-16,1147.069946,1180.48999,1126.920044,1159.369995,1159.369995,1134900,1.9912797596594691
76,76,76,76,2019-09-23,1160.939941,1167.300049,1070.310059,1085.650024,1085.650024,1797000,2.067903992419568
77,77,77,77,2019-09-30,1084.390015,1093.420044,1039.73999,1060.329956,1060.329956,1103500,2.023879423434869
78,78,78,78,2019-10-07,1057.400024,1095.780029,1049.280029,1085.969971,1085.969971,799600,1.9763897569134534
79,79,79,79,2019-10-14,1083.640015,1116.98999,1074.920044,1110.0,1110.0,892700,1.9783513252252252
80,80,80,80,2019-10-21,1112.579956,1135.079956,1090.780029,1129.469971,1129.469971,960600,1.982761851576486
81,81,81,81,2019-10-28,1129.459961,1156.280029,1129.459961,1156.280029,1156.280029,834700,1.97681352498738
82,82,82,82,2019-11-04,1164.51001,1170.23999,1139.290039,1165.859985,1165.859985,827700,1.991782927518522
83,83,83,83,2019-11-11,1163.209961,1184.98999,1154.150024,1171.880005,1171.880005,864100,1.9948629382067151
84,84,84,84,2019-11-18,1172.01001,1188.02002,1152.01001,1163.869995,1163.869995,779600,2.006882220552477
85,85,85,85,2019-11-25,1167.25,1188.180054,1166.339966,1177.920044,1177.920044,691900,1.9880721539024937
86,86,86,86,2019-12-02,1181.540039,1181.780029,1144.569946,1172.660034,1172.660034,1146200,2.004485537024791
87,87,87,87,2019-12-09,1175.650024,1274.410034,1167.469971,1235.319946,1235.319946,1735100,1.9492763698968072
88,88,88,88,2019-12-16,1234.0,1235.920044,1212.469971,1226.73999,1226.73999,1338700,2.0069941112786256
89,89,89,89,2019-12-23,1225.420044,1226.73999,1200.22998,1202.589966,1202.589966,543300,2.0200816776147956
90,90,90,90,2019-12-30,1205.829956,1205.829956,1175.73999,1187.97998,1187.97998,795000,2.0122981752604954
91,91,91,91,2020-01-06,1167.01001,1177.73999,1130.540039,1132.219971,1132.219971,1187900,2.0492483885006476
92,92,92,92,2020-01-13,1128.97998,1155.469971,1115.469971,1154.579956,1154.579956,1245800,1.980633662585426
93,93,93,93,2020-01-20,1152.099976,1168.300049,1136.780029,1140.22998,1140.22998,1027900,2.012585159355308
94,94,94,94,2020-01-27,1123.219971,1127.660034,1056.109985,1057.959961,1057.959961,1238200,2.077762885206201
95,95,95,95,2020-02-03,1062.130005,1081.839966,1042.920044,1058.910034,1058.910034,1341900,1.9991027821349363
96,96,96,96,2020-02-10,1061.23999,1073.579956,1047.430054,1053.209961,1053.209961,986500,2.0054120956039836
97,97,97,97,2020-02-17,1075.0,1085.849976,1062.650024,1068.030029,1068.030029,841200,1.986123921989463
98,98,98,98,2020-02-24,1051.900024,1063.339966,977.059998,1032.51001,1032.51001,1857400,2.034401621927133
99,99,99,99,2020-03-02,1042.0,1082.300049,997.890015,1060.310059,1060.310059,2540800,1.9737812078985475
100,100,100,100,2020-03-09,1013.580017,1166.209961,939.640015,1012.72998,1012.72998,2494900,2.046981999091209
101,101,101,101,2020-03-16,910.0,945.150024,720.880005,728.130005,728.130005,2228700,2.390864231724663
102,102,102,102,2020-03-23,711.650024,895.419983,684.909973,851.6300050000001,851.6300050000001,1825600,1.8549839727640876
103,103,103,103,2020-03-30,834.900024,883.6400150000003,757.179993,790.5599980000003,790.5599980000003,1908600,2.077249047706054
104,104,104,104,2020-04-06,829.849976,963.719971,811.01001,940.830017,940.830017,1671700,1.8402793105186401
105,105,105,105,2020-04-13,940.0,1026.050049,906.380005,991.799988,991.799988,1509200,1.9486086190595922
106,106,106,106,2020-04-20,994.440002,1050.569946,972.929993,1047.040039,1047.040039,1064600,1.9472417014226522
107,107,107,107,2020-04-27,1054.76001,1082.310059,984.0,994.450012,994.450012,1196600,2.0528835299566572
108,108,108,108,2020-05-04,985.710022,1063.76001,982.299988,1057.900024,1057.900024,1201500,1.9400226764717416
109,109,109,109,2020-05-11,1051.390015,1083.060059,1023.059998,1074.97998,1074.97998,1373800,1.984111372939243
110,110,110,110,2020-05-18,1097.51001,1142.98999,1083.0,1122.939941,1122.939941,1347200,1.9572907158709747
111,111,111,111,2020-05-25,1167.569946,1178.189941,1110.01001,1147.859985,1147.859985,1475400,1.9782899967542644
