,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,1020.039978,1052.97998,1015.409973,1036.040039,1036.040039,8110300,0.0
1,1,1,1,2018-04-16,1045.550049,1097.51001,1033.920044,1077.319946,1077.319946,9890200,1.9616827784974473
2,2,2,2,2018-04-23,1082.97998,1088.0,1012.859985,1031.449951,1031.449951,17367100,2.0444713725135464
3,3,3,3,2018-04-30,1034.420044,1051.880005,1007.890015,1051.0,1051.0,9034500,1.9813986213130352
4,4,4,4,2018-05-07,1053.890015,1109.410034,1050.27002,1103.380005,1103.380005,8725400,1.9525276833342653
5,5,5,5,2018-05-14,1105.569946,1118.150024,1064.680054,1069.640015,1069.640015,8096200,2.0315433131958884
6,6,6,6,2018-05-21,1079.0,1093.300049,1066.959961,1084.079956,1084.079956,5698700,1.9866800037026051
7,7,7,7,2018-05-28,1076.0,1138.160034,1063.079956,1135.0,1135.0,10366600,1.9551365251101323
8,8,8,8,2018-06-04,1138.5,1161.099976,1123.22998,1132.709961,1132.709961,8802200,2.002021734670699
9,9,9,9,2018-06-11,1132.939941,1165.98999,1131.400024,1159.27002,1159.27002,8252500,1.9770889796667044
10,10,10,10,2018-06-18,1152.689941,1201.48999,1151.0,1169.290039,1169.290039,10559600,1.9914306812973714
11,11,11,11,2018-06-25,1155.0,1155.98999,1106.069946,1129.189941,1129.189941,9409800,2.0355122699414836
12,12,12,12,2018-07-02,1115.349976,1156.199951,1106.599976,1155.079956,1155.079956,4503900,1.9775859542315528
13,13,13,13,2018-07-09,1160.0,1210.439941,1155.369995,1204.420044,1204.420044,7646500,1.9590341523741697
14,14,14,14,2018-07-16,1203.810059,1221.589966,1182.0,1197.880005,1197.880005,9108500,2.0054596779082225
15,15,15,15,2018-07-23,1195.660034,1291.439941,1192.01001,1252.890015,1252.890015,16359900,1.9560935043448326
16,16,16,16,2018-07-30,1245.050049,1252.890015,1216.189941,1238.160034,1238.160034,8812000,2.011896669732113
17,17,17,17,2018-08-06,1241.609985,1271.959961,1230.530029,1252.51001,1252.51001,7644600,1.9885430248976612
18,18,18,18,2018-08-13,1251.199951,1265.969971,1204.0,1215.849976,1215.849976,7895000,2.030151774251464
19,19,19,19,2018-08-20,1220.660034,1237.400024,1208.699951,1236.75,1236.75,5835800,1.9831008498079643
20,20,20,20,2018-08-27,1244.140015,1269.48999,1225.75,1231.800049,1231.800049,8262400,2.004018469559259
21,21,21,21,2018-09-03,1222.52002,1227.869995,1163.609985,1177.589966,1177.589966,8747900,2.046034769796943
22,22,22,22,2018-09-10,1184.199951,1190.939941,1165.949951,1177.97998,1177.97998,7844200,1.9996689128791476
23,23,23,23,2018-09-17,1177.77002,1196.579956,1158.459961,1172.119995,1172.119995,10641900,2.004999475331022
24,24,24,24,2018-09-24,1159.410034,1216.859985,1151.5,1207.079956,1207.079956,8691900,1.9710375764039278
25,25,25,25,2018-10-01,1213.0,1224.52002,1154.319946,1167.829956,1167.829956,8900900,2.033609345092018
26,26,26,26,2018-10-08,1160.0,1175.859985,1075.890015,1120.540039,1120.540039,12796300,2.0422027909348093
27,27,27,27,2018-10-15,1118.0,1147.0,1086.339966,1105.180054,1105.180054,9577100,2.0138981742788493
28,28,28,28,2018-10-22,1112.51001,1121.689941,1042.22998,1083.75,1083.75,14674100,2.0197739829296424
29,29,29,29,2018-10-29,1096.540039,1108.829956,1007.200012,1071.48999,1071.48999,14777200,2.0114420200976397
30,30,30,30,2018-11-05,1072.530029,1109.930054,1034.0,1077.02002,1077.02002,9298000,1.9948654343491221
31,31,31,31,2018-11-12,1073.130005,1078.869995,1040.349976,1068.27002,1068.27002,8568400,2.0081908130305854
32,32,32,32,2018-11-19,1063.390015,1068.0,1002.210022,1030.099976,1030.099976,7200900,2.0370546984655014
33,33,33,33,2018-11-26,1044.0,1109.650024,1039.77002,1109.650024,1109.650024,10066000,1.928310686901765
34,34,34,34,2018-12-03,1132.160034,1135.0,1039.369995,1046.579956,1046.579956,9664000,2.0602630192164697
35,35,35,35,2018-12-10,1042.939941,1091.72998,1033.0,1051.709961,1051.709961,7890400,1.9951222245768956
36,36,36,36,2018-12-17,1047.01001,1075.709961,981.190002,991.25,991.25,15508300,2.060993655485498
37,37,37,37,2018-12-24,984.320007,1064.22998,977.659973,1046.680054,1046.680054,8153600,1.9470420270376148
38,38,38,38,2018-12-31,1057.829956,1080.0,1022.369995,1078.069946,1078.069946,7648000,1.9708832510205232
39,39,39,39,2019-01-07,1080.969971,1093.349976,1056.430054,1064.469971,1064.469971,8366000,2.012776288078116
40,40,40,40,2019-01-14,1053.339966,1118.0,1048.550049,1107.300049,1107.300049,8703800,1.9613202599975683
