,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,213.75,218.710007,212.399994,215.520004,196.97049,11190700,0.0
1,1,1,1,2018-04-16,217.199997,221.690002,216.589996,217.75,199.00853,9600700,1.9897589161882892
2,2,2,2,2018-04-23,218.020004,218.729996,194.399994,196.119995,179.240189,27876600,2.110289646907242
3,3,3,3,2018-04-30,196.960007,199.929993,191.440002,199.360001,182.201324,19234400,1.983747963564667
4,4,4,4,2018-05-07,200.059998,205.679993,199.559998,205.160004,187.502136,15354700,1.971729367874257
5,5,5,5,2018-05-14,205.669998,206.039993,198.449997,198.960007,181.83577,13750100,2.031162026446853
6,6,6,6,2018-05-21,200.5,202.929993,196.559998,199.029999,183.143814,10919600,1.9996483344201794
7,7,7,7,2018-05-28,198.0,200.419998,195.100006,199.589996,183.659119,11570000,1.9971942631834112
8,8,8,8,2018-06-04,200.729996,206.75,200.070007,206.589996,190.100403,11401200,1.9661164619026374
9,9,9,9,2018-06-11,206.589996,206.789993,200.110001,204.970001,188.60968,13877900,2.0079035712157705
10,10,10,10,2018-06-18,202.529999,204.570007,194.589996,196.5,180.815765,13108400,2.0431043307888044
11,11,11,11,2018-06-25,195.979996,199.899994,193.639999,196.720001,181.018188,12602700,1.9988816541333794
12,12,12,12,2018-07-02,195.460007,198.949997,193.509995,197.460007,181.699142,6688200,1.9962523752974444
13,13,13,13,2018-07-09,198.139999,202.580002,197.399994,201.179993,185.122192,8867800,1.9815091652776824
14,14,14,14,2018-07-16,201.550003,203.169998,198.25,201.949997,185.830765,10275400,1.9961871551798043
15,15,15,15,2018-07-23,201.539993,210.600006,190.570007,207.419998,190.864151,19897100,1.9736283817725233
16,16,16,16,2018-07-30,208.25,212.77999900000003,203.850006,207.289993,190.744522,10679800,2.000627164862705
17,17,17,17,2018-08-06,207.449997,209.610001,201.0,201.960007,185.839951,7136300,2.0263912943912703
18,18,18,18,2018-08-13,202.020004,204.990005,197.110001,204.770004,188.425659,8574200,1.986277301630565
19,19,19,19,2018-08-20,205.720001,206.039993,201.460007,205.289993,188.90416,8306600,1.9974670514017698
20,20,20,20,2018-08-27,206.179993,211.720001,205.850006,210.919998,195.385696,10208500,1.9733073911749233
21,21,21,21,2018-09-03,210.550003,213.369995,207.350006,212.570007,196.914185,9162700,1.9922378089774442
22,22,22,22,2018-09-10,213.679993,216.369995,205.899994,207.880005,192.569595,13197100,2.0225611020165215
23,23,23,23,2018-09-17,207.460007,217.869995,207.300003,216.330002,200.397247,12786600,1.9609393199192038
24,24,24,24,2018-09-24,215.389999,215.869995,208.869995,210.710007,195.191162,9923100,2.026671704301163
25,25,25,25,2018-10-01,212.399994,217.339996,211.059998,213.190002,197.488495,9540200,1.988367207764274
26,26,26,26,2018-10-08,213.130005,214.580002,195.929993,198.229996,183.630295,14434600,2.075467922624586
27,27,27,27,2018-10-15,197.820007,203.770004,197.419998,199.850006,185.130997,11083200,1.9918938706461686
28,28,28,28,2018-10-22,201.25,203.399994,181.979996,184.949997,171.3284,23603800,2.080562364107527
29,29,29,29,2018-10-29,187.850006,194.470001,183.160004,192.809998,178.609497,13944700,1.959234473930133
30,30,30,30,2018-11-05,193.5,204.270004,192.210007,201.100006,186.28894,12194400,1.9587766894447531
31,31,31,31,2018-11-12,200.570007,209.770004,196.240005,209.0,193.607101,13514400,1.962200985645933
32,32,32,32,2018-11-19,207.830002,208.050003,196.789993,196.800003,182.305634,8730200,2.0619918537297988
33,33,33,33,2018-11-26,198.570007,207.919998,196.779999,207.919998,193.921951,11326100,1.9465179150299916
34,34,34,34,2018-12-03,211.210007,211.949997,197.009995,198.240005,184.893661,10438400,2.04882966482976
35,35,35,35,2018-12-10,198.360001,202.619995,193.639999,196.100006,182.897736,10033100,2.010912794158711
36,36,36,36,2018-12-17,195.839996,198.25,183.639999,183.75,171.37918100000005,18758800,2.0672109170068027
37,37,37,37,2018-12-24,181.889999,192.300003,176.869995,189.369995,176.62081899999995,10295400,1.9703226744025633
38,38,38,38,2018-12-31,190.339996,191.979996,182.889999,191.320007,178.43954499999995,10632900,1.9898075897519698
39,39,39,39,2019-01-07,191.360001,194.110001,188.660004,192.210007,179.269638,11104800,1.9953696479497034
40,40,40,40,2019-01-14,190.639999,196.399994,187.860001,195.860001,182.673904,11869300,1.9813642704923708
41,41,41,41,2019-01-21,194.220001,197.160004,190.279999,195.899994,182.711197,8265400,1.9997958499171777
42,42,42,42,2019-01-28,193.139999,201.770004,191.070007,199.160004,185.751724,15213600,1.983631201373143
43,43,43,43,2019-02-04,199.009995,203.080002,196.25,199.820007,186.367279,9084100,1.9966970124267887
