,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,0,0,0,2018-04-09,63.889999,64.699997,63.18,63.950001,52.588371,28577300,0.0
1,1,1,1,2018-04-16,64.18,64.57,56.09,57.23,47.062271,64488400,2.117420950550411
2,2,2,2,2018-04-23,57.049999,57.43,54.23,56.130001,46.157707,65621500,2.0195973450989246
3,3,3,3,2018-04-30,56.75,56.790001,55.419998,56.259998,46.26461,40754600,1.9976893529217685
4,4,4,4,2018-05-07,56.259998,56.599998,54.73,55.189999,45.384712,34822900,2.0193875524440577
5,5,5,5,2018-05-14,55.209999,55.880001,53.91,55.540001,45.672531,48725200,1.993698199609323
6,6,6,6,2018-05-21,55.619999,56.150002,55.139999,55.630001,45.74654,33128000,1.9983821679241027
7,7,7,7,2018-05-28,55.259998,56.700001,55.09,55.720001,45.820553,30332100,1.9983847810770856
8,8,8,8,2018-06-04,55.700001,57.720001,55.52,57.709999,47.456993,36972300,1.9655172754378318
9,9,9,9,2018-06-11,57.779999,58.459999,56.400002,57.790001,47.522789,41647400,1.9986156428687378
10,10,10,10,2018-06-18,57.380001,57.389999,56.139999,57.02,47.468159,40950700,2.0135040512101017
11,11,11,11,2018-06-25,56.799999,57.450001,55.650002,56.790001,47.276695,34444500,2.004049991124318
12,12,12,12,2018-07-02,56.400002,58.560001,55.450001,58.290001,48.525417,26893900,1.9742665984857335
13,13,13,13,2018-07-09,58.290001,58.98,57.630001,58.5,48.700237,36003900,1.9964102735042732
14,14,14,14,2018-07-16,58.34,58.43,55.18,57.639999,47.984303,35845500,2.014920211917422
15,15,15,15,2018-07-23,57.57,58.439999,55.779999,57.900002,48.200748,43131800,1.9955094474780848
16,16,16,16,2018-07-30,57.73,59.990002,57.73,59.73,49.72419,38978300,1.9693621630671354
17,17,17,17,2018-08-06,59.639999,60.25,58.490002,59.049999,49.1581,26832900,2.011515681820757
18,18,18,18,2018-08-13,59.040001,61.32,58.709999,61.0,50.781445,29490300,1.9680327704918033
19,19,19,19,2018-08-20,61.0,61.310001,58.549999,58.779999,48.933334,29298700,2.037767965936849
20,20,20,20,2018-08-27,58.810001,59.310001,58.299999,58.52,48.716888,23869600,2.004442908407382
21,21,21,21,2018-09-03,58.639999,61.060001,58.450001,60.93,50.723171,24735000,1.9604464139176103
22,22,22,22,2018-09-10,61.02,64.040001,59.119999,62.07,51.672199,47345700,1.9816336394393426
23,23,23,23,2018-09-17,62.07,62.810001,61.349998,62.549999,52.736935,31792700,1.992326154953256
24,24,24,24,2018-09-24,62.060001,62.490002,60.27,60.310001,50.848351,33870200,2.037141402136604
25,25,25,25,2018-10-01,60.34,62.23,59.599998,62.07,52.332233,35985600,1.971644933140003
26,26,26,26,2018-10-08,62.349998,64.5,59.5,60.060001,50.637566,44892500,2.0334665162592986
27,27,27,27,2018-10-15,60.189999,62.290001,60.07,61.950001,52.23106,32521700,1.969491525916198
28,28,28,28,2018-10-22,61.950001,64.139999,60.880001,63.09,53.192211,34390200,1.9819305912188936
29,29,29,29,2018-10-29,63.389999,66.0,62.779999,63.669998,53.681221,50090800,1.9908905604174827
30,30,30,30,2018-11-05,63.869999,66.040001,62.669998,63.419998,53.47044,39640400,2.003941974264963
31,31,31,31,2018-11-12,61.299999,62.950001,56.209999,56.779999,47.872143,62952000,2.1169425698651385
32,32,32,32,2018-11-19,56.939999,57.169998,53.439999,53.720001,45.29221,34149300,2.056961987026024
33,33,33,33,2018-11-26,53.619999,56.279999,52.900002,54.830002,46.228069,61159000,1.9797555907439144
34,34,34,34,2018-12-03,54.700001,56.23,53.189999,54.18,45.680042,46558300,2.0119970837947583
35,35,35,35,2018-12-10,54.41,54.889999,52.450001,52.73,44.457523,46513000,2.0274985776597765
36,36,36,36,2018-12-17,52.700001,53.450001,48.630001,49.09,41.38858,102818600,2.074149521287431
37,37,37,37,2018-12-24,47.759998,49.57,46.490002,48.889999,41.219955,49381300,2.0040908366555703
38,38,38,38,2018-12-31,49.07,50.310001,47.950001,50.299999,43.11132,39438300,1.9719681902975783
39,39,39,39,2019-01-07,49.68,50.049999,48.529999,48.900002,41.911404,59112600,2.0286297943300697
40,40,40,40,2019-01-14,48.959999,48.970001,46.66,48.310001,41.405724,62167900,2.0122128128293766
41,41,41,41,2019-01-21,47.360001,47.490002,42.400002,44.240002,37.917397,80999400,2.0919981649187087
42,42,42,42,2019-01-28,44.580002,49.669998,43.970001,49.200001,42.16853,97161300,1.8991870142441662
43,43,43,43,2019-02-04,48.900002,49.389999,47.830002,48.84,41.85997800000001,55850500,2.0073710278460277
44,44,44,44,2019-02-11,48.919998,49.84,48.34,48.740002,41.774269,42386900,2.0020516617951722
45,45,45,45,2019-02-18,48.82,51.540001,48.360001,51.5,44.13982,38366500,1.9464078058252428
46,46,46,46,2019-02-25,52.049999,52.939999,51.509998,52.75,45.211174,54461800,1.9763033175355451
