Company,Value
AMT,-0.06049500999319424
AEP,-0.033512546968739176
AEE,-0.027486675500526303
AES,-0.027138692764468786
AAL,-0.025629721700269226
AWK,-0.022661649305926623
LNT,-0.022304710141530792
ARE,-0.01460448911808343
AON,-0.013378768121651508
ANTM,-0.012678833841387016
AIG,-0.00486984894162279
ALLE,-0.004277453249310836
AXP,-0.00299321956671883
ATVI,-0.0024031273647120432
ALL,-0.0023946992205921003
AMP,0.0048329164690104065
ABT,0.005966392983412838
AME,0.0063860441801992796
GOOGL,0.006480486104972094
AFL,0.007456713909174573
AMGN,0.008313157800810211
GOOG,0.008638192461975835
MO,0.00876292957164071
APD,0.010379106356937617
ADI,0.01216699040473479
