Company,Value
AAL,-0.25099182200000003
ALXN,-0.15384668499999998
APTV,-0.15301740399999986
AMAT,-0.14363635399999986
AAPL,-0.1123038209999998
ALL,-0.09316692499999979
ABBV,-0.091874974
ABMD,-0.08630304700000013
AJG,-0.08241098200000008
AES,-0.08099572100000008
ATVI,-0.07310994900000001
ADI,-0.07168869399999989
ARE,-0.07139676599999989
ALGN,-0.06956563300000007
ALB,-0.069177547
ADBE,-0.06572510599999992
AFL,-0.05956286800000021
AON,-0.049881931000000046
ANET,-0.04535282500000015
AKAM,-0.043456012000000044
AOS,-0.039092273000000066
AMP,-0.03783985599999995
AME,-0.031983732000000265
AMCR,-0.02976413
AXP,-0.022249146000000053
