Company,Value
MO,-0.11742095055041091
AMAT,-0.0974750440399288
ALGN,-0.05929491069306536
AAPL,-0.05436879073135392
AVB,-0.03518371465107606
ADI,-0.033645242120204255
ALXN,-0.03340135492114804
AAP,-0.027467221906954276
AZO,-0.018444531253352547
AMT,-0.016688618675472888
T,-0.01355641843417521
ARE,-0.006183017159529847
APH,-0.004694308234882261
AKAM,-0.001823239754982886
AMGN,0.0004663208261403984
ALLE,0.002241911504424765
A,0.005033367652107934
ADBE,0.005238887292690508
AMD,0.006006006006006093
ATVI,0.006334931840048075
ADM,0.006593384615384501
ADSK,0.007072011901668507
ABBV,0.00831529175626966
AMCR,0.00921658986175089
APTV,0.00926886824861195
