Company,Value
AMD,0.05141448530374104
ABMD,0.039631889665889375
AMZN,0.029865232542885423
ALXN,0.024878667236904572
AKAM,0.024765483959044765
ALB,0.02402040344121459
ANSS,0.01853821537496958
ADBE,0.018533408153382558
ALK,0.0179760181766917
AAP,0.016914576836309037
ALGN,0.01683477118372756
AMCR,0.016055798146647593
ABBV,0.015994297536426005
ABC,0.015661033063586904
MMM,0.01532801514452431
APH,0.013855780150666241
A,0.012475183234431642
ADI,0.01216699040473479
APD,0.010379106356937617
MO,0.00876292957164071
GOOG,0.008638192461975835
AMGN,0.008313157800810211
AFL,0.007456713909174573
GOOGL,0.006480486104972094
AME,0.0063860441801992796
