Company,Value
ALK,
AMD,0.09441483100000014
ABC,0.09143275699999998
AMT,0.07025788100000008
APA,0.052771214000000066
AIZ,0.04585887099999986
LNT,0.04203117200000017
ANTM,0.03997637499999995
AEP,0.038227416000000014
ADM,0.03334383800000018
GOOG,0.032539182000000055
GOOGL,0.026854542000000148
AWK,0.02564922199999997
AEE,0.02369321000000002
AIG,0.01965751200000021
AMZN,0.013994700000000027
APH,0.0028302409999998446
ACN,0.0015863330000001064
ANSS,-0.005418479999999892
AMGN,-0.007348271999999989
ALLE,-0.008084785000000094
MO,-0.010047383999999937
AAP,-0.01010781999999999
APD,-0.011145809999999923
MMM,-0.014378046999999672
