Company,Value
AXP,0.07699178413541241
AMZN,0.0633064384271349
ANET,0.06311144208198205
ANSS,0.04151912957332482
GOOG,0.04071907861247759
GOOGL,0.038317221502552457
ABC,0.033937942563549095
AWK,0.033584284297460965
AIG,0.03319502074688807
ABMD,0.030007919096159297
AES,0.024096385542168308
ALB,0.023017902813299296
AOS,0.022674981890990376
ALK,0.02202168560975193
AJG,0.021723652683669492
AVY,0.021657953090236326
AIZ,0.02034045518293759
APA,0.02002417322016492
APD,0.019847253988157565
ALL,0.01983518502360271
AAL,0.019452758004548043
ANTM,0.017914817864361554
AEP,0.016359962260589667
AFL,0.015901016252230837
ACN,0.014959641363174292
