,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
0,2017-05-10,10.46,10.85,10.45,10.79,10.79,65995900,0.0
1,2017-05-11,10.74,11.26,10.51,11.07,11.07,72946500,1.974706413730804
2,2017-05-12,11.2,11.4,11.08,11.26,11.26,56072600,1.9831261101243338
3,2017-05-15,11.41,11.6,11.3,11.42,11.42,52565000,1.9859894921190893
4,2017-05-16,11.66,12.77,11.63,12.75,12.75,164186900,1.895686274509804
5,2017-05-17,11.81,12.29,11.16,11.2,11.2,160109500,2.138392857142857
6,2017-05-18,10.99,11.49,10.81,11.28,11.28,86900100,1.9929078014184396
7,2017-05-19,11.47,11.62,11.35,11.41,11.41,50319700,1.9886064855390007
8,2017-05-22,11.49,11.55,10.77,11.04,11.04,78696400,2.033514492753623
9,2017-05-23,10.97,11.06,10.62,10.89,10.89,49799600,2.0137741046831956
10,2017-05-24,11.05,11.06,10.71,10.89,10.89,42903900,2.0
11,2017-05-25,11.01,11.01,10.8,10.98,10.98,33584300,1.9918032786885247
12,2017-05-26,10.85,11.02,10.74,11.0,11.0,31907600,1.9981818181818183
13,2017-05-30,10.95,11.27,10.9,11.12,11.12,35339000,1.989208633093525
14,2017-05-31,11.29,11.49,11.1,11.19,11.19,42929000,1.9937444146559429
15,2017-06-01,11.25,11.29,10.81,10.93,10.93,48002000,2.023787740164684
16,2017-06-02,10.93,10.96,10.57,10.9,10.9,43056200,2.0027522935779816
17,2017-06-05,10.84,11.34,10.8,11.24,11.24,66207300,1.9697508896797153
18,2017-06-06,11.27,12.24,11.24,12.03,12.03,114998600,1.9343308395677474
19,2017-06-07,12.42,12.96,12.23,12.38,12.38,151005900,1.9717285945072698
20,2017-06-08,12.81,12.91,12.4,12.9,12.9,89515100,1.9596899224806201
21,2017-06-09,13.1,13.4,11.63,12.28,12.28,167454400,2.0504885993485344
22,2017-06-12,11.75,12.35,11.27,12.09,12.09,125781800,2.0157154673283704
23,2017-06-13,12.33,12.48,11.67,11.96,11.96,87302300,2.010869565217391
24,2017-06-14,11.91,12.05,11.65,11.77,11.77,51909400,2.016142735768904
25,2017-06-15,11.34,11.58,11.21,11.5,11.5,61666000,2.0234782608695654
26,2017-06-16,11.66,11.83,11.28,11.44,11.44,59779500,2.005244755244755
27,2017-06-19,11.63,12.12,11.62,11.93,11.93,61803600,1.958927074601844
28,2017-06-20,12.19,12.93,12.18,12.64,12.64,118001500,1.9438291139240507
29,2017-06-21,13.36,14.01,13.13,13.98,13.98,188796100,1.90414878397711
30,2017-06-22,14.1,14.5,13.56,14.38,14.38,149594200,1.972183588317107
31,2017-06-23,14.15,14.67,13.9,14.17,14.17,200777300,2.0148200423429783
32,2017-06-26,14.39,14.49,13.84,14.08,14.08,101012500,2.0063920454545454
33,2017-06-27,13.76,14.04,13.37,13.4,13.4,89319700,2.0507462686567166
34,2017-06-28,13.65,13.7,13.09,13.23,13.23,85266900,2.0128495842781557
35,2017-06-29,13.06,13.15,12.45,12.6,12.6,87634400,2.05
36,2017-06-30,12.57,12.83,12.36,12.48,12.48,59267400,2.0096153846153846
37,2017-07-03,12.57,12.73,12.13,12.15,12.15,39929100,2.027160493827161
38,2017-07-05,12.36,13.21,12.32,13.19,13.19,99450200,1.9211523881728583
