,x,,,
1,13.41303924,,AVERAGE,9.448950298
2,5.088946832,,MAXIMUM,17.67896044
3,8.347813577,,VARIANCE,4.059697231
4,9.99456432,,QUARTILE,8.128185509
5,12.89742538,,,
6,8.094352958,,,
7,10.10889881,,,
8,11.57661807,,,
9,9.452290081,,,
10,4.82466658,,,
11,8.354740946,,,
12,8.279258009,,,
13,10.05385388,,,
14,6.949380539,,,
15,11.92607608,,,
16,9.175010925,,,
17,6.337551968,,,
18,11.66342385,,,
19,9.727583737,,,
20,9.746658119,,,
21,8.891602853,,,
22,5.594016436,,,
23,10.15571639,,,
24,10.62162996,,,
25,8.658007237,,,
26,4.75102168,,,
27,6.861953845,,,
28,11.88168527,,,
29,5.851469064,,,
30,13.35074331,,,
31,9.832176237,,,
32,8.84242483,,,
33,7.932945035,,,
34,6.191760407,,,
35,9.79279621,,,
36,8.712356262,,,
37,10.29220273,,,
38,9.305108646,,,
39,12.0401563,,,
40,10.38355531,,,
41,6.113670816,,,
42,7.028766488,,,
43,6.18078922,,,
44,9.394359477,,,
45,5.949430619,,,
46,7.510391529,,,
47,11.21487585,,,
48,14.41969728,,,
49,10.90040833,,,
50,10.38622475,,,
51,7.966773932,,,
52,9.895016516,,,
53,9.158199979,,,
54,7.587510181,,,
55,8.419443745,,,
56,8.655398815,,,
57,9.758818797,,,
58,10.06429835,,,
59,9.764252069,,,
60,5.897239799,,,
61,9.307419964,,,
62,11.97239096,,,
63,8.051119171,,,
64,9.803719066,,,
65,7.486889093,,,
66,5.470020702,,,
67,10.97128857,,,
68,9.342010073,,,
69,12.16951552,,,
70,7.376985828,,,
71,10.30667467,,,
72,6.961815209,,,
73,11.81121804,,,
74,7.392784236,,,
75,9.749516662,,,
76,9.378932398,,,
77,9.559508033,,,
78,10.48827267,,,
79,10.38195853,,,
80,11.92782217,,,
81,9.183585184,,,
82,7.804426765,,,
83,9.159447355,,,
84,9.486649914,,,
85,9.519863825,,,
86,8.572125104,,,
87,11.27741861,,,
88,10.17653523,,,
89,7.050019538,,,
90,8.851849359,,,
91,9.340259175,,,
92,9.420096436,,,
93,6.377731773,,,
94,9.468649301,,,
95,8.178502741,,,
96,7.700128595,,,
97,4.122542191,,,
98,10.72551516,,,
99,9.356363468,,,
100,9.397528872,,,
101,8.833701412,,,
102,9.856113745,,,
103,10.33027575,,,
104,9.365487142,,,
105,7.552596389,,,
106,8.637856745,,,
107,9.09897444,,,
108,10.12044094,,,
109,8.45681316,,,
110,6.057543925,,,
111,6.902923917,,,
112,7.831010633,,,
113,9.048169173,,,
114,9.7284062,,,
115,9.833622579,,,
116,9.959001775,,,
117,11.59665897,,,
118,9.938162683,,,
119,8.657195445,,,
120,7.751082664,,,
121,8.74881188,,,
122,9.566400703,,,
123,9.060737639,,,
124,12.33044134,,,
125,8.379965657,,,
126,14.38240949,,,
127,11.8003316,,,
128,10.50019334,,,
129,9.542190262,,,
130,7.511262375,,,
131,12.93926864,,,
132,14.01977885,,,
133,13.31494499,,,
134,5.967495575,,,
135,7.930600061,,,
136,9.390338463,,,
137,8.755317503,,,
138,10.49623299,,,
139,11.39045842,,,
140,8.325773334,,,
141,8.966774995,,,
142,6.113349727,,,
143,11.9626345,,,
144,8.057488819,,,
145,7.940902212,,,
146,9.729641027,,,
147,11.48878086,,,
148,10.68740186,,,
149,8.261955263,,,
150,7.329452641,,,
151,10.18289796,,,
152,7.238966357,,,
153,6.65902037,,,
154,10.37545218,,,
155,9.498680856,,,
156,7.756549838,,,
157,12.19936617,,,
158,6.557177333,,,
159,8.117536688,,,
160,7.403183944,,,
161,6.513143869,,,
162,13.1724492,,,
163,9.680008987,,,
164,5.469250924,,,
165,9.23748543,,,
166,11.75789433,,,
167,3.772529221,,,
168,7.30183992,,,
169,10.25186421,,,
170,12.21566782,,,
171,13.5725034,,,
172,11.05196571,,,
173,9.487815605,,,
174,9.201540252,,,
175,10.37031679,,,
176,8.413770782,,,
177,10.87700783,,,
178,8.012043435,,,
179,11.65290695,,,
180,7.602476653,,,
181,12.2085666,,,
182,7.594046189,,,
183,6.696455428,,,
184,7.69994407,,,
185,13.58085717,,,
186,4.811756162,,,
187,9.695121386,,,
188,12.24282229,,,
189,7.536383157,,,
190,7.253963857,,,
191,13.7667675,,,
192,11.18518095,,,
193,12.5390868,,,
194,10.24966924,,,
195,8.586835613,,,
196,11.32350685,,,
197,6.901788866,,,
198,12.66671432,,,
199,11.52965936,,,
200,6.01443554,,,
201,8.543435371,,,
202,9.677826566,,,
203,9.295818103,,,
204,12.52110039,,,
205,9.461961312,,,
206,11.19649722,,,
207,12.20664055,,,
208,13.66881871,,,
209,9.621020965,,,
