,x
1,2010-09-01
2,2010-07-16
3,2010-07-07
4,2010-06-29
5,2010-06-10
6,2010-06-04
7,2010-05-27
8,2010-05-20
9,2010-05-10
10,2010-05-06
11,2010-02-04
12,2009-07-15
13,2009-07-02
14,2009-06-22
15,2009-05-18
16,2009-05-04
17,2009-04-20
18,2009-04-09
19,2009-03-30
20,2009-03-23
21,2009-03-17
22,2009-03-12
23,2009-03-10
24,2009-03-05
25,2009-03-02
26,2009-02-24
27,2009-02-23
28,2009-02-17
29,2009-02-10
30,2009-01-29
31,2009-01-28
32,2009-01-21
33,2009-01-20
34,2009-01-14
35,2009-01-07
36,2009-01-02
37,2008-12-16
38,2008-12-08
39,2008-12-05
40,2008-12-04
41,2008-12-02
42,2008-12-01
43,2008-11-26
44,2008-11-24
45,2008-11-21
46,2008-11-20
47,2008-11-19
48,2008-11-14
49,2008-11-13
50,2008-11-12
51,2008-11-06
52,2008-11-05
53,2008-11-04
54,2008-10-28
55,2008-10-27
56,2008-10-24
57,2008-10-22
58,2008-10-21
59,2008-10-20
60,2008-10-16
61,2008-10-15
62,2008-10-13
63,2008-10-09
64,2008-10-07
65,2008-10-06
66,2008-10-02
67,2008-09-30
68,2008-09-29
69,2008-09-22
70,2008-09-19
71,2008-09-18
72,2008-09-17
73,2008-09-15
74,2008-09-09
75,2008-09-04
76,2008-06-26
77,2008-06-06
78,2008-04-01
79,2008-03-18
80,2008-03-11
81,2008-02-05
82,2008-01-17
83,2007-11-07
84,2007-08-09
85,2007-02-27
86,2003-03-24
87,2003-03-17
88,2003-03-13
89,2003-01-24
90,2003-01-02
91,2002-10-15
92,2002-10-11
93,2002-10-10
94,2002-10-01
95,2002-09-27
96,2002-09-19
97,2002-09-03
98,2002-08-14
99,2002-08-08
100,2002-08-06
101,2002-08-05
102,2002-08-01
103,2002-07-29
104,2002-07-24
105,2002-07-22
106,2002-07-19
107,2002-07-10
108,2002-07-05
109,2002-05-08
110,2001-09-24
111,2001-09-20
112,2001-09-17
113,2001-04-18
114,2001-04-05
115,2001-04-03
116,2001-03-12
117,2001-01-03
118,2000-12-20
119,2000-12-05
120,2000-10-19
121,2000-10-13
122,2000-05-30
123,2000-04-25
124,2000-04-17
125,2000-04-14
126,2000-03-16
127,2000-02-18
128,2000-01-04
129,1999-10-28
130,1998-10-15
131,1998-10-01
132,1998-09-30
133,1998-09-23
134,1998-09-11
135,1998-09-08
136,1998-09-01
137,1998-08-31
138,1998-08-27
139,1998-08-04
140,1998-01-09
141,1997-10-28
142,1997-10-27
143,1997-09-02
144,1996-03-08
145,1991-11-15
146,1991-08-21
147,1991-01-17
148,1990-08-27
149,1990-08-23
150,1990-08-06
151,1989-10-13
152,1988-05-31
153,1988-04-14
154,1988-01-08
155,1988-01-04
156,1987-12-03
157,1987-11-30
158,1987-11-09
159,1987-10-29
160,1987-10-26
161,1987-10-22
162,1987-10-21
163,1987-10-20
164,1987-10-19
165,1987-10-16
166,1987-10-14
167,1986-09-11
168,1986-07-07
169,1982-11-30
170,1982-11-03
171,1982-10-25
172,1982-10-06
173,1982-08-20
174,1982-08-17
175,1981-08-24
176,1980-04-22
177,1980-03-24
178,1980-03-17
179,1979-10-09
180,1978-11-01
181,1975-01-27
182,1974-11-18
183,1974-10-29
184,1974-10-23
185,1974-10-09
186,1974-10-07
187,1974-09-19
188,1974-09-05
189,1974-08-30
190,1974-07-12
191,1974-07-08
192,1973-12-26
193,1973-11-26
194,1973-11-19
195,1973-05-24
196,1971-08-16
197,1970-05-27
198,1963-11-26
199,1962-10-24
200,1962-06-28
201,1962-06-04
202,1962-05-29
203,1962-05-28
204,1961-04-18
205,1961-04-17
206,1957-10-23
207,1957-10-21
208,1955-10-10
209,1955-09-26
210,1955-07-06
211,1955-06-06
212,1953-02-09
213,1950-12-04
214,1950-11-28
215,1950-06-29
216,1950-06-26
